Ligand,Conformer,Vbur_5,Vbur_6,Vbur_7
100_cs,CONF_0001,44.16835682,68.78935169,67.99048389
100_cs,CONF_0002,45.64255553,70.51968631,70.08775399
100_cs,CONF_0004,45.6526749,70.07937718,70.68431079
100_cs,CONF_0005,45.62579021,70.54401142,70.0607307
100_cs,CONF_0006,44.15339018,68.76855488,68.00933233
100_cs,CONF_0007,42.46604621,68.0598663,68.26898842
100_cs,CONF_0008,44.57017056,69.51323441,68.42386688
100_cs,CONF_0009,43.83316623,69.28360674,68.15535143
100_cs,CONF_0010,46.13370875,69.67446589,70.12310972
100_cs,CONF_0011,44.49195143,70.5110478,69.73057236
100_cs,CONF_0012,46.29766299,70.17404248,69.5299777
100_cs,CONF_0014,43.88165178,69.20601456,68.16283961
100_cs,CONF_0015,43.73807674,69.96036973,67.93233522
100_cs,CONF_0016,44.96988854,70.47727463,69.18570082
100_cs,CONF_0017,43.7621795,69.96828624,67.9397593
100_cs,CONF_0018,44.78601332,70.44970966,69.22088782
100_cs,CONF_0020,45.48644691,70.60111983,70.03101752
100_cs,CONF_0021,44.53574569,68.78202736,69.33054379
100_cs,CONF_0022,44.55466018,68.77561663,69.31907033
100_cs,CONF_0023,44.5245646,69.71010487,70.50834925
100_cs,CONF_0024,44.54092712,68.76262848,69.32388004
100_cs,CONF_0025,44.54102015,68.78416879,69.34634006
100_cs,CONF_0027,43.45141616,68.179872,69.63185613
100_cs,CONF_0029,44.53894784,70.5418687,69.72399647
100_cs,CONF_0031,44.16904425,68.78481235,67.9968974
101_cs,CONF_0002,44.18980142,68.95467315,68.97859236
101_cs,CONF_0004,44.81270138,68.5147678,68.98326656
101_cs,CONF_0005,43.42554169,68.72147168,68.97377377
101_cs,CONF_0008,44.02496456,68.68747276,69.09930591
101_cs,CONF_0013,44.7141232,68.51552731,68.53275778
101_cs,CONF_0014,44.07038685,68.53151284,68.78551824
101_cs,CONF_0017,44.74322539,68.51426901,68.52511612
101_cs,CONF_0021,45.24632872,68.50177093,68.12509704
101_cs,CONF_0027,44.47480865,68.46211151,68.45104234
101_cs,CONF_0028,44.56772382,68.3891917,68.5351946
101_cs,CONF_0035,44.47322892,68.46691545,68.44735226
101_cs,CONF_0038,44.06017969,68.38059696,68.60370638
101_cs,CONF_0040,43.3269582,67.87801779,68.6348572
101_cs,CONF_0042,44.42368933,68.81961942,68.93551992
101_cs,CONF_0058,43.39333778,68.33399357,68.97423937
101_cs,CONF_0070,48.49724332,69.49807138,72.14372893
101_cs,CONF_0081,46.35269691,69.24128751,71.32980864
101_cs,CONF_0102,47.7031005,72.42686042,69.70649749
101_cs,CONF_0113,47.4099902,69.53769636,71.93346209
101_cs,CONF_0227,46.19676163,71.31220132,69.13002005
101_cs,CONF_0267,47.1427169,71.51598911,68.99606491
101_cs,CONF_0275,47.23314132,71.86673843,69.26327296
101_cs,CONF_0291,47.85924897,69.07949703,72.44404341
101_cs,CONF_0299,46.15639014,71.26898613,69.34438602
101_cs,CONF_0300,47.47944826,69.03331992,71.86299001
101_cs,CONF_0312,46.86980636,69.15177226,72.15684118
101_cs,CONF_0385,47.60576952,71.72208959,69.10988495
101_cs,CONF_0422,47.63050581,69.0534376,72.29745113
101_cs,CONF_0519,47.3417406,68.92721528,71.49023927
101_cs,CONF_0530,47.56450183,69.17590099,71.38242219
101_cs,CONF_0541,46.7179193,69.1054352,71.19208503
101_cs,CONF_0562,47.46343916,69.62747125,71.84989824
101_cs,CONF_0579,47.87240116,70.28454104,71.84115674
101_cs,CONF_0726,47.43358198,68.87856909,71.36189133
101_cs,CONF_0740,47.51233165,69.53768583,71.57828998
101_cs,CONF_0744,47.8565113,70.27763699,71.84174414
101_cs,CONF_0956,47.41819863,68.70190262,72.06406673
101_cs,CONF_1007,47.33696954,71.49714057,68.90304316
102_cs,CONF_0002,44.18448239,68.97321429,68.98427704
102_cs,CONF_0004,44.81953866,68.50771645,68.98064502
102_cs,CONF_0005,43.44095934,68.75834641,68.9692674
102_cs,CONF_0008,43.99474189,69.09256745,68.68096827
102_cs,CONF_0013,44.71119571,68.50298092,68.53852945
102_cs,CONF_0014,44.08048546,68.53311853,68.77924107
102_cs,CONF_0017,44.70604371,68.5037528,68.52982624
102_cs,CONF_0022,45.2325668,68.12500914,68.49584128
