Ligand,Conformer,cp_mix,log10,H_int,H_MF,H_HB,H_vdw,ring_cor,Gsolv
100_cs,CONF_0001,-12.19731,-33.98833,-15.85613,13.18211,-0.82885,-28.20938,-9.06813,-50.46120
100_cs,CONF_0002,-12.02821,-34.21593,-15.67658,13.61261,-0.47101,-28.81818,-9.06813,-50.77170
100_cs,CONF_0004,-12.02414,-34.22842,-15.64814,13.62290,-0.43566,-28.83537,-9.06813,-50.78874
100_cs,CONF_0005,-11.98903,-34.18077,-15.62826,13.60761,-0.46453,-28.77134,-9.06813,-50.72373
100_cs,CONF_0006,-12.18998,-33.98079,-15.84516,13.19267,-0.81130,-28.22654,-9.06813,-50.45092
100_cs,CONF_0007,-12.51460,-34.07638,-16.22520,13.43193,-0.63852,-29.01861,-9.06813,-50.58133
100_cs,CONF_0008,-11.70533,-34.07528,-15.35799,13.52996,-0.50824,-28.37972,-9.06813,-50.57983
100_cs,CONF_0009,-12.46215,-34.40390,-16.16837,13.64600,-0.48348,-29.33089,-9.06813,-51.02814
100_cs,CONF_0010,-11.53834,-34.20040,-15.16076,13.47713,-0.50393,-28.13397,-9.06813,-50.75051
100_cs,CONF_0011,-11.98896,-34.20129,-15.56100,13.55966,-0.40001,-28.72066,-9.06813,-50.75173
100_cs,CONF_0012,-11.68936,-34.34538,-15.32218,13.52051,-0.48719,-28.35551,-9.06813,-50.94830
100_cs,CONF_0014,-12.45425,-34.39070,-16.15981,13.64509,-0.48824,-29.31666,-9.06813,-51.01013
100_cs,CONF_0015,-11.97304,-33.58807,-15.50749,13.42949,-0.46351,-28.47348,-9.06813,-49.91515
100_cs,CONF_0016,-12.09801,-34.22203,-15.66720,13.57410,-0.40471,-28.83658,-9.06813,-50.78002
100_cs,CONF_0017,-11.96809,-33.60632,-15.50258,13.42845,-0.46445,-28.46658,-9.06813,-49.94004
100_cs,CONF_0018,-12.01087,-34.13421,-15.57482,13.53455,-0.41227,-28.69709,-9.06813,-50.66022
100_cs,CONF_0020,-12.07652,-34.24160,-15.75883,13.50700,-0.60088,-28.66495,-9.06813,-50.80673
100_cs,CONF_0021,-11.98501,-34.21565,-15.75322,13.60004,-0.58261,-28.77065,-9.06813,-50.77132
100_cs,CONF_0022,-11.98508,-34.21583,-15.75740,13.59782,-0.59375,-28.76147,-9.06813,-50.77157
100_cs,CONF_0023,-11.98981,-34.19101,-15.56603,13.54623,-0.41013,-28.70212,-9.06813,-50.73771
100_cs,CONF_0024,-11.84419,-34.12033,-15.59751,13.53332,-0.61107,-28.51976,-9.06813,-50.64128
100_cs,CONF_0025,-11.98854,-34.22242,-15.76194,13.60896,-0.57738,-28.79352,-9.06813,-50.78057
100_cs,CONF_0027,-12.16335,-34.04076,-15.80434,13.56450,-0.47204,-28.89679,-9.06813,-50.53273
100_cs,CONF_0029,-11.97930,-34.20252,-15.55494,13.55656,-0.40544,-28.70607,-9.06813,-50.75341
100_cs,CONF_0031,-12.20107,-33.98896,-15.85773,13.18603,-0.82454,-28.21922,-9.06813,-50.46207
101_cs,CONF_0002,-11.19032,-30.54079,-14.05205,12.49869,-0.45511,-26.09563,-6.80110,-45.75791
101_cs,CONF_0004,-11.11907,-30.30105,-13.97120,12.30691,-0.60019,-25.67791,-6.80110,-45.43084
101_cs,CONF_0005,-11.31952,-30.51429,-14.16363,12.56492,-0.39148,-26.33707,-6.80110,-45.72175
