Ligand,Conformer,E_vdw,Area,Volume,Sigma_moment(1),Sigma_moment(2),Sigma_moment(3),Sigma_moment(4),Sigma_moment(5),Sigma_moment(6),H_bond(accept),H_bond(donor)
100_cs,CONF_0001,-22.4019,581.7158,914.6911,-100.0,134.0,-62.8,66.5,-52.5,61.8,0.0,0.6075
100_cs,CONF_0002,-22.8949,594.0032,929.4758,-100.0,133.0,-57.5,56.7,-35.5,32.3,0.0,0.0375
100_cs,CONF_0004,-22.906,594.221,928.3392,-100.0,133.0,-57.2,56.2,-34.8,31.5,0.0,0.0428
100_cs,CONF_0005,-22.8594,593.0949,928.5454,-100.0,133.0,-57.4,56.6,-35.3,32.2,0.0,0.0349
100_cs,CONF_0006,-22.4154,582.0825,915.1558,-100.0,134.0,-62.4,65.4,-50.0,56.6,0.0,0.5636
100_cs,CONF_0007,-23.0127,596.2773,920.6838,-100.0,133.0,-62.6,60.6,-43.2,41.9,0.0,0.2453
100_cs,CONF_0008,-22.5524,584.8369,921.2429,-100.0,134.0,-57.2,57.8,-35.8,33.4,0.0,0.0437
100_cs,CONF_0009,-23.2515,603.5921,929.9933,-100.0,134.0,-57.2,57.2,-35.1,32.8,0.0,0.0566
100_cs,CONF_0010,-22.3721,580.6973,913.4193,-100.0,134.0,-56.7,58.0,-35.9,34.4,0.0,0.1172
100_cs,CONF_0011,-22.767,593.1111,934.2205,-100.0,133.0,-56.3,55.6,-33.5,30.3,0.0,0.0114
100_cs,CONF_0012,-22.5418,585.0101,919.6038,-100.0,134.0,-57.3,57.5,-36.0,33.8,0.0,0.102
100_cs,CONF_0014,-23.2414,603.3203,929.4421,-100.0,133.0,-57.1,56.9,-34.8,32.4,0.0,0.0424
100_cs,CONF_0015,-22.6104,586.7613,922.8564,-100.0,131.0,-56.9,56.1,-36.1,34.2,0.0,0.1657
100_cs,CONF_0016,-22.8881,593.4079,926.6654,-100.0,131.0,-56.9,54.7,-33.8,30.0,0.0,0.0173
100_cs,CONF_0017,-22.6053,586.645,922.5652,-100.0,131.0,-56.9,56.2,-36.1,34.2,0.0,0.1681
100_cs,CONF_0018,-22.7815,590.657,921.7429,-100.0,131.0,-57.0,54.9,-34.0,30.2,0.0,0.0178
100_cs,CONF_0020,-22.7829,590.9175,927.5104,-100.0,134.0,-59.8,59.9,-40.3,39.0,0.0,0.198
100_cs,CONF_0021,-22.8728,593.3077,928.8566,-100.0,136.0,-58.9,59.6,-38.3,36.5,0.0,0.1298
100_cs,CONF_0022,-22.865,593.1308,929.0021,-100.0,136.0,-59.1,60.0,-38.7,37.0,0.0,0.1405
100_cs,CONF_0023,-22.7513,592.7503,933.7407,-100.0,133.0,-56.7,55.9,-33.9,30.7,0.0,0.0145
100_cs,CONF_0024,-22.6796,588.4183,923.7333,-100.0,136.0,-59.1,60.2,-38.8,37.3,0.0,0.1366
100_cs,CONF_0025,-22.8894,593.7577,929.3801,-100.0,136.0,-58.9,59.6,-38.2,36.4,0.0,0.1298
100_cs,CONF_0027,-22.9201,595.3307,918.6669,-100.0,132.0,-55.8,55.8,-34.0,31.8,0.0,0.0536
100_cs,CONF_0029,-22.7572,592.8508,934.2077,-100.0,133.0,-56.5,55.8,-33.7,30.5,0.0,0.0126
100_cs,CONF_0031,-22.4091,581.8991,915.1409,-100.0,134.0,-62.7,66.2,-51.8,60.4,0.0,0.5941
101_cs,CONF_0002,-20.5129,543.01,839.3909,-100.0,83.8,-38.4,34.6,-23.8,22.5,0.0,0.0878
101_cs,CONF_0004,-20.1956,533.8775,829.739,-100.0,84.1,-40.3,37.1,-27.5,27.4,0.0,0.1803
101_cs,CONF_0005,-20.699,547.342,843.5989,-100.0,83.9,-38.2,34.0,-22.9,21.2,0.0,0.0697
101_cs,CONF_0008,-20.674,547.0943,843.4071,-100.0,82.7,-36.7,32.0,-20.7,18.6,0.0,0.0381
101_cs,CONF_0013,-20.2776,536.0327,825.6708,-100.0,83.5,-39.0,35.2,-25.0,24.4,0.0,0.1459
101_cs,CONF_0014,-20.3152,537.7652,831.022,-100.0,83.1,-37.8,33.6,-22.7,21.3,0.0,0.1014
101_cs,CONF_0017,-20.2066,534.0548,824.3209,-100.0,83.7,-39.2,35.4,-25.1,24.6,0.0,0.1477
101_cs,CONF_0021,-20.2562,535.0464,824.8794,-100.0,83.8,-39.4,35.9,-25.8,25.1,0.0,0.1401
101_cs,CONF_0027,-20.2208,534.3347,827.2626,-100.0,83.3,-38.4,34.5,-23.9,22.8,0.0,0.1126
101_cs,CONF_0028,-20.1953,533.7795,823.3146,-100.0,83.7,-38.5,34.8,-24.1,23.0,0.0,0.1048
101_cs,CONF_0035,-20.1551,532.5117,825.9873,-100.0,83.7,-38.8,35.0,-24.4,23.4,0.0,0.1145
101_cs,CONF_0038,-20.4214,540.2916,836.6549,-100.0,83.0,-37.3,33.4,-22.8,21.9,0.0,0.1363
101_cs,CONF_0040,-20.6526,546.1823,837.8787,-100.0,84.8,-39.2,35.2,-24.1,22.6,0.0,0.0821
101_cs,CONF_0042,-20.599,544.9648,843.9079,-100.0,83.2,-37.2,32.6,-21.3,19.4,0.0,0.0417
101_cs,CONF_0058,-20.654,545.7787,840.6267,-100.0,84.3,-39.2,35.4,-24.9,23.9,0.0,0.1268
101_cs,CONF_0070,-19.6048,517.9023,817.9333,-100.0,80.7,-37.0,32.4,-22.0,20.5,0.0,0.0954
101_cs,CONF_0081,-20.1348,532.6501,839.9136,-100.0,81.7,-37.9,33.4,-22.9,21.1,0.0,0.0743
101_cs,CONF_0102,-20.0656,530.5693,832.5138,-100.0,82.0,-36.9,32.5,-21.3,19.3,0.0,0.0192
101_cs,CONF_0113,-20.0777,530.7526,838.739,-100.0,81.4,-38.6,35.2,-26.5,27.3,0.0,0.2717
101_cs,CONF_0227,-20.1202,532.1267,837.7373,-100.0,82.1,-38.7,34.5,-24.2,22.8,0.0,0.0851
101_cs,CONF_0267,-19.6894,520.1771,825.6388,-100.0,81.9,-40.8,38.2,-31.0,33.5,0.0,0.3598
101_cs,CONF_0275,-20.1846,533.4832,833.7787,-100.0,82.4,-37.5,33.3,-22.4,20.6,0.0,0.0423
101_cs,CONF_0291,-20.4128,539.5306,839.4526,-100.0,82.4,-36.9,32.4,-21.1,19.1,0.0,0.0537
101_cs,CONF_0299,-20.1097,531.137,838.5605,-100.0,82.5,-40.1,36.9,-28.4,29.2,0.0,0.2767
101_cs,CONF_0300,-19.9336,526.2392,821.7412,-100.0,82.6,-38.2,33.7,-22.8,21.0,0.0,0.0572
101_cs,CONF_0312,-20.1634,532.9405,831.269,-100.0,82.9,-37.4,32.7,-21.4,19.3,0.0,0.0489
101_cs,CONF_0385,-20.2387,534.3709,837.2186,-100.0,81.7,-38.0,34.2,-24.8,24.6,0.0,0.2001
101_cs,CONF_0422,-20.2564,535.5984,842.9881,-100.0,81.0,-35.3,30.4,-18.9,16.6,0.0,0.0182
101_cs,CONF_0519,-19.9646,527.1532,828.6481,-100.0,82.3,-37.8,33.8,-23.0,21.5,0.0,0.0569
101_cs,CONF_0530,-19.5843,517.4133,822.2235,-100.0,81.3,-38.4,34.6,-25.4,25.3,0.0,0.2352
101_cs,CONF_0541,-19.9235,526.6057,833.577,-100.0,82.8,-39.1,34.7,-24.6,23.4,0.0,0.1282
101_cs,CONF_0562,-20.0173,529.6616,837.3819,-100.0,81.2,-36.5,31.4,-20.3,18.1,0.0,0.0168
101_cs,CONF_0579,-20.0996,530.6656,832.1098,-100.0,81.8,-37.2,32.4,-21.6,19.7,0.0,0.0526
101_cs,CONF_0726,-20.1887,533.1261,829.5819,-100.0,82.9,-38.2,34.8,-24.8,24.5,0.0,0.1725
101_cs,CONF_0740,-19.8755,525.1055,832.4679,-100.0,81.8,-38.5,34.5,-25.2,25.1,0.0,0.2194
101_cs,CONF_0744,-20.2148,533.554,835.7102,-100.0,82.0,-37.6,33.2,-22.7,21.1,0.0,0.0767
