Ligand,Conformer,cp_mix,log10,H_int,H_MF,H_HB,H_vdw,ring_cor,Gsolv
100_cs,CONF_0001,-6.81084,-30.04002,-13.4711,14.59297,-0.38606,-27.67801,-9.06813,-45.07474
100_cs,CONF_0002,-6.82135,-30.39927,-13.56698,14.9695,-0.20622,-28.33026,-9.06813,-45.56484
100_cs,CONF_0004,-6.8763,-30.45502,-13.59275,14.97601,-0.1917,-28.37706,-9.06813,-45.6409
100_cs,CONF_0005,-6.78858,-30.36881,-13.52813,14.95513,-0.20334,-28.27991,-9.06813,-45.52328
100_cs,CONF_0006,-6.80603,-30.03433,-13.46411,14.60395,-0.37498,-27.69308,-9.06813,-45.06697
100_cs,CONF_0007,-7.20834,-30.18687,-13.95905,14.90181,-0.283,-28.57786,-9.06813,-45.27507
100_cs,CONF_0008,-6.58193,-30.31981,-13.34078,14.76494,-0.2224,-27.88333,-9.06813,-45.45643
100_cs,CONF_0009,-7.0163,-30.41206,-13.8289,15.16208,-0.21168,-28.7793,-9.06813,-45.58229
100_cs,CONF_0010,-6.41601,-30.4457,-13.14972,14.68247,-0.22271,-27.60948,-9.06813,-45.62819
100_cs,CONF_0011,-6.78115,-30.38394,-13.42755,14.95795,-0.17541,-28.21009,-9.06813,-45.54392
100_cs,CONF_0012,-6.55356,-30.58081,-13.29336,14.76582,-0.21481,-27.84437,-9.06813,-45.8125
100_cs,CONF_0014,-7.01013,-30.40012,-13.82039,15.15973,-0.21348,-28.76664,-9.06813,-45.566
100_cs,CONF_0015,-6.7655,-29.77092,-13.36015,14.82635,-0.20758,-27.97891,-9.06813,-44.70761
100_cs,CONF_0016,-6.95489,-30.4521,-13.60839,14.96124,-0.17688,-28.39274,-9.06813,-45.63691
100_cs,CONF_0017,-6.75952,-29.78841,-13.35563,14.82291,-0.20811,-27.97042,-9.06813,-44.73147
100_cs,CONF_0018,-6.88082,-30.37386,-13.53102,14.89915,-0.18,-28.25017,-9.06813,-45.53017
100_cs,CONF_0020,-6.83811,-30.40182,-13.5876,14.85757,-0.26753,-28.17764,-9.06813,-45.56832
100_cs,CONF_0021,-6.75152,-30.37948,-13.61285,14.91556,-0.25841,-28.27,-9.06813,-45.53784
100_cs,CONF_0022,-6.75078,-30.37906,-13.6135,14.91056,-0.26367,-28.26039,-9.06813,-45.53727
100_cs,CONF_0023,-6.78414,-30.37522,-13.4327,14.94052,-0.17991,-28.19331,-9.06813,-45.53204
100_cs,CONF_0024,-6.63015,-30.29841,-13.47839,14.80073,-0.27084,-28.00828,-9.06813,-45.42725
100_cs,CONF_0025,-6.75558,-30.38664,-13.6213,14.92814,-0.25614,-28.2933,-9.06813,-45.54761
100_cs,CONF_0027,-6.78271,-30.09673,-13.51368,15.02765,-0.20681,-28.33451,-9.06813,-45.15209
100_cs,CONF_0029,-6.77555,-30.38815,-13.42811,14.94492,-0.17793,-28.19511,-9.06813,-45.54966
100_cs,CONF_0031,-6.8137,-30.04,-13.46976,14.60126,-0.38325,-27.68777,-9.06813,-45.0747
