Ligand,Conformer,cp_mix,log10,H_int,H_MF,H_HB,H_vdw,ring_cor,Gsolv
100_cs,CONF_0001,-8.90305,-31.57362,-18.54606,9.85938,-0.59976,-27.80567,-9.06813,-47.16695
100_cs,CONF_0002,-8.78091,-31.83564,-18.53133,10.16897,-0.30022,-28.40009,-9.06813,-47.52440
100_cs,CONF_0004,-8.79759,-31.86334,-18.52614,10.16590,-0.27961,-28.41243,-9.06813,-47.56219
100_cs,CONF_0005,-8.75184,-31.80789,-18.48606,10.16396,-0.29528,-28.35474,-9.06813,-47.48654
100_cs,CONF_0006,-8.89785,-31.56764,-18.53771,9.86686,-0.58170,-27.82288,-9.06813,-47.15879
100_cs,CONF_0007,-9.11909,-31.58746,-18.94402,10.06408,-0.42220,-28.58591,-9.06813,-47.18582
100_cs,CONF_0008,-8.46785,-31.70220,-18.17708,10.11979,-0.32734,-27.96953,-9.06813,-47.34235
100_cs,CONF_0009,-9.12790,-31.95987,-19.01985,10.20218,-0.31317,-28.90886,-9.06813,-47.69389
100_cs,CONF_0010,-8.35324,-31.86571,-18.00387,10.06454,-0.33190,-27.73651,-9.06813,-47.56542
100_cs,CONF_0011,-8.80160,-31.86494,-18.43902,10.11317,-0.25028,-28.30191,-9.06813,-47.56438
100_cs,CONF_0012,-8.48345,-31.99543,-18.17199,10.09852,-0.31900,-27.95151,-9.06813,-47.74239
100_cs,CONF_0014,-9.12166,-31.94789,-19.00927,10.20071,-0.31555,-28.89443,-9.06813,-47.67753
100_cs,CONF_0015,-8.81697,-31.27466,-18.35276,10.01724,-0.31103,-28.05898,-9.06813,-46.75909
100_cs,CONF_0016,-8.90236,-31.87960,-18.54522,10.12027,-0.25406,-28.41143,-9.06813,-47.58438
100_cs,CONF_0017,-8.81229,-31.29311,-18.34887,10.01567,-0.31201,-28.05253,-9.06813,-46.78425
100_cs,CONF_0018,-8.82070,-31.79580,-18.44216,10.09247,-0.25933,-28.27529,-9.06813,-47.47005
100_cs,CONF_0020,-8.78310,-31.82751,-18.54331,10.10402,-0.39964,-28.24769,-9.06813,-47.51332
100_cs,CONF_0021,-8.64282,-31.76580,-18.55120,10.19254,-0.38898,-28.35476,-9.06813,-47.42913
100_cs,CONF_0022,-8.64075,-31.76442,-18.55207,10.19158,-0.39782,-28.34583,-9.06813,-47.42723
100_cs,CONF_0023,-8.79450,-31.84883,-18.43577,10.10521,-0.25783,-28.28315,-9.06813,-47.54240
100_cs,CONF_0024,-8.51774,-31.68203,-18.37735,10.14226,-0.40845,-28.11115,-9.06813,-47.31483
100_cs,CONF_0025,-8.64432,-31.77109,-18.56203,10.20084,-0.38580,-28.37707,-9.06813,-47.43635
100_cs,CONF_0027,-8.92132,-31.66433,-18.66706,10.12457,-0.30708,-28.48455,-9.06813,-47.29070
100_cs,CONF_0029,-8.78736,-31.86281,-18.43020,10.11192,-0.25397,-28.28815,-9.06813,-47.56147
100_cs,CONF_0031,-8.90936,-31.57612,-18.54798,9.86205,-0.59489,-27.81514,-9.06813,-47.17036
101_cs,CONF_0002,-9.02167,-28.95115,-17.06747,9.07088,-0.30007,-25.83827,-6.80110,-43.58925
101_cs,CONF_0004,-8.94323,-28.70614,-16.89566,8.93089,-0.41315,-25.41340,-6.80110,-43.25500
101_cs,CONF_0005,-9.15017,-28.92415,-17.20712,9.11490,-0.25426,-26.06777,-6.80110,-43.55241
101_cs,CONF_0008,-9.10197,-28.95112,-17.11465,9.13254,-0.20047,-26.04672,-6.80110,-43.58921
101_cs,CONF_0013,-8.88520,-28.78477,-16.85249,8.97699,-0.30875,-25.52072,-6.80110,-43.36227
101_cs,CONF_0014,-8.87551,-28.78897,-16.81814,9.02561,-0.25543,-25.58832,-6.80110,-43.36799
101_cs,CONF_0017,-8.83560,-28.75805,-16.78749,8.95531,-0.31673,-25.42607,-6.80110,-43.32580
101_cs,CONF_0021,-8.95538,-28.67279,-16.87427,8.95810,-0.34905,-25.48332,-6.80110,-43.20950
101_cs,CONF_0027,-8.89272,-28.61539,-16.77515,8.96896,-0.29913,-25.44498,-6.80110,-43.13119
101_cs,CONF_0028,-8.83792,-28.63372,-16.74394,8.97494,-0.30520,-25.41368,-6.80110,-43.15620
101_cs,CONF_0035,-8.86810,-28.59970,-16.72912,8.93858,-0.31023,-25.35747,-6.80110,-43.10978
101_cs,CONF_0038,-8.99803,-28.78526,-16.92942,9.05272,-0.26104,-25.72111,-6.80110,-43.36294
101_cs,CONF_0040,-9.06573,-29.01357,-17.20033,9.09735,-0.29303,-26.00465,-6.80110,-43.67441
101_cs,CONF_0042,-9.03720,-28.94167,-17.05316,9.11561,-0.22822,-25.94056,-6.80110,-43.57632
101_cs,CONF_0058,-9.17761,-28.92353,-17.25437,9.06564,-0.31709,-26.00292,-6.80110,-43.55157
101_cs,CONF_0070,-8.62375,-28.28908,-16.11323,8.79069,-0.24217,-24.66175,-6.80110,-42.68601
101_cs,CONF_0081,-8.94247,-28.72872,-16.68520,8.93854,-0.26876,-25.35499,-6.80110,-43.28579
101_cs,CONF_0102,-8.82632,-28.58081,-16.53948,8.94715,-0.22768,-25.25896,-6.80110,-43.08402
101_cs,CONF_0113,-9.00225,-28.62661,-16.72572,8.90454,-0.35080,-25.27946,-6.80110,-43.14649
101_cs,CONF_0227,-8.94440,-28.75302,-16.72421,8.92004,-0.31416,-25.33009,-6.80110,-43.31895
101_cs,CONF_0267,-8.83992,-28.44840,-16.50250,8.74895,-0.48229,-24.76916,-6.80110,-42.90338
101_cs,CONF_0275,-8.89169,-28.71274,-16.68276,8.98111,-0.26142,-25.40246,-6.80110,-43.26399
101_cs,CONF_0291,-8.97334,-28.78206,-16.84539,9.05681,-0.20431,-25.69789,-6.80110,-43.35857
101_cs,CONF_0299,-9.03528,-28.59985,-16.82218,8.88542,-0.40219,-25.30542,-6.80110,-43.10999
101_cs,CONF_0300,-8.73489,-28.52250,-16.44678,8.88391,-0.26138,-25.06932,-6.80110,-43.00446
101_cs,CONF_0312,-8.82386,-28.66822,-16.61262,8.97676,-0.21060,-25.37878,-6.80110,-43.20326
101_cs,CONF_0385,-9.02508,-28.66246,-16.82925,8.96208,-0.32248,-25.46886,-6.80110,-43.19540
101_cs,CONF_0422,-8.96062,-28.57890,-16.64935,9.01607,-0.15380,-25.51162,-6.80110,-43.08141
101_cs,CONF_0519,-8.82167,-28.48600,-16.51724,8.89041,-0.29534,-25.11231,-6.80110,-42.95467
