Ligand,Conformer,cp_mix,log10,H_int,H_MF,H_HB,H_vdw,ring_cor,Gsolv
100_cs,CONF_0001,-13.08288,-34.63746,-22.50082,6.81907,0.00000,-29.31989,-9.06813,-51.34678
100_cs,CONF_0002,-13.31470,-35.15893,-22.97560,6.98185,0.00000,-29.95746,-9.06813,-52.05819
100_cs,CONF_0004,-13.38854,-35.22853,-23.02569,6.95701,0.00000,-29.98270,-9.06813,-52.15314
100_cs,CONF_0005,-13.28124,-35.12796,-22.93227,6.97646,0.00000,-29.90872,-9.06813,-52.01594
100_cs,CONF_0006,-13.09184,-34.64186,-22.51387,6.82285,0.00000,-29.33673,-9.06813,-51.35278
100_cs,CONF_0007,-13.63267,-34.89593,-23.24098,6.93578,0.00000,-30.17677,-9.06813,-51.69940
100_cs,CONF_0008,-12.85098,-34.91505,-22.52225,6.99299,0.00000,-29.51524,-9.06813,-51.72548
100_cs,CONF_0009,-13.72177,-35.32721,-23.44047,7.02197,0.00000,-30.46244,-9.06813,-52.28776
100_cs,CONF_0010,-12.69641,-35.04927,-22.31266,6.93972,0.00000,-29.25238,-9.06813,-51.90859
100_cs,CONF_0011,-13.37104,-35.21436,-22.93119,6.91439,0.00000,-29.84557,-9.06813,-52.13381
100_cs,CONF_0012,-12.87889,-35.21731,-22.52341,6.95802,0.00000,-29.48143,-9.06813,-52.13783
100_cs,CONF_0014,-13.71611,-35.31564,-23.42898,7.01924,0.00000,-30.44822,-9.06813,-52.27199
100_cs,CONF_0015,-13.33503,-34.58642,-22.75129,6.84244,0.00000,-29.59373,-9.06813,-51.27714
100_cs,CONF_0016,-13.54077,-35.27958,-23.08794,6.90026,0.00000,-29.98820,-9.06813,-52.22278
100_cs,CONF_0017,-13.32608,-34.60174,-22.74379,6.84262,0.00000,-29.58640,-9.06813,-51.29804
100_cs,CONF_0018,-13.42980,-35.17429,-22.95848,6.88678,0.00000,-29.84526,-9.06813,-52.07915
100_cs,CONF_0020,-13.19592,-35.06213,-22.83490,6.96750,0.00000,-29.80241,-9.06813,-51.92613
