Ligand,Conformer,cp_mix,log10,H_int,H_MF,H_HB,H_vdw,ring_cor,Gsolv
100_cs,CONF_0001,6.95694,-19.94817,-13.39007,10.87331,-0.39506,-23.86832,-9.06813,-31.30696
100_cs,CONF_0002,7.28330,-20.06049,-13.42986,11.10524,-0.18113,-24.35397,-9.06813,-31.46019
100_cs,CONF_0004,7.28103,-20.07762,-13.42959,11.08627,-0.16929,-24.34657,-9.06813,-31.48357
100_cs,CONF_0005,7.27763,-20.05821,-13.40582,11.08833,-0.17808,-24.31608,-9.06813,-31.45708
100_cs,CONF_0006,6.96871,-19.93737,-13.37900,10.88220,-0.37778,-23.88342,-9.06813,-31.29223
100_cs,CONF_0007,7.24531,-19.59227,-13.59503,11.16237,-0.25851,-24.49888,-9.06813,-30.82142
100_cs,CONF_0008,7.23950,-20.18862,-13.25787,10.91728,-0.19703,-23.97812,-9.06813,-31.63500
100_cs,CONF_0009,7.35794,-19.87567,-13.68724,11.31005,-0.18843,-24.80886,-9.06813,-31.20805
100_cs,CONF_0010,7.18099,-20.47903,-13.19132,10.81312,-0.20198,-23.80245,-9.06813,-32.03119
100_cs,CONF_0011,7.29428,-20.06658,-13.28017,11.09742,-0.15128,-24.22632,-9.06813,-31.46850
100_cs,CONF_0012,7.19876,-20.50028,-13.28092,10.89439,-0.19368,-23.98162,-9.06813,-32.06018
100_cs,CONF_0014,7.36066,-19.86626,-13.67793,11.30679,-0.18952,-24.79520,-9.06813,-31.19522
100_cs,CONF_0015,7.12985,-19.58555,-13.25202,11.00500,-0.19225,-24.06477,-9.06813,-30.81226
100_cs,CONF_0016,7.18980,-20.08396,-13.43913,11.06597,-0.15313,-24.35197,-9.06813,-31.49222
100_cs,CONF_0017,7.12855,-19.60838,-13.25217,11.00063,-0.19296,-24.05984,-9.06813,-30.84341
100_cs,CONF_0018,7.18949,-20.06025,-13.37596,11.01707,-0.15614,-24.23689,-9.06813,-31.45986
100_cs,CONF_0020,7.22364,-20.09448,-13.41888,11.04734,-0.24591,-24.22032,-9.06813,-31.50657
100_cs,CONF_0021,7.36744,-20.03020,-13.44883,11.10499,-0.23728,-24.31655,-9.06813,-31.41888
100_cs,CONF_0022,7.36306,-20.03354,-13.44939,11.10247,-0.24296,-24.30891,-9.06813,-31.42343
100_cs,CONF_0023,7.29021,-20.05866,-13.27970,11.08475,-0.15584,-24.20861,-9.06813,-31.45769
100_cs,CONF_0024,7.32172,-20.07161,-13.35494,11.00695,-0.24890,-24.11299,-9.06813,-31.47537
100_cs,CONF_0025,7.37918,-20.02579,-13.45261,11.11815,-0.23539,-24.33537,-9.06813,-31.41285
100_cs,CONF_0027,7.29494,-19.77773,-13.47455,11.16012,-0.18481,-24.44985,-9.06813,-31.07445
100_cs,CONF_0029,7.28762,-20.07977,-13.28407,11.08525,-0.15365,-24.21567,-9.06813,-31.48649
100_cs,CONF_0031,6.95918,-19.94440,-13.38582,10.88062,-0.39049,-23.87595,-9.06813,-31.30181
101_cs,CONF_0002,5.87317,-18.03316,-12.38475,10.35354,-0.18061,-22.55768,-6.80110,-28.69442
