Ligand,Conformer,def2-SVP,def2-TZVP-GAS,def2-TZVP-COSMO,G(toluene),G(MeOH),G(dmf),G(water),G(MeCN),c.p.,Edisp,E6,E8
100_cs,CONF_0001,-2852.726762,-2855.108588,-2855.16529,-51.34678036,-47.16694801,-50.46120355,-31.3069561,-45.07473763,426.029,-91.1917,-41.2788,-49.9129
100_cs,CONF_0002,-2852.721777,-2855.104457,-2855.161963,-52.05818982,-47.52440299,-50.77170131,-31.46019285,-45.56484266,426.504,-90.3027,-40.8709,-49.4318
100_cs,CONF_0004,-2852.721793,-2855.10432,-2855.161837,-52.15313684,-47.56219225,-50.78874039,-31.48357041,-45.64089635,425.763,-90.5603,-40.9906,-49.5696
100_cs,CONF_0005,-2852.721873,-2855.104562,-2855.162041,-52.01594489,-47.48654182,-50.72373278,-31.45707945,-45.5232832,426.717,-90.31,-40.8777,-49.4323
100_cs,CONF_0006,-2852.726709,-2855.108548,-2855.165256,-51.35278007,-47.15878586,-50.45091784,-31.29222952,-45.0669717,425.932,-91.1417,-41.266,-49.8758
100_cs,CONF_0007,-2852.721363,-2855.103951,-2855.160313,-51.69939795,-47.18582346,-50.58132821,-30.82142434,-45.27507012,426.206,-90.6289,-40.8023,-49.8266
100_cs,CONF_0008,-2852.721444,-2855.103837,-2855.161491,-51.72547625,-47.34235041,-50.57983002,-31.63499685,-45.45643106,426.218,-91.7876,-41.5971,-50.1905
100_cs,CONF_0009,-2852.721596,-2855.104791,-2855.162019,-52.28776422,-47.69388828,-51.02814083,-31.20805255,-45.58228582,426.694,-88.5847,-40.1452,-48.4395
100_cs,CONF_0010,-2852.723012,-2855.104331,-2855.162525,-51.90859137,-47.56542064,-50.75051327,-32.03118517,-45.62818684,426.246,-92.1059,-41.6417,-50.4642
100_cs,CONF_0011,-2852.720924,-2855.102873,-2855.160428,-52.13381224,-47.56437506,-50.75173458,-31.46850167,-45.54392184,426.16,-91.0778,-41.426,-49.6518
100_cs,CONF_0012,-2852.723076,-2855.1043,-2855.162545,-52.13782935,-47.74238911,-50.94830274,-32.06018247,-45.81249815,426.376,-92.4234,-41.7737,-50.6496
100_cs,CONF_0014,-2852.721688,-2855.104836,-2855.162045,-52.27198623,-47.67753295,-51.01013021,-31.19521977,-45.56600434,425.487,-88.5871,-40.162,-48.4251
100_cs,CONF_0015,-2852.721236,-2855.104512,-2855.160775,-51.27713928,-46.75908747,-49.91515428,-30.81226404,-44.70761325,425.943,-89.1676,-40.4682,-48.6994
100_cs,CONF_0016,-2852.721424,-2855.10363,-2855.160964,-52.22278006,-47.58437606,-50.78002362,-31.49221576,-45.63690756,426.423,-92.1132,-41.5181,-50.5951
100_cs,CONF_0017,-2852.721227,-2855.104498,-2855.160784,-51.29803773,-46.78425065,-49.94004237,-30.84340841,-44.73147222,425.914,-89.1632,-40.4649,-48.6983
100_cs,CONF_0018,-2852.721455,-2855.103666,-2855.160946,-52.07914947,-47.47004773,-50.66021791,-31.4598609,-45.53017196,426.566,-91.9745,-41.45,-50.5244
100_cs,CONF_0020,-2852.7218,-2855.104521,-2855.161946,-51.92613119,-47.51331562,-50.80673128,-31.50656956,-45.56832237,425.599,-90.3037,-40.8786,-49.4251
100_cs,CONF_0021,-2852.719459,-2855.10241,-2855.159933,-51.81161313,-47.42912923,-50.77131875,-31.41887623,-45.53783531,426.071,-89.9748,-40.6037,-49.3711
100_cs,CONF_0022,-2852.719424,-2855.102379,-2855.159886,-51.80066243,-47.42723478,-50.7715666,-31.42343071,-45.53727191,425.973,-89.9627,-40.5925,-49.3702
100_cs,CONF_0023,-2852.720916,-2855.102904,-2855.16048,-52.09803785,-47.54239834,-50.73770575,-31.45769079,-45.53203547,426.102,-91.0666,-41.4281,-49.6385
100_cs,CONF_0024,-2852.719493,-2855.102422,-2855.159945,-51.62041468,-47.31483498,-50.64127612,-31.47536846,-45.42724512,426.18,-90.0133,-40.6142,-49.3991
100_cs,CONF_0025,-2852.719454,-2855.102417,-2855.159936,-51.8250514,-47.43634506,-50.78056511,-31.4128507,-45.54761028,426.049,-89.9563,-40.5929,-49.3634
100_cs,CONF_0027,-2852.723608,-2855.105773,-2855.16271,-51.8592232,-47.29069587,-50.53273203,-31.07444533,-45.15209421,426.321,-90.6531,-40.868,-49.7852
100_cs,CONF_0029,-2852.720752,-2855.102712,-2855.160294,-52.11666329,-47.56147124,-50.75340658,-31.48649126,-45.54966431,425.612,-91.0883,-41.4465,-49.6418
100_cs,CONF_0031,-2852.726726,-2855.10856,-2855.165271,-51.35823473,-47.17035509,-50.46206782,-31.30181406,-45.07470055,426.092,-91.1871,-41.284,-49.9031
