Ligand,Conformer,5-7,5-6,6-7,1-5,2-5,3-5,6-5-7
100_cs,CONF_0001,238.25,236.36,376.44,224.01,219.27,230.37,104.96
100_cs,CONF_0002,234.64,236.19,356.04,221.74,220.65,231.41,98.26
100_cs,CONF_0004,236.3,234.54,355.35,230.71,220.28,221.98,98.0
100_cs,CONF_0005,234.51,236.3,356.01,221.7,220.57,231.34,98.25
100_cs,CONF_0006,238.34,236.28,376.42,224.2,219.31,230.19,104.95
100_cs,CONF_0007,238.81,240.39,381.89,223.6,219.72,232.78,105.68
100_cs,CONF_0008,235.09,237.64,365.21,221.43,219.32,231.44,101.17
100_cs,CONF_0009,238.34,236.49,365.83,234.0,222.52,226.22,100.79
100_cs,CONF_0010,235.32,234.62,359.31,228.92,218.87,222.38,99.74
100_cs,CONF_0011,234.27,237.63,352.51,220.91,219.76,229.69,96.66
100_cs,CONF_0012,234.53,235.48,359.65,222.38,218.91,228.98,99.85
100_cs,CONF_0014,238.33,236.43,365.96,234.68,222.62,225.84,100.86
100_cs,CONF_0015,238.05,236.84,367.27,223.33,219.29,229.56,101.32
100_cs,CONF_0016,236.78,235.3,361.85,223.66,218.73,229.76,100.08
100_cs,CONF_0017,238.04,236.85,367.22,223.39,219.33,229.62,101.3
100_cs,CONF_0018,236.85,235.22,361.85,223.77,218.76,229.65,100.08
100_cs,CONF_0020,234.49,236.33,355.81,221.9,220.46,231.22,98.18
100_cs,CONF_0021,235.85,236.14,362.79,222.65,220.34,230.82,100.47
100_cs,CONF_0022,235.83,236.16,362.93,222.58,220.34,230.85,100.52
100_cs,CONF_0023,237.54,234.2,352.49,229.73,219.79,220.95,96.69
100_cs,CONF_0024,235.84,236.14,362.86,222.79,220.31,230.56,100.5
100_cs,CONF_0025,235.89,236.06,362.83,222.69,220.37,230.73,100.49
100_cs,CONF_0027,236.78,238.05,364.62,228.31,219.2,229.74,100.33
100_cs,CONF_0029,234.27,237.64,352.39,220.94,219.71,229.66,96.61
100_cs,CONF_0031,238.29,236.37,376.46,224.07,219.29,230.35,104.95
101_cs,CONF_0002,232.48,233.59,321.54,224.94,220.24,225.79,87.24
101_cs,CONF_0004,232.23,232.73,320.2,224.63,219.38,223.88,87.05
101_cs,CONF_0005,233.8,232.87,317.43,228.99,220.14,223.15,85.72
101_cs,CONF_0008,232.66,233.84,321.53,224.61,219.34,225.29,87.14
101_cs,CONF_0013,232.99,232.84,321.57,225.13,219.64,223.5,87.31
101_cs,CONF_0014,233.39,233.62,323.07,224.38,220.29,226.37,87.54
