Ligand,Conformer,Atom1,Atom2,Atom3,Atom4,Atom5,Atom6,Atom7,Atom8,Atom9
100_cs,CONF_0001,-0.01159,-0.39556,-0.05286,0.18381,-0.39411,0.48042,0.57215,0.18349,0.22988
100_cs,CONF_0002,0.07344,-0.36124,-0.04290,0.17704,-0.40070,0.56260,0.52165,0.18314,0.20046
100_cs,CONF_0004,-0.04565,-0.38150,0.09405,0.17798,-0.40601,0.51759,0.53937,0.20547,0.17673
100_cs,CONF_0005,0.08165,-0.36060,-0.04244,0.17684,-0.40431,0.55898,0.52211,0.18232,0.20064
100_cs,CONF_0006,-0.00679,-0.39767,-0.03919,0.18212,-0.40101,0.49168,0.57634,0.18186,0.23043
100_cs,CONF_0007,-0.01401,-0.47560,0.12884,0.19686,-0.33561,0.42631,0.60023,0.17949,0.18425
100_cs,CONF_0008,-0.04939,-0.47032,0.11274,0.20000,-0.29894,0.59600,0.48106,0.19139,0.18114
100_cs,CONF_0009,0.02194,-0.40447,0.00934,0.16214,-0.40806,0.54417,0.58965,0.18882,0.21338
100_cs,CONF_0010,-0.00178,-0.39349,-0.04503,0.17147,-0.30702,0.51556,0.49826,0.21113,0.20109
100_cs,CONF_0011,0.07840,-0.40241,-0.05096,0.17998,-0.39114,0.51548,0.52996,0.17642,0.20583
100_cs,CONF_0012,-0.03572,-0.39273,-0.01874,0.17211,-0.30623,0.49139,0.52234,0.19962,0.21577
100_cs,CONF_0014,0.00449,-0.40310,0.00396,0.16397,-0.40816,0.55718,0.58727,0.19469,0.21219
100_cs,CONF_0015,0.05355,-0.51931,0.11760,0.20112,-0.40701,0.57636,0.51969,0.18078,0.18113
100_cs,CONF_0016,0.03619,-0.42049,-0.00022,0.17737,-0.31227,0.49110,0.52813,0.17753,0.22555
100_cs,CONF_0017,0.04380,-0.51112,0.12467,0.19902,-0.41043,0.57850,0.53249,0.18116,0.18219
100_cs,CONF_0018,0.03836,-0.42281,-0.00076,0.17679,-0.30906,0.48848,0.52724,0.17825,0.22529
100_cs,CONF_0020,0.08778,-0.37105,-0.04688,0.17862,-0.40522,0.56157,0.51527,0.17894,0.20386
100_cs,CONF_0021,-0.01433,-0.34536,0.01192,0.17871,-0.33955,0.52515,0.59717,0.19666,0.19245
100_cs,CONF_0022,-0.01486,-0.33762,0.01226,0.17670,-0.34145,0.53906,0.59738,0.19777,0.19218
100_cs,CONF_0023,-0.05540,-0.39962,0.07985,0.17912,-0.38610,0.52519,0.50851,0.20477,0.17458
100_cs,CONF_0024,-0.00207,-0.34999,0.01259,0.17860,-0.33467,0.51611,0.59519,0.19457,0.19383
100_cs,CONF_0025,-0.01498,-0.34319,0.00753,0.17865,-0.33953,0.52493,0.59617,0.19763,0.19166
100_cs,CONF_0027,-0.02632,-0.42687,0.01095,0.17313,-0.35261,0.55717,0.54669,0.23013,0.18467
100_cs,CONF_0029,0.06911,-0.39256,-0.07139,0.17850,-0.38717,0.51850,0.53491,0.17591,0.21051
100_cs,CONF_0031,-0.00496,-0.40438,-0.03526,0.18465,-0.40138,0.49152,0.57188,0.18273,0.22935
101_cs,CONF_0002,0.01224,-0.39456,-0.00821,0.16672,-0.34532,0.41569,0.42158,0.19987,0.20498
101_cs,CONF_0004,-0.01131,-0.39106,-0.00775,0.17620,-0.32783,0.40091,0.41036,0.19905,0.19774
101_cs,CONF_0005,0.05013,-0.45735,0.01747,0.17423,-0.27272,0.39948,0.35205,0.18965,0.19934
101_cs,CONF_0008,-0.00295,-0.42872,0.04829,0.17584,-0.33161,0.36931,0.41614,0.19907,0.19273
101_cs,CONF_0013,-0.02323,-0.35558,-0.07526,0.17098,-0.36490,0.37572,0.39133,0.19645,0.21652
101_cs,CONF_0014,0.02689,-0.41936,0.01640,0.16261,-0.36719,0.40072,0.41037,0.19602,0.19441
101_cs,CONF_0017,-0.02923,-0.35184,-0.07736,0.17155,-0.36659,0.37453,0.39046,0.19686,0.21660
101_cs,CONF_0021,-0.05848,-0.31049,-0.09355,0.17089,-0.36624,0.38036,0.40308,0.19364,0.21512
101_cs,CONF_0027,0.02085,-0.36757,-0.08773,0.17358,-0.34075,0.37644,0.42244,0.18909,0.22387
101_cs,CONF_0028,0.01530,-0.37924,0.00392,0.16817,-0.39078,0.40989,0.39003,0.19218,0.19606
101_cs,CONF_0035,0.02268,-0.36791,-0.09050,0.17379,-0.34015,0.37586,0.42232,0.18890,0.22436
101_cs,CONF_0038,0.01423,-0.40761,-0.00165,0.17303,-0.38650,0.38307,0.42182,0.19245,0.20474
101_cs,CONF_0040,0.02473,-0.43890,0.01075,0.16293,-0.32487,0.39704,0.33560,0.19820,0.19668
101_cs,CONF_0042,0.00630,-0.43040,0.01625,0.17062,-0.32287,0.39408,0.36001,0.19912,0.20142
101_cs,CONF_0058,-0.02307,-0.42764,0.00831,0.16518,-0.28436,0.39989,0.33317,0.20595,0.19902
101_cs,CONF_0070,0.02847,-0.43726,0.02897,0.18372,-0.40367,0.38392,0.26508,0.20628,0.20605
101_cs,CONF_0081,-0.06066,-0.35444,-0.00305,0.17133,-0.41273,0.41511,0.27145,0.21696,0.20339
101_cs,CONF_0102,0.07633,-0.46537,-0.03188,0.18183,-0.42420,0.33353,0.40933,0.20140,0.21052
101_cs,CONF_0113,-0.00352,-0.44786,0.10392,0.17907,-0.45560,0.39454,0.28613,0.21349,0.19382
101_cs,CONF_0227,-0.01573,-0.35631,-0.07728,0.17358,-0.41250,0.27035,0.40295,0.20580,0.22092
101_cs,CONF_0267,-0.03204,-0.35336,-0.09722,0.18131,-0.37118,0.27126,0.38422,0.19766,0.22112
101_cs,CONF_0275,0.07881,-0.46513,-0.08634,0.18459,-0.34256,0.31582,0.34049,0.19969,0.21625
101_cs,CONF_0291,-0.02864,-0.41227,0.03980,0.17220,-0.45501,0.39411,0.30750,0.21673,0.20305
101_cs,CONF_0299,0.03168,-0.43871,0.01692,0.17554,-0.31210,0.28930,0.43642,0.19358,0.20363
101_cs,CONF_0300,-0.04540,-0.42085,0.03222,0.17762,-0.40441,0.35181,0.30586,0.21357,0.20533
101_cs,CONF_0312,0.00565,-0.45911,0.08431,0.16462,-0.40528,0.39225,0.31719,0.21542,0.18871
101_cs,CONF_0385,0.06915,-0.40009,-0.03955,0.17679,-0.39428,0.27661,0.33207,0.19831,0.21744
101_cs,CONF_0422,-0.08841,-0.37476,0.01947,0.17785,-0.36674,0.42655,0.30042,0.20460,0.18779
101_cs,CONF_0519,-0.01561,-0.36425,-0.05372,0.18556,-0.37176,0.39078,0.27805,0.20062,0.22361
101_cs,CONF_0530,0.04077,-0.44396,0.04365,0.17488,-0.35000,0.32708,0.26733,0.21063,0.19778
101_cs,CONF_0541,0.03118,-0.41642,-0.01088,0.16276,-0.36822,0.37746,0.24179,0.21461,0.20775
101_cs,CONF_0562,0.08791,-0.53230,0.06858,0.18898,-0.37413,0.33490,0.28893,0.19069,0.19970
101_cs,CONF_0579,-0.04394,-0.48087,0.07035,0.19809,-0.34664,0.29913,0.31032,0.20854,0.18610
101_cs,CONF_0726,-0.10512,-0.40316,0.00783,0.17748,-0.35074,0.33924,0.30436,0.21783,0.20818
101_cs,CONF_0740,-0.06620,-0.45241,0.05763,0.18611,-0.35069,0.33852,0.32456,0.20168,0.19517
101_cs,CONF_0744,-0.03713,-0.49103,0.07393,0.20047,-0.35656,0.30181,0.29236,0.20930,0.19006
101_cs,CONF_0956,-0.05288,-0.42635,0.01932,0.18767,-0.38714,0.41965,0.30599,0.20631,0.19136
101_cs,CONF_1007,-0.05803,-0.36642,-0.02755,0.18507,-0.36369,0.27217,0.37741,0.22956,0.20132
102_cs,CONF_0002,0.02313,-0.40235,-0.01871,0.16783,-0.34505,0.40070,0.41866,0.19856,0.20948
102_cs,CONF_0004,-0.01100,-0.39766,-0.01943,0.17767,-0.33544,0.39704,0.41559,0.19875,0.20006
102_cs,CONF_0005,0.03595,-0.44107,0.01146,0.17393,-0.27256,0.40727,0.35998,0.19105,0.20096
102_cs,CONF_0008,0.04429,-0.43057,-0.00860,0.17584,-0.32052,0.41086,0.37450,0.19288,0.20286
102_cs,CONF_0013,-0.02416,-0.36013,-0.08193,0.17212,-0.36085,0.38275,0.39259,0.19470,0.21927
102_cs,CONF_0014,0.04270,-0.43297,0.02468,0.16417,-0.36561,0.39361,0.40754,0.19316,0.19643
102_cs,CONF_0017,-0.02459,-0.35971,-0.08182,0.17217,-0.36089,0.38259,0.39236,0.19465,0.21920
102_cs,CONF_0022,-0.07623,-0.31272,-0.07277,0.17296,-0.36152,0.40068,0.37904,0.21214,0.19611
102_cs,CONF_0027,0.01895,-0.38125,-0.00508,0.16845,-0.40448,0.41713,0.38260,0.19346,0.19930
