Ligand,Conformer,Atom1,Atom2,Atom3,Atom4,Atom5,Atom6,Atom7,Atom8,Atom9
100_cs,CONF_0001,-0.01387,-0.35392,-0.04054,0.15116,-0.39408,0.47259,0.56790,0.14621,0.18840
100_cs,CONF_0002,0.07917,-0.34513,-0.01899,0.13703,-0.39514,0.54635,0.50933,0.15836,0.16955
100_cs,CONF_0004,-0.02491,-0.35325,0.09639,0.13880,-0.40237,0.50484,0.52315,0.17392,0.14842
100_cs,CONF_0005,0.08705,-0.34413,-0.01860,0.13699,-0.39863,0.54280,0.50999,0.15745,0.16982
100_cs,CONF_0006,-0.00857,-0.35669,-0.02654,0.15009,-0.40106,0.48391,0.57198,0.14440,0.18883
100_cs,CONF_0007,-0.01421,-0.43922,0.12667,0.16753,-0.33143,0.42535,0.59089,0.14392,0.14413
100_cs,CONF_0008,-0.03825,-0.43153,0.12208,0.16511,-0.30154,0.59212,0.46414,0.15187,0.13980
100_cs,CONF_0009,0.04731,-0.39351,0.02290,0.12493,-0.40234,0.53702,0.57708,0.14480,0.18344
100_cs,CONF_0010,0.00984,-0.34835,-0.03843,0.13541,-0.31125,0.50017,0.48547,0.17037,0.16037
100_cs,CONF_0011,0.08285,-0.37664,-0.02877,0.14086,-0.38768,0.50580,0.52085,0.14137,0.17319
100_cs,CONF_0012,-0.02978,-0.34723,-0.00876,0.13815,-0.31199,0.47744,0.50675,0.15857,0.17572
100_cs,CONF_0014,0.03092,-0.39355,0.01760,0.12641,-0.40305,0.55017,0.57503,0.15121,0.18262
100_cs,CONF_0015,0.04973,-0.47327,0.12381,0.16949,-0.40515,0.57355,0.51170,0.14818,0.13836
100_cs,CONF_0016,0.02887,-0.38000,0.01463,0.14566,-0.31585,0.47625,0.52375,0.14666,0.18588
100_cs,CONF_0017,0.03984,-0.46483,0.13080,0.16731,-0.40847,0.57556,0.52440,0.14862,0.13951
100_cs,CONF_0018,0.03080,-0.38262,0.01444,0.14491,-0.31226,0.47390,0.52269,0.14742,0.18549
100_cs,CONF_0020,0.09291,-0.35480,-0.02287,0.13949,-0.39930,0.54501,0.50393,0.15306,0.17308
100_cs,CONF_0021,-0.00804,-0.32502,0.03143,0.14097,-0.32347,0.51308,0.59008,0.16313,0.15476
100_cs,CONF_0022,-0.00932,-0.31677,0.03209,0.13843,-0.32526,0.52693,0.59036,0.16444,0.15434
100_cs,CONF_0023,-0.03382,-0.37358,0.08477,0.14017,-0.38239,0.51601,0.49890,0.17214,0.13934
100_cs,CONF_0024,0.00402,-0.32935,0.03248,0.14024,-0.31880,0.50417,0.58823,0.16095,0.15599
100_cs,CONF_0025,-0.00893,-0.32293,0.02724,0.14093,-0.32327,0.51272,0.58905,0.16423,0.15396
100_cs,CONF_0027,-0.00520,-0.39786,0.00261,0.14218,-0.34829,0.54919,0.54021,0.18943,0.14423
100_cs,CONF_0029,0.07367,-0.36644,-0.04912,0.13924,-0.38365,0.50880,0.52578,0.14072,0.17787
100_cs,CONF_0031,-0.00707,-0.36255,-0.02307,0.15199,-0.40148,0.48380,0.56760,0.14543,0.18789
101_cs,CONF_0002,0.03483,-0.36766,0.02020,0.13191,-0.34517,0.42716,0.43315,0.16340,0.16817
101_cs,CONF_0004,0.01203,-0.35354,0.01344,0.14031,-0.32637,0.40865,0.41955,0.16185,0.15840
101_cs,CONF_0005,0.07205,-0.42678,0.04020,0.14237,-0.26951,0.40976,0.36042,0.15055,0.16429
101_cs,CONF_0008,0.02269,-0.39674,0.06871,0.14411,-0.33120,0.38199,0.42702,0.16266,0.15356
101_cs,CONF_0013,-0.00059,-0.31785,-0.05603,0.12970,-0.36227,0.38376,0.40281,0.16036,0.18049
101_cs,CONF_0014,0.04534,-0.38063,0.03760,0.12724,-0.35706,0.41419,0.42142,0.15996,0.15715
101_cs,CONF_0017,-0.00687,-0.31372,-0.05818,0.12998,-0.36402,0.38248,0.40216,0.16070,0.18055
101_cs,CONF_0021,-0.04375,-0.26607,-0.07547,0.13478,-0.36544,0.38792,0.41216,0.15675,0.17888
101_cs,CONF_0027,0.03321,-0.32501,-0.06572,0.13961,-0.33928,0.38314,0.43293,0.15552,0.18632
101_cs,CONF_0028,0.03477,-0.33918,0.01978,0.13527,-0.38696,0.41791,0.40203,0.15483,0.15945
101_cs,CONF_0035,0.03481,-0.32527,-0.06842,0.13967,-0.33886,0.38180,0.43293,0.15527,0.18679
