Ligand,Conformer,1C,2C,3C,5Pd,6P,7P
100_cs,CONF_0001,0.20405,0.01698,0.06163,0.19360,0.23163,0.11483
100_cs,CONF_0002,0.16557,0.01652,0.09915,0.21377,0.15581,0.21075
100_cs,CONF_0004,0.11535,0.01775,0.15206,0.19613,0.20481,0.15621
100_cs,CONF_0005,0.16524,0.01670,0.10061,0.21148,0.15513,0.21063
100_cs,CONF_0006,0.20386,0.01706,0.06203,0.19407,0.23176,0.11483
100_cs,CONF_0007,0.22106,0.01623,0.05296,0.22168,0.26839,0.09703
100_cs,CONF_0008,0.19927,0.01121,0.05445,0.22753,0.20449,0.14406
100_cs,CONF_0009,0.11376,0.01379,0.13292,0.23754,0.20059,0.15436
100_cs,CONF_0010,0.06690,0.01268,0.18417,0.22505,0.16328,0.18892
100_cs,CONF_0011,0.17981,0.01502,0.08718,0.23683,0.15512,0.21091
100_cs,CONF_0012,0.18719,0.01250,0.06345,0.22827,0.18952,0.16189
100_cs,CONF_0014,0.11051,0.01366,0.13528,0.24055,0.20165,0.15351
100_cs,CONF_0015,0.19859,0.01540,0.07303,0.19803,0.16851,0.17033
100_cs,CONF_0016,0.20370,0.01482,0.09221,0.20492,0.16369,0.18814
100_cs,CONF_0017,0.19857,0.01535,0.07308,0.19815,0.16842,0.17043
100_cs,CONF_0018,0.20286,0.01507,0.09349,0.20448,0.16368,0.18806
100_cs,CONF_0020,0.16273,0.01723,0.10605,0.20485,0.15398,0.20940
100_cs,CONF_0021,0.16538,0.01343,0.08398,0.20599,0.15044,0.20128
100_cs,CONF_0022,0.16616,0.01352,0.08370,0.20621,0.15056,0.20151
100_cs,CONF_0023,0.08725,0.01503,0.18040,0.23728,0.21136,0.15491
100_cs,CONF_0024,0.16466,0.01331,0.08410,0.20313,0.15096,0.19954
100_cs,CONF_0025,0.16466,0.01355,0.08479,0.20649,0.14944,0.20212
100_cs,CONF_0027,0.10449,0.01742,0.15227,0.19517,0.14754,0.19085
100_cs,CONF_0029,0.17922,0.01504,0.08785,0.23639,0.15473,0.21112
100_cs,CONF_0031,0.20449,0.01704,0.06123,0.19449,0.23206,0.11442
101_cs,CONF_0002,0.17600,0.01487,0.15406,0.18159,0.21050,0.19993
101_cs,CONF_0004,0.20015,0.01614,0.13921,0.17291,0.21908,0.19377
101_cs,CONF_0005,0.13856,0.01775,0.19128,0.19736,0.20191,0.21222
101_cs,CONF_0008,0.18444,0.01769,0.14593,0.18212,0.20721,0.19887
101_cs,CONF_0013,0.18802,0.01479,0.14765,0.18166,0.21290,0.20157
101_cs,CONF_0014,0.18154,0.01471,0.14095,0.20583,0.20452,0.20864
101_cs,CONF_0017,0.18790,0.01468,0.14830,0.18032,0.21284,0.20191
101_cs,CONF_0021,0.17783,0.01438,0.16576,0.16201,0.20985,0.20976
101_cs,CONF_0027,0.21528,0.01577,0.13194,0.17361,0.22028,0.19199
101_cs,CONF_0028,0.16674,0.01665,0.16623,0.18791,0.21643,0.19735
101_cs,CONF_0035,0.21482,0.01580,0.13227,0.17332,0.22030,0.19197
101_cs,CONF_0038,0.21349,0.01488,0.11978,0.19751,0.21331,0.20468
101_cs,CONF_0040,0.16815,0.01630,0.15428,0.20338,0.20852,0.20002
101_cs,CONF_0042,0.13562,0.01770,0.19220,0.20895,0.20934,0.20625
101_cs,CONF_0058,0.13854,0.01706,0.19218,0.20085,0.20575,0.21222
101_cs,CONF_0070,0.22671,0.01889,0.10811,0.21049,0.21327,0.19165
101_cs,CONF_0081,0.19140,0.01362,0.13345,0.18632,0.21206,0.20042
101_cs,CONF_0102,0.18779,0.01697,0.14689,0.21130,0.21588,0.20154
101_cs,CONF_0113,0.20319,0.01688,0.11972,0.20368,0.20996,0.19732
101_cs,CONF_0227,0.13750,0.01361,0.18771,0.18447,0.20203,0.21154
101_cs,CONF_0267,0.11820,0.01665,0.21471,0.19358,0.19149,0.21974
101_cs,CONF_0275,0.17966,0.01582,0.13883,0.20362,0.21508,0.20183
101_cs,CONF_0291,0.19285,0.01842,0.13966,0.22565,0.20563,0.20209
101_cs,CONF_0299,0.11626,0.01454,0.21866,0.20467,0.20174,0.21587
101_cs,CONF_0300,0.18414,0.01775,0.15058,0.21640,0.20917,0.20458
101_cs,CONF_0312,0.17796,0.01589,0.14385,0.23827,0.19896,0.21134
101_cs,CONF_0385,0.13962,0.01794,0.19259,0.19226,0.20509,0.20192
101_cs,CONF_0422,0.13358,0.01866,0.20213,0.25092,0.21629,0.21137
101_cs,CONF_0519,0.24010,0.01868,0.11252,0.19924,0.21961,0.18961
101_cs,CONF_0530,0.21348,0.02137,0.11933,0.20949,0.20791,0.19477
101_cs,CONF_0541,0.17821,0.01680,0.14388,0.20066,0.20515,0.20111
101_cs,CONF_0562,0.12638,0.01914,0.18254,0.23333,0.21070,0.20610
101_cs,CONF_0579,0.11491,0.01671,0.21844,0.22636,0.21763,0.20668
101_cs,CONF_0726,0.16746,0.01590,0.15745,0.20715,0.20790,0.21089
101_cs,CONF_0740,0.10671,0.01556,0.21923,0.22751,0.20974,0.21203
101_cs,CONF_0744,0.11445,0.01686,0.21907,0.22700,0.21828,0.20664
101_cs,CONF_0956,0.12431,0.01879,0.21628,0.24857,0.22037,0.21271
101_cs,CONF_1007,0.11080,0.01868,0.24115,0.20034,0.18935,0.21998
102_cs,CONF_0002,0.17598,0.01483,0.15450,0.18159,0.21053,0.19981
102_cs,CONF_0004,0.20012,0.01613,0.13909,0.17287,0.21915,0.19371
102_cs,CONF_0005,0.13828,0.01769,0.19190,0.19697,0.20199,0.21235
102_cs,CONF_0008,0.14625,0.01761,0.18416,0.18135,0.19910,0.20796
102_cs,CONF_0013,0.18785,0.01482,0.14758,0.18178,0.21288,0.20163
102_cs,CONF_0014,0.18091,0.01469,0.14177,0.20625,0.20451,0.20876
102_cs,CONF_0017,0.18779,0.01480,0.14767,0.18157,0.21293,0.20165
102_cs,CONF_0022,0.16590,0.01439,0.17777,0.16150,0.21021,0.20996
102_cs,CONF_0027,0.16514,0.01647,0.16800,0.18781,0.21657,0.19773
102_cs,CONF_0028,0.13306,0.01584,0.21396,0.17281,0.19192,0.22000
102_cs,CONF_0030,0.16544,0.01433,0.17848,0.16124,0.21017,0.21002
102_cs,CONF_0033,0.21470,0.01582,0.13233,0.17341,0.22000,0.19195
102_cs,CONF_0035,0.18612,0.01905,0.15059,0.19321,0.21371,0.19469
102_cs,CONF_0036,0.21241,0.01505,0.12093,0.19654,0.21284,0.20438
102_cs,CONF_0039,0.16831,0.01621,0.15493,0.20350,0.20826,0.20013
102_cs,CONF_0040,0.13540,0.01765,0.19244,0.20852,0.20972,0.20677
102_cs,CONF_0068,0.22662,0.01897,0.10813,0.21080,0.21340,0.19120
102_cs,CONF_0078,0.19672,0.01566,0.13043,0.19314,0.20784,0.19905
