Ligand,Conformer,1C,2C,3C,5Pd,6P,7P
100_cs,CONF_0001,0.20854,0.02615,0.06902,0.24637,0.22982,0.11032
100_cs,CONF_0002,0.15825,0.02705,0.11007,0.26310,0.15211,0.19372
100_cs,CONF_0004,0.12739,0.02714,0.14585,0.24922,0.18460,0.15120
100_cs,CONF_0005,0.15757,0.02721,0.11139,0.26138,0.15155,0.19317
100_cs,CONF_0006,0.20797,0.02621,0.06948,0.24661,0.22964,0.11056
100_cs,CONF_0007,0.22528,0.02351,0.05348,0.28397,0.24147,0.10539
100_cs,CONF_0008,0.19976,0.02023,0.05012,0.29165,0.18055,0.14659
100_cs,CONF_0009,0.12242,0.02316,0.13254,0.28419,0.20002,0.14255
100_cs,CONF_0010,0.06872,0.02520,0.17935,0.28510,0.16496,0.17028
100_cs,CONF_0011,0.17725,0.02668,0.09560,0.28932,0.15139,0.19507
100_cs,CONF_0012,0.18280,0.02540,0.06547,0.28806,0.17134,0.16352
100_cs,CONF_0014,0.12119,0.02284,0.13511,0.28639,0.20192,0.14168
100_cs,CONF_0015,0.19451,0.02622,0.07873,0.25678,0.15934,0.15805
100_cs,CONF_0016,0.19734,0.02777,0.10047,0.26116,0.15675,0.18263
100_cs,CONF_0017,0.19419,0.02620,0.07885,0.25684,0.15911,0.15802
100_cs,CONF_0018,0.19565,0.02791,0.10169,0.26123,0.15640,0.18266
100_cs,CONF_0020,0.15463,0.02760,0.11710,0.25586,0.15061,0.19080
100_cs,CONF_0021,0.16024,0.02493,0.09037,0.25892,0.14569,0.17998
100_cs,CONF_0022,0.16122,0.02510,0.08991,0.25916,0.14581,0.18037
100_cs,CONF_0023,0.09584,0.02680,0.17734,0.28966,0.19550,0.15115
100_cs,CONF_0024,0.15956,0.02482,0.09041,0.25648,0.14616,0.17836
100_cs,CONF_0025,0.15942,0.02497,0.09134,0.25934,0.14483,0.18082
100_cs,CONF_0027,0.11116,0.03010,0.15008,0.24545,0.14087,0.18339
100_cs,CONF_0029,0.17688,0.02668,0.09654,0.28898,0.15092,0.19485
100_cs,CONF_0031,0.20909,0.02606,0.06857,0.24703,0.23003,0.11006
101_cs,CONF_0002,0.17976,0.02787,0.15978,0.20662,0.21499,0.20589
101_cs,CONF_0004,0.20596,0.02729,0.14828,0.19841,0.21933,0.20057
101_cs,CONF_0005,0.13674,0.03177,0.20404,0.22248,0.20447,0.21449
101_cs,CONF_0008,0.19347,0.03097,0.14645,0.20531,0.21187,0.20702
101_cs,CONF_0013,0.18424,0.02565,0.15287,0.20896,0.21888,0.20847
101_cs,CONF_0014,0.17850,0.02875,0.13998,0.23324,0.20768,0.21381
101_cs,CONF_0017,0.18385,0.02550,0.15348,0.20781,0.21893,0.20870
101_cs,CONF_0021,0.18082,0.02404,0.17167,0.19121,0.21477,0.21247
101_cs,CONF_0027,0.22153,0.02693,0.14386,0.19898,0.22577,0.19725
101_cs,CONF_0028,0.16325,0.02913,0.16991,0.21966,0.21825,0.20085
101_cs,CONF_0035,0.22094,0.02696,0.14426,0.19876,0.22571,0.19728
101_cs,CONF_0038,0.22228,0.02735,0.12563,0.22747,0.21548,0.20825
101_cs,CONF_0040,0.16288,0.03087,0.15677,0.22966,0.21302,0.20468
101_cs,CONF_0042,0.14027,0.03083,0.20372,0.23313,0.21259,0.20650
101_cs,CONF_0058,0.14169,0.02986,0.20097,0.22606,0.21022,0.21327
101_cs,CONF_0070,0.23084,0.02761,0.11849,0.23882,0.20682,0.20101
101_cs,CONF_0081,0.19867,0.02246,0.14326,0.20860,0.21080,0.21083
101_cs,CONF_0102,0.19742,0.02912,0.16158,0.23166,0.22057,0.20143
101_cs,CONF_0113,0.21305,0.02717,0.12158,0.22987,0.20523,0.20700
101_cs,CONF_0227,0.14635,0.02287,0.19411,0.20836,0.21100,0.21027
101_cs,CONF_0267,0.12760,0.02418,0.22301,0.21883,0.20080,0.21438
101_cs,CONF_0275,0.18869,0.02758,0.15336,0.22787,0.21266,0.20430
101_cs,CONF_0291,0.20259,0.02796,0.15059,0.25259,0.20502,0.20590
101_cs,CONF_0299,0.12754,0.02412,0.22810,0.22830,0.20709,0.21058
101_cs,CONF_0300,0.19202,0.02696,0.16019,0.24115,0.21054,0.20815
101_cs,CONF_0312,0.18642,0.02838,0.14510,0.26129,0.19786,0.21530
101_cs,CONF_0385,0.14235,0.03002,0.19840,0.22003,0.20812,0.19975
101_cs,CONF_0422,0.14845,0.03141,0.20576,0.27963,0.20746,0.21589
101_cs,CONF_0519,0.24946,0.02597,0.12868,0.22288,0.21953,0.19986
101_cs,CONF_0530,0.20400,0.03394,0.12684,0.23656,0.20423,0.20059
101_cs,CONF_0541,0.16973,0.03065,0.14950,0.22569,0.20467,0.20608
101_cs,CONF_0562,0.13010,0.03247,0.19574,0.25862,0.21235,0.20453
101_cs,CONF_0579,0.13707,0.03184,0.23135,0.26139,0.21173,0.20443
101_cs,CONF_0726,0.17779,0.02510,0.16753,0.23427,0.20818,0.21089
101_cs,CONF_0740,0.12674,0.03033,0.22778,0.26174,0.20528,0.21012
101_cs,CONF_0744,0.13628,0.03191,0.23293,0.26202,0.21209,0.20487
101_cs,CONF_0956,0.13827,0.03083,0.23261,0.27745,0.21456,0.21570
101_cs,CONF_1007,0.12676,0.02593,0.25070,0.22424,0.19930,0.21934
102_cs,CONF_0002,0.17924,0.02781,0.16095,0.20661,0.21443,0.20550
102_cs,CONF_0004,0.20555,0.02731,0.14848,0.19879,0.21897,0.20014
102_cs,CONF_0005,0.13661,0.03164,0.20436,0.22207,0.20443,0.21416
102_cs,CONF_0008,0.14633,0.03107,0.19365,0.20460,0.20630,0.21227
102_cs,CONF_0013,0.18440,0.02557,0.15329,0.20939,0.21849,0.20852
102_cs,CONF_0014,0.17787,0.02868,0.14077,0.23416,0.20737,0.21392
102_cs,CONF_0017,0.18432,0.02555,0.15337,0.20924,0.21855,0.20852
102_cs,CONF_0022,0.17138,0.02407,0.18075,0.19128,0.21261,0.21499
102_cs,CONF_0027,0.16178,0.02901,0.17173,0.22016,0.21783,0.20119
102_cs,CONF_0028,0.14542,0.02710,0.22062,0.19855,0.19649,0.22546
102_cs,CONF_0030,0.17126,0.02399,0.18148,0.19112,0.21297,0.21482
102_cs,CONF_0033,0.22028,0.02692,0.14498,0.19920,0.22520,0.19712
102_cs,CONF_0035,0.18179,0.03149,0.15933,0.22274,0.21493,0.19908
102_cs,CONF_0036,0.22069,0.02778,0.12722,0.22729,0.21482,0.20731
102_cs,CONF_0039,0.16293,0.03075,0.15804,0.22970,0.21212,0.20498
102_cs,CONF_0040,0.13974,0.03091,0.20360,0.23259,0.21260,0.20658
102_cs,CONF_0068,0.23080,0.02769,0.11880,0.23880,0.20693,0.20058
102_cs,CONF_0078,0.20021,0.02627,0.14300,0.21829,0.20338,0.20834
102_cs,CONF_0098,0.19741,0.02920,0.16208,0.23149,0.22026,0.20198
102_cs,CONF_0112,0.21340,0.02709,0.12185,0.22911,0.20540,0.20669
102_cs,CONF_0230,0.19460,0.02275,0.14640,0.20824,0.20973,0.21049
