Ligand,Conformer,1C,2C,3C,5Pd,6P,7P
100_cs,CONF_0001,0.19070,0.02659,0.05755,0.23899,0.22091,0.10210
100_cs,CONF_0002,0.14843,0.02579,0.09541,0.25820,0.14989,0.18535
100_cs,CONF_0004,0.11152,0.02585,0.13691,0.24638,0.17720,0.14873
100_cs,CONF_0005,0.14792,0.02590,0.09684,0.25655,0.14920,0.18493
100_cs,CONF_0006,0.19010,0.02667,0.05795,0.23940,0.22084,0.10233
100_cs,CONF_0007,0.21578,0.02377,0.04367,0.26726,0.24754,0.08686
100_cs,CONF_0008,0.18766,0.02008,0.04481,0.27201,0.18342,0.13566
100_cs,CONF_0009,0.10366,0.02235,0.12289,0.27697,0.18931,0.14266
100_cs,CONF_0010,0.06135,0.02483,0.16280,0.27029,0.15434,0.16956
100_cs,CONF_0011,0.16507,0.02583,0.08162,0.27935,0.15223,0.18309
100_cs,CONF_0012,0.16569,0.02476,0.05865,0.27246,0.16991,0.15338
100_cs,CONF_0014,0.10218,0.02193,0.12540,0.27850,0.19073,0.14191
100_cs,CONF_0015,0.18164,0.02626,0.07093,0.24744,0.15490,0.15208
100_cs,CONF_0016,0.18261,0.02677,0.09257,0.24887,0.15229,0.17391
100_cs,CONF_0017,0.18129,0.02626,0.07102,0.24763,0.15462,0.15214
100_cs,CONF_0018,0.18128,0.02699,0.09371,0.24884,0.15235,0.17355
100_cs,CONF_0020,0.14559,0.02623,0.10247,0.25150,0.14795,0.18315
100_cs,CONF_0021,0.15258,0.02324,0.07953,0.25292,0.14265,0.17266
100_cs,CONF_0022,0.15360,0.02336,0.07910,0.25290,0.14275,0.17291
100_cs,CONF_0023,0.08188,0.02597,0.16511,0.27979,0.18369,0.15188
100_cs,CONF_0024,0.15176,0.02313,0.07955,0.25048,0.14306,0.17088
100_cs,CONF_0025,0.15194,0.02327,0.08052,0.25340,0.14170,0.17357
100_cs,CONF_0027,0.09717,0.03006,0.13312,0.24329,0.13644,0.17614
100_cs,CONF_0029,0.16465,0.02585,0.08241,0.27916,0.15179,0.18287
100_cs,CONF_0031,0.19115,0.02652,0.05718,0.23959,0.22111,0.10190
101_cs,CONF_0002,0.15519,0.02763,0.13517,0.21178,0.20942,0.19995
101_cs,CONF_0004,0.17978,0.02777,0.12538,0.20425,0.21351,0.19312
101_cs,CONF_0005,0.11320,0.03237,0.17673,0.22623,0.19842,0.20909
101_cs,CONF_0008,0.16497,0.03137,0.12307,0.20918,0.20510,0.19952
101_cs,CONF_0013,0.16297,0.02560,0.13190,0.21109,0.21464,0.20159
101_cs,CONF_0014,0.15645,0.02835,0.11906,0.23367,0.20415,0.20818
101_cs,CONF_0017,0.16264,0.02543,0.13249,0.20997,0.21473,0.20187
101_cs,CONF_0021,0.15955,0.02379,0.14980,0.19576,0.20963,0.20666
101_cs,CONF_0027,0.19683,0.02726,0.11996,0.20428,0.21893,0.18709
101_cs,CONF_0028,0.14094,0.02915,0.14791,0.22254,0.21303,0.19578
101_cs,CONF_0035,0.19636,0.02729,0.12035,0.20402,0.21897,0.18703
101_cs,CONF_0038,0.19740,0.02681,0.10347,0.22826,0.21024,0.20020
101_cs,CONF_0040,0.13949,0.03073,0.13393,0.23131,0.20788,0.20115
101_cs,CONF_0042,0.11591,0.03129,0.17633,0.23546,0.20853,0.20064
101_cs,CONF_0058,0.11772,0.02990,0.17645,0.22834,0.20389,0.21055
101_cs,CONF_0070,0.20167,0.02979,0.09756,0.24226,0.20355,0.19166
101_cs,CONF_0081,0.17325,0.02221,0.12100,0.21499,0.20727,0.20441
101_cs,CONF_0102,0.17224,0.02841,0.13447,0.23567,0.21387,0.19993
101_cs,CONF_0113,0.18413,0.02816,0.10082,0.23371,0.20175,0.19943
101_cs,CONF_0227,0.12441,0.02256,0.16948,0.21449,0.20489,0.20695
101_cs,CONF_0267,0.10748,0.02508,0.19614,0.22409,0.19401,0.21110
101_cs,CONF_0275,0.16413,0.02698,0.12807,0.23107,0.20484,0.20166
101_cs,CONF_0291,0.17553,0.02878,0.12852,0.25378,0.20359,0.19836
101_cs,CONF_0299,0.10663,0.02441,0.20092,0.23339,0.20211,0.20524
101_cs,CONF_0300,0.16867,0.02752,0.13918,0.24218,0.20991,0.20048
101_cs,CONF_0312,0.16101,0.02833,0.12418,0.26116,0.19803,0.20823
101_cs,CONF_0385,0.11981,0.03082,0.17127,0.22433,0.20035,0.19791
101_cs,CONF_0422,0.12404,0.03040,0.18433,0.27544,0.20470,0.21195
101_cs,CONF_0519,0.22193,0.02804,0.10480,0.22740,0.21438,0.18867
101_cs,CONF_0530,0.17873,0.03566,0.10597,0.23729,0.20304,0.19166
101_cs,CONF_0541,0.14721,0.03087,0.12683,0.22959,0.20358,0.19860
101_cs,CONF_0562,0.10623,0.03257,0.16936,0.25818,0.20990,0.19741
101_cs,CONF_0579,0.11089,0.03103,0.20501,0.25742,0.20748,0.19614
101_cs,CONF_0726,0.15465,0.02533,0.14540,0.23564,0.20786,0.20346
101_cs,CONF_0740,0.10264,0.02970,0.20019,0.25855,0.20015,0.20402
101_cs,CONF_0744,0.11030,0.03108,0.20691,0.25761,0.20769,0.19669
101_cs,CONF_0956,0.11462,0.02913,0.20902,0.27254,0.21019,0.21164
101_cs,CONF_1007,0.10321,0.02799,0.22307,0.22859,0.18816,0.21418
102_cs,CONF_0002,0.15465,0.02756,0.13623,0.21183,0.20894,0.19964
102_cs,CONF_0004,0.17936,0.02779,0.12557,0.20462,0.21319,0.19271
102_cs,CONF_0005,0.11313,0.03224,0.17702,0.22587,0.19845,0.20880
102_cs,CONF_0008,0.12294,0.03147,0.16519,0.20862,0.19899,0.20552
102_cs,CONF_0013,0.16308,0.02553,0.13230,0.21147,0.21428,0.20160
102_cs,CONF_0014,0.15582,0.02827,0.11979,0.23457,0.20394,0.20827
102_cs,CONF_0017,0.16301,0.02550,0.13239,0.21132,0.21435,0.20161
102_cs,CONF_0022,0.14967,0.02383,0.15961,0.19584,0.20697,0.20957
102_cs,CONF_0027,0.13945,0.02897,0.14960,0.22300,0.21269,0.19625
102_cs,CONF_0028,0.12112,0.02745,0.19575,0.20400,0.18645,0.21841
102_cs,CONF_0030,0.14932,0.02372,0.16022,0.19555,0.20710,0.20960
102_cs,CONF_0033,0.19574,0.02726,0.12091,0.20445,0.21847,0.18678
102_cs,CONF_0035,0.15675,0.03228,0.13602,0.22602,0.20984,0.19421
102_cs,CONF_0036,0.19581,0.02727,0.10471,0.22818,0.20954,0.19912
102_cs,CONF_0039,0.13961,0.03058,0.13516,0.23146,0.20715,0.20146
102_cs,CONF_0040,0.11518,0.03135,0.17607,0.23544,0.20905,0.20125
102_cs,CONF_0068,0.20165,0.02987,0.09781,0.24231,0.20362,0.19125
102_cs,CONF_0078,0.17354,0.02706,0.11807,0.22539,0.20060,0.20001
102_cs,CONF_0098,0.17215,0.02853,0.13481,0.23553,0.21363,0.20045
102_cs,CONF_0112,0.18448,0.02806,0.10108,0.23297,0.20191,0.19906
102_cs,CONF_0230,0.16976,0.02247,0.12444,0.21442,0.20642,0.20436
102_cs,CONF_0261,0.19658,0.02497,0.10711,0.22439,0.21122,0.19353
102_cs,CONF_0269,0.12837,0.02703,0.16428,0.23156,0.20153,0.20373
102_cs,CONF_0282,0.17593,0.02895,0.12766,0.25429,0.20329,0.19866
102_cs,CONF_0286,0.10688,0.02432,0.20019,0.23276,0.20266,0.20544
102_cs,CONF_0290,0.16877,0.02767,0.13859,0.24252,0.20959,0.20031
102_cs,CONF_0300,0.16034,0.02849,0.12546,0.26186,0.19669,0.20865
102_cs,CONF_0409,0.12417,0.03059,0.18477,0.27581,0.20435,0.21147
102_cs,CONF_0519,0.17725,0.03529,0.10747,0.23683,0.20307,0.19207
102_cs,CONF_0532,0.14933,0.03102,0.12601,0.22947,0.20286,0.19792
102_cs,CONF_0556,0.11020,0.03112,0.20625,0.25855,0.20684,0.19608
102_cs,CONF_0605,0.16911,0.03262,0.10644,0.25778,0.19724,0.20955
102_cs,CONF_0626,0.10470,0.02808,0.22114,0.22766,0.18866,0.21447
102_cs,CONF_0711,0.15407,0.02544,0.14562,0.23611,0.20776,0.20342
102_cs,CONF_0713,0.10089,0.02997,0.20172,0.26252,0.19997,0.20548
102_cs,CONF_0934,0.14183,0.02529,0.15806,0.23523,0.20379,0.20757
102_cs,CONF_0939,0.11462,0.02903,0.20864,0.27246,0.21028,0.21234
103_cs,CONF_0007,0.14448,0.02650,0.14834,0.20425,0.20552,0.20577
103_cs,CONF_0032,0.17351,0.02528,0.12915,0.20080,0.21340,0.19747
103_cs,CONF_0036,0.16064,0.02472,0.12899,0.20440,0.20784,0.19970
103_cs,CONF_0038,0.16509,0.02200,0.13133,0.20287,0.20360,0.21569
103_cs,CONF_0059,0.12141,0.02634,0.17146,0.23854,0.19842,0.21185
103_cs,CONF_0063,0.19330,0.02673,0.12124,0.20143,0.22883,0.18937
103_cs,CONF_0067,0.20499,0.03286,0.09234,0.23541,0.20259,0.19673
103_cs,CONF_0068,0.19581,0.02930,0.10714,0.22412,0.20569,0.20090
103_cs,CONF_0077,0.17624,0.02698,0.13174,0.20252,0.21400,0.19429
103_cs,CONF_0081,0.17985,0.02873,0.11093,0.21991,0.20118,0.20340
103_cs,CONF_0103,0.16585,0.02807,0.11960,0.21908,0.19856,0.20661
103_cs,CONF_0108,0.16570,0.02814,0.11996,0.21873,0.19849,0.20698
103_cs,CONF_0122,0.18711,0.03147,0.12997,0.21198,0.21327,0.19454
103_cs,CONF_0163,0.14940,0.03060,0.15731,0.23560,0.21103,0.20205
103_cs,CONF_0164,0.18741,0.02580,0.10770,0.21397,0.21040,0.19644
103_cs,CONF_0173,0.15701,0.02497,0.12324,0.21596,0.21383,0.19725
103_cs,CONF_0280,0.12886,0.02511,0.17430,0.22971,0.21209,0.20498
103_cs,CONF_0376,0.08770,0.02566,0.19621,0.26340,0.20887,0.20039
103_cs,CONF_0421,0.13257,0.02603,0.15189,0.24658,0.19678,0.21941
103_cs,CONF_0423,0.13038,0.02624,0.15924,0.25023,0.20671,0.20526
103_cs,CONF_0491,0.20200,0.02420,0.09638,0.24830,0.20815,0.20023
103_cs,CONF_0594,0.15945,0.02645,0.13070,0.21187,0.20083,0.20950
103_cs,CONF_0640,0.22682,0.02455,0.07958,0.26502,0.20212,0.20625
103_cs,CONF_0740,0.10523,0.03112,0.17758,0.23400,0.21161,0.19216
103_cs,CONF_0765,0.11275,0.02601,0.17395,0.21999,0.20981,0.20758
103_cs,CONF_0812,0.17502,0.02352,0.13130,0.23147,0.20292,0.22244
103_cs,CONF_0813,0.19866,0.03408,0.09037,0.24315,0.20876,0.18933
103_cs,CONF_0846,0.19867,0.03406,0.09031,0.24325,0.20877,0.18937
103_cs,CONF_0879,0.12892,0.02491,0.17388,0.22890,0.21232,0.20478
103_cs,CONF_0986,0.08746,0.02565,0.19648,0.26367,0.20880,0.20033
103_cs,CONF_1024,0.10586,0.03061,0.19082,0.23216,0.19080,0.21025
103_cs,CONF_1078,0.16317,0.02839,0.12049,0.25115,0.21734,0.19306
103_cs,CONF_1255,0.19519,0.02305,0.10339,0.24031,0.20449,0.21165
104_cs,CONF_0036,0.16027,0.02467,0.12929,0.20480,0.20810,0.19955
104_cs,CONF_0037,0.13076,0.02232,0.16444,0.20310,0.21517,0.20409
104_cs,CONF_0060,0.12124,0.02640,0.17208,0.23795,0.19898,0.21228
104_cs,CONF_0063,0.19519,0.02631,0.12102,0.20168,0.22887,0.18975
104_cs,CONF_0069,0.19583,0.02923,0.10707,0.22354,0.20550,0.20153
104_cs,CONF_0070,0.20442,0.03297,0.09308,0.23506,0.20256,0.19683
104_cs,CONF_0074,0.14221,0.03176,0.14980,0.21483,0.20359,0.20272
104_cs,CONF_0078,0.17614,0.02696,0.13181,0.20275,0.21440,0.19411
104_cs,CONF_0083,0.17945,0.02884,0.11153,0.21884,0.20125,0.20405
104_cs,CONF_0103,0.16619,0.02803,0.11995,0.21866,0.19837,0.20673
104_cs,CONF_0115,0.11977,0.02814,0.16578,0.21807,0.20721,0.19868
104_cs,CONF_0122,0.18676,0.03156,0.13018,0.21216,0.21356,0.19461
104_cs,CONF_0158,0.14984,0.03080,0.15758,0.23652,0.21138,0.20194
104_cs,CONF_0163,0.18746,0.02574,0.10811,0.21330,0.21046,0.19697
104_cs,CONF_0275,0.12997,0.02515,0.17420,0.23003,0.21172,0.20546
104_cs,CONF_0336,0.13114,0.02214,0.16441,0.20312,0.21551,0.20391
104_cs,CONF_0370,0.08651,0.02584,0.19551,0.26350,0.20928,0.20093
104_cs,CONF_0379,0.14972,0.02591,0.13448,0.24715,0.21970,0.19800
104_cs,CONF_0419,0.13114,0.02629,0.15938,0.24960,0.20722,0.20583
104_cs,CONF_0502,0.09625,0.02410,0.20294,0.24806,0.19955,0.20820
104_cs,CONF_0584,0.15926,0.02625,0.13118,0.21166,0.20082,0.21040
104_cs,CONF_0687,0.07959,0.02471,0.22570,0.26491,0.20719,0.20229
104_cs,CONF_0722,0.17682,0.03123,0.10591,0.23303,0.19256,0.21099
104_cs,CONF_0755,0.11276,0.02585,0.17409,0.22039,0.21045,0.20699
104_cs,CONF_0780,0.13043,0.02382,0.17501,0.23180,0.22287,0.20333
104_cs,CONF_0812,0.20441,0.03291,0.09283,0.23495,0.20259,0.19696
104_cs,CONF_0828,0.19866,0.03394,0.09064,0.24317,0.20889,0.18939
104_cs,CONF_0858,0.13004,0.02519,0.17408,0.22988,0.21182,0.20545
104_cs,CONF_0967,0.08651,0.02571,0.19621,0.26331,0.20882,0.20088
