Ligand,Conformer,Atom1,Atom2,Atom3,Atom4,Atom5,Atom6,Atom7,Atom8,Atom9
100_cs,CONF_0001,-0.31041,-0.23214,-0.24952,0.24408,0.29005,0.95462,0.94243,0.24787,0.24217
100_cs,CONF_0002,-0.30648,-0.23904,-0.26097,0.24238,0.29524,0.93682,0.97203,0.25208,0.24662
100_cs,CONF_0004,-0.27015,-0.23648,-0.30117,0.24283,0.29572,0.97355,0.93624,0.24686,0.25111
100_cs,CONF_0005,-0.30649,-0.23888,-0.26160,0.24245,0.29545,0.93644,0.97278,0.25211,0.24664
100_cs,CONF_0006,-0.30995,-0.23190,-0.25005,0.24399,0.28973,0.95558,0.94177,0.24778,0.24205
100_cs,CONF_0007,-0.30542,-0.23446,-0.23628,0.24524,0.30472,0.93641,0.93908,0.24857,0.24308
100_cs,CONF_0008,-0.31832,-0.23175,-0.24215,0.24221,0.30658,0.94366,0.95338,0.24144,0.24119
100_cs,CONF_0009,-0.26374,-0.23213,-0.29237,0.23920,0.28077,0.96936,0.94257,0.23751,0.24708
100_cs,CONF_0010,-0.25811,-0.22705,-0.31926,0.24249,0.29758,0.95135,0.95033,0.24037,0.23997
100_cs,CONF_0011,-0.30798,-0.23810,-0.25958,0.24163,0.30940,0.93977,0.96696,0.24816,0.24595
100_cs,CONF_0012,-0.31984,-0.22810,-0.25631,0.24287,0.29851,0.94740,0.95151,0.23994,0.24076
100_cs,CONF_0014,-0.26073,-0.23294,-0.29397,0.23910,0.28021,0.96978,0.94138,0.23718,0.24729
100_cs,CONF_0015,-0.31409,-0.23412,-0.24499,0.24511,0.29345,0.95148,0.94958,0.25127,0.24305
100_cs,CONF_0016,-0.31795,-0.23091,-0.25773,0.24517,0.29733,0.94890,0.95676,0.25110,0.24144
100_cs,CONF_0017,-0.31409,-0.23399,-0.24505,0.24499,0.29347,0.95124,0.94986,0.25126,0.24297
100_cs,CONF_0018,-0.31754,-0.23047,-0.25854,0.24520,0.29728,0.95016,0.95624,0.25108,0.24128
100_cs,CONF_0020,-0.30519,-0.23855,-0.26391,0.24269,0.29571,0.93627,0.97371,0.25207,0.24680
100_cs,CONF_0021,-0.31171,-0.24013,-0.25303,0.24418,0.29466,0.93628,0.96887,0.24552,0.24401
100_cs,CONF_0022,-0.31228,-0.23988,-0.25264,0.24420,0.29477,0.93605,0.96888,0.24589,0.24392
100_cs,CONF_0023,-0.25950,-0.23803,-0.30818,0.24156,0.30896,0.96733,0.94000,0.24593,0.24821
100_cs,CONF_0024,-0.31127,-0.23982,-0.25380,0.24419,0.29477,0.93637,0.96864,0.24551,0.24404
100_cs,CONF_0025,-0.31165,-0.23986,-0.25346,0.24412,0.29447,0.93675,0.96848,0.24561,0.24400
100_cs,CONF_0027,-0.27765,-0.22835,-0.29298,0.24585,0.28893,0.94941,0.96132,0.23983,0.24180
100_cs,CONF_0029,-0.30784,-0.23782,-0.26051,0.24157,0.30961,0.93963,0.96744,0.24814,0.24613
100_cs,CONF_0031,-0.31027,-0.23212,-0.24940,0.24394,0.29008,0.95482,0.94202,0.24787,0.24209
101_cs,CONF_0002,-0.32318,-0.22052,-0.30834,0.23803,0.27535,0.94738,0.95244,0.24463,0.24368
101_cs,CONF_0004,-0.32984,-0.21918,-0.30850,0.23934,0.27832,0.95679,0.94931,0.24499,0.24370
101_cs,CONF_0005,-0.29167,-0.22349,-0.33398,0.24120,0.27809,0.95050,0.93956,0.24247,0.24478
101_cs,CONF_0008,-0.32490,-0.22051,-0.30659,0.24241,0.27965,0.94170,0.94760,0.24471,0.24385
101_cs,CONF_0013,-0.31949,-0.22006,-0.31092,0.23873,0.27859,0.95379,0.94760,0.24306,0.24251
101_cs,CONF_0014,-0.32132,-0.22282,-0.30088,0.23970,0.27562,0.94632,0.94763,0.24187,0.24163
101_cs,CONF_0017,-0.31985,-0.21990,-0.31100,0.23876,0.27900,0.95337,0.94781,0.24306,0.24262
101_cs,CONF_0021,-0.32092,-0.21918,-0.31672,0.23917,0.28037,0.95195,0.95909,0.24377,0.24338
101_cs,CONF_0027,-0.33577,-0.22097,-0.30317,0.24022,0.27875,0.95074,0.95154,0.24609,0.24478
101_cs,CONF_0028,-0.30909,-0.22166,-0.32128,0.24025,0.27494,0.96149,0.94288,0.24213,0.24307
101_cs,CONF_0035,-0.33553,-0.22095,-0.30348,0.24029,0.27892,0.95062,0.95146,0.24605,0.24477
101_cs,CONF_0038,-0.33995,-0.22497,-0.28772,0.24033,0.27658,0.93926,0.95155,0.24642,0.24332
101_cs,CONF_0040,-0.30571,-0.22234,-0.31273,0.23964,0.27513,0.95051,0.93821,0.24085,0.24200
101_cs,CONF_0042,-0.28725,-0.22533,-0.33601,0.24135,0.27517,0.95411,0.92732,0.24034,0.24305
101_cs,CONF_0058,-0.28865,-0.22432,-0.33472,0.23986,0.27339,0.95389,0.94031,0.24095,0.24427
101_cs,CONF_0070,-0.33277,-0.22446,-0.29295,0.24011,0.29752,0.94372,0.90289,0.24478,0.24465
101_cs,CONF_0081,-0.32057,-0.22189,-0.29915,0.23643,0.28950,0.93726,0.90707,0.24293,0.24541
101_cs,CONF_0102,-0.33145,-0.23238,-0.28421,0.24039,0.28439,0.89923,0.95040,0.24338,0.24255
101_cs,CONF_0113,-0.32538,-0.22339,-0.29511,0.24065,0.29361,0.93238,0.90602,0.24396,0.24467
101_cs,CONF_0227,-0.30134,-0.22151,-0.31827,0.23657,0.28933,0.90511,0.93895,0.24528,0.24280
101_cs,CONF_0267,-0.29800,-0.22124,-0.32729,0.23888,0.29547,0.90227,0.94561,0.24441,0.24344
101_cs,CONF_0275,-0.32824,-0.22912,-0.28928,0.24109,0.28510,0.90150,0.94182,0.24381,0.24222
101_cs,CONF_0291,-0.30811,-0.22750,-0.31420,0.23947,0.28542,0.95928,0.90206,0.24061,0.24336
101_cs,CONF_0299,-0.28727,-0.22332,-0.33553,0.23812,0.28866,0.91216,0.93703,0.24352,0.24366
101_cs,CONF_0300,-0.30319,-0.22760,-0.31490,0.23989,0.28656,0.95265,0.90231,0.24091,0.24062
101_cs,CONF_0312,-0.30208,-0.22905,-0.30762,0.24011,0.28624,0.94404,0.89876,0.23953,0.24119
101_cs,CONF_0385,-0.30725,-0.22492,-0.31727,0.24121,0.29179,0.90315,0.93461,0.24510,0.24447
101_cs,CONF_0422,-0.26875,-0.24127,-0.33444,0.24298,0.28651,0.94343,0.89594,0.23991,0.24154
101_cs,CONF_0519,-0.33555,-0.22550,-0.29393,0.24070,0.29176,0.94605,0.90378,0.24572,0.24632
101_cs,CONF_0530,-0.31806,-0.22571,-0.30054,0.24198,0.29300,0.94570,0.88738,0.24309,0.24431
101_cs,CONF_0541,-0.30326,-0.22530,-0.30914,0.23825,0.28744,0.93989,0.88930,0.24281,0.24438
101_cs,CONF_0562,-0.27807,-0.22963,-0.33192,0.24432,0.28724,0.93488,0.88398,0.24042,0.24217
101_cs,CONF_0579,-0.27498,-0.23726,-0.33914,0.24376,0.29024,0.93282,0.90477,0.24107,0.24714
101_cs,CONF_0726,-0.30065,-0.22744,-0.31729,0.24096,0.28697,0.94525,0.90426,0.24055,0.24024
101_cs,CONF_0740,-0.27175,-0.23792,-0.33544,0.24293,0.28770,0.91980,0.90478,0.24166,0.24539
101_cs,CONF_0744,-0.27436,-0.23754,-0.33940,0.24394,0.29062,0.93243,0.90448,0.24096,0.24722
101_cs,CONF_0956,-0.26473,-0.24108,-0.34353,0.24340,0.28443,0.95159,0.88952,0.24143,0.24449
101_cs,CONF_1007,-0.29324,-0.22570,-0.33614,0.24058,0.29250,0.90340,0.94535,0.24652,0.24570
102_cs,CONF_0002,-0.32299,-0.22064,-0.30851,0.23788,0.27543,0.94739,0.95232,0.24454,0.24375
102_cs,CONF_0004,-0.32973,-0.21912,-0.30859,0.23938,0.27817,0.95711,0.94931,0.24487,0.24376
102_cs,CONF_0005,-0.29186,-0.22331,-0.33414,0.24113,0.27849,0.95040,0.93967,0.24255,0.24486
102_cs,CONF_0008,-0.30679,-0.22032,-0.32485,0.24229,0.28027,0.94722,0.94147,0.24387,0.24471
102_cs,CONF_0013,-0.31926,-0.22001,-0.31100,0.23869,0.27835,0.95422,0.94742,0.24299,0.24245
102_cs,CONF_0014,-0.32060,-0.22282,-0.30147,0.23958,0.27548,0.94631,0.94779,0.24192,0.24149
102_cs,CONF_0017,-0.31928,-0.21999,-0.31099,0.23871,0.27832,0.95419,0.94740,0.24299,0.24246
102_cs,CONF_0022,-0.31656,-0.21905,-0.32098,0.23909,0.28038,0.95907,0.95179,0.24326,0.24371
102_cs,CONF_0027,-0.30831,-0.22149,-0.32219,0.24011,0.27478,0.96160,0.94293,0.24206,0.24307
102_cs,CONF_0028,-0.30374,-0.22105,-0.33538,0.24029,0.27859,0.95158,0.95062,0.24466,0.24594
102_cs,CONF_0030,-0.31633,-0.21911,-0.32116,0.23905,0.28046,0.95905,0.95184,0.24331,0.24375
102_cs,CONF_0033,-0.33546,-0.22087,-0.30367,0.24024,0.27869,0.95062,0.95181,0.24595,0.24480
102_cs,CONF_0035,-0.31050,-0.22184,-0.31823,0.23988,0.27415,0.96675,0.93838,0.24125,0.24344
102_cs,CONF_0036,-0.33980,-0.22500,-0.28857,0.24051,0.27613,0.94001,0.95183,0.24645,0.24341
102_cs,CONF_0039,-0.30547,-0.22226,-0.31318,0.23949,0.27504,0.95115,0.93812,0.24077,0.24209
102_cs,CONF_0040,-0.28707,-0.22529,-0.33596,0.24125,0.27561,0.95408,0.92728,0.24035,0.24305
102_cs,CONF_0068,-0.33267,-0.22419,-0.29325,0.24012,0.29730,0.94392,0.90260,0.24483,0.24460
102_cs,CONF_0078,-0.32217,-0.22444,-0.30052,0.23758,0.29058,0.93855,0.90539,0.24463,0.24564
102_cs,CONF_0098,-0.33163,-0.23211,-0.28449,0.24051,0.28425,0.89893,0.95013,0.24339,0.24252
102_cs,CONF_0112,-0.32543,-0.22306,-0.29546,0.24061,0.29358,0.93249,0.90595,0.24394,0.24460
102_cs,CONF_0230,-0.31835,-0.22132,-0.30159,0.23643,0.28948,0.93889,0.90511,0.24283,0.24539
102_cs,CONF_0261,-0.32795,-0.22103,-0.29760,0.23871,0.29474,0.94547,0.90297,0.24348,0.24448
102_cs,CONF_0269,-0.28937,-0.22908,-0.32845,0.24113,0.28539,0.94202,0.90156,0.24233,0.24385
102_cs,CONF_0282,-0.30838,-0.22734,-0.31431,0.23943,0.28510,0.95995,0.90239,0.24047,0.24336
102_cs,CONF_0286,-0.28712,-0.22314,-0.33557,0.23789,0.28881,0.91211,0.93638,0.24359,0.24357
102_cs,CONF_0290,-0.30320,-0.22752,-0.31518,0.23982,0.28644,0.95310,0.90221,0.24093,0.24070
102_cs,CONF_0300,-0.30092,-0.22929,-0.30886,0.24022,0.28590,0.94477,0.89863,0.23957,0.24125
102_cs,CONF_0409,-0.26864,-0.24136,-0.33475,0.24293,0.28697,0.94363,0.89575,0.23995,0.24162
102_cs,CONF_0519,-0.31757,-0.22556,-0.30113,0.24173,0.29161,0.94691,0.88835,0.24306,0.24428
102_cs,CONF_0532,-0.30525,-0.22507,-0.30847,0.23831,0.28762,0.94000,0.89005,0.24289,0.24454
102_cs,CONF_0556,-0.27467,-0.23736,-0.33928,0.24392,0.29046,0.93267,0.90495,0.24105,0.24729
102_cs,CONF_0605,-0.33182,-0.22941,-0.27836,0.24426,0.28710,0.88411,0.93495,0.24225,0.24047
102_cs,CONF_0626,-0.29387,-0.22555,-0.33534,0.24060,0.29202,0.90359,0.94561,0.24645,0.24568
102_cs,CONF_0711,-0.30071,-0.22757,-0.31732,0.24107,0.28664,0.94536,0.90462,0.24069,0.24026
102_cs,CONF_0713,-0.27014,-0.23898,-0.33619,0.24270,0.28731,0.92110,0.90452,0.24152,0.24499
102_cs,CONF_0934,-0.31548,-0.22690,-0.30322,0.24084,0.28675,0.90510,0.94537,0.24024,0.24051
102_cs,CONF_0939,-0.26521,-0.24080,-0.34326,0.24332,0.28496,0.95141,0.88917,0.24147,0.24450
103_cs,CONF_0007,-0.30677,-0.21853,-0.31554,0.23792,0.27742,0.96391,0.94749,0.24366,0.24552
103_cs,CONF_0032,-0.31905,-0.22030,-0.30267,0.23863,0.29079,0.95209,0.92504,0.24524,0.24466
103_cs,CONF_0036,-0.31800,-0.21805,-0.30265,0.23873,0.27995,0.94234,0.95144,0.24589,0.24469
103_cs,CONF_0038,-0.31870,-0.22007,-0.29792,0.23717,0.29035,0.94387,0.92374,0.24519,0.24427
103_cs,CONF_0059,-0.29041,-0.22904,-0.31929,0.23978,0.28698,0.94576,0.91610,0.24355,0.24444
103_cs,CONF_0063,-0.32027,-0.22210,-0.29799,0.24107,0.28935,0.95474,0.91945,0.24488,0.24532
103_cs,CONF_0067,-0.32071,-0.22497,-0.28849,0.24247,0.29854,0.95102,0.89997,0.24455,0.24495
103_cs,CONF_0068,-0.31449,-0.22494,-0.29487,0.23870,0.29146,0.96146,0.90204,0.24358,0.24574
103_cs,CONF_0077,-0.31202,-0.22183,-0.30699,0.23882,0.29624,0.95235,0.91249,0.24424,0.24746
103_cs,CONF_0081,-0.31784,-0.22386,-0.29135,0.24191,0.29930,0.93259,0.90582,0.24541,0.24490
103_cs,CONF_0103,-0.30851,-0.22423,-0.29638,0.23835,0.28826,0.95531,0.90575,0.24398,0.24482
103_cs,CONF_0108,-0.30830,-0.22429,-0.29655,0.23841,0.28823,0.95523,0.90577,0.24391,0.24483
103_cs,CONF_0122,-0.30653,-0.22393,-0.30993,0.23732,0.29334,0.97201,0.90492,0.24278,0.24707
103_cs,CONF_0163,-0.28907,-0.22888,-0.32061,0.23912,0.28146,0.97289,0.90092,0.24128,0.24543
103_cs,CONF_0164,-0.31964,-0.22239,-0.29432,0.24001,0.29458,0.94156,0.90694,0.24558,0.24606
103_cs,CONF_0173,-0.31208,-0.21837,-0.30235,0.23884,0.28132,0.94834,0.94071,0.24463,0.24437
103_cs,CONF_0280,-0.28700,-0.22759,-0.32400,0.24086,0.28370,0.95762,0.89896,0.24291,0.24607
103_cs,CONF_0376,-0.27152,-0.23069,-0.32850,0.24286,0.29629,0.92674,0.90067,0.24208,0.24602
103_cs,CONF_0421,-0.30623,-0.22487,-0.29771,0.24011,0.28958,0.89450,0.95396,0.24274,0.24036
103_cs,CONF_0423,-0.28957,-0.22735,-0.31410,0.24177,0.28626,0.94267,0.90639,0.24192,0.24419
103_cs,CONF_0491,-0.33063,-0.23207,-0.27810,0.24034,0.29161,0.92065,0.93734,0.24576,0.24340
103_cs,CONF_0594,-0.31206,-0.22378,-0.29798,0.23940,0.29174,0.92620,0.91932,0.24482,0.24566
103_cs,CONF_0640,-0.33313,-0.23654,-0.26811,0.24146,0.30263,0.91878,0.89723,0.24538,0.24444
103_cs,CONF_0740,-0.28422,-0.22831,-0.30749,0.24337,0.30965,0.89849,0.89500,0.24549,0.24562
