Ligand,Conformer,Atom1,Atom2,Atom3,Atom4,Atom5,Atom6,Atom7,Atom8,Atom9
100_cs,CONF_0001,-0.28872,-0.23487,-0.22015,0.23883,0.30522,0.99929,0.97720,0.24451,0.24048
100_cs,CONF_0002,-0.28451,-0.23920,-0.23022,0.24141,0.31308,0.98167,1.01746,0.24247,0.23809
100_cs,CONF_0004,-0.24121,-0.23665,-0.27944,0.24105,0.31388,1.01926,0.98157,0.23921,0.24279
100_cs,CONF_0005,-0.28455,-0.23897,-0.23100,0.24146,0.31328,0.98145,1.01806,0.24247,0.23810
100_cs,CONF_0006,-0.28806,-0.23457,-0.22086,0.23863,0.30491,1.00021,0.97663,0.24440,0.24040
100_cs,CONF_0007,-0.27959,-0.23558,-0.20625,0.24036,0.31328,0.96987,0.97514,0.24500,0.24084
100_cs,CONF_0008,-0.29537,-0.23522,-0.21232,0.23861,0.32501,0.98178,0.99651,0.23906,0.23865
100_cs,CONF_0009,-0.23381,-0.23731,-0.26377,0.23847,0.29508,1.01622,0.97591,0.23436,0.24060
100_cs,CONF_0010,-0.22927,-0.23308,-0.29644,0.23733,0.32031,0.99676,0.99328,0.23899,0.23758
100_cs,CONF_0011,-0.28922,-0.23722,-0.23096,0.23970,0.32743,0.98256,1.00577,0.24226,0.23856
100_cs,CONF_0012,-0.29723,-0.23366,-0.22750,0.23726,0.32123,0.99158,0.99610,0.23775,0.23937
100_cs,CONF_0014,-0.23016,-0.23811,-0.26573,0.23846,0.29468,1.01677,0.97468,0.23379,0.24069
100_cs,CONF_0015,-0.29386,-0.23554,-0.21408,0.23994,0.30787,0.99496,0.98351,0.24632,0.24061
100_cs,CONF_0016,-0.29688,-0.23354,-0.22810,0.23988,0.31521,0.99606,0.99694,0.24515,0.24008
100_cs,CONF_0017,-0.29381,-0.23543,-0.21408,0.23981,0.30785,0.99492,0.98390,0.24628,0.24051
100_cs,CONF_0018,-0.29624,-0.23324,-0.22889,0.23995,0.31524,0.99657,0.99655,0.24513,0.23992
100_cs,CONF_0020,-0.28331,-0.23828,-0.23371,0.24155,0.31321,0.98120,1.01860,0.24256,0.23839
100_cs,CONF_0021,-0.28888,-0.24242,-0.22154,0.24248,0.31143,0.97679,1.01142,0.23971,0.23793
100_cs,CONF_0022,-0.28950,-0.24207,-0.22116,0.24260,0.31150,0.97638,1.01137,0.24005,0.23788
100_cs,CONF_0023,-0.23089,-0.23697,-0.28951,0.23952,0.32705,1.00619,0.98284,0.23854,0.24235
100_cs,CONF_0024,-0.28838,-0.24201,-0.22263,0.24268,0.31155,0.97693,1.01123,0.23972,0.23806
100_cs,CONF_0025,-0.28877,-0.24212,-0.22195,0.24242,0.31130,0.97724,1.01103,0.23978,0.23788
100_cs,CONF_0027,-0.24981,-0.23349,-0.26590,0.24182,0.30379,0.98363,1.00724,0.23658,0.24028
100_cs,CONF_0029,-0.28900,-0.23697,-0.23211,0.23967,0.32761,0.98268,1.00634,0.24219,0.23882
100_cs,CONF_0031,-0.28851,-0.23478,-0.22015,0.23874,0.30522,0.99949,0.97686,0.24447,0.24041
101_cs,CONF_0002,-0.30768,-0.22317,-0.29281,0.23327,0.28374,1.03510,1.04079,0.23911,0.23902
101_cs,CONF_0004,-0.31544,-0.22239,-0.29223,0.23426,0.28721,1.04745,1.03541,0.23994,0.23958
101_cs,CONF_0005,-0.27441,-0.22619,-0.31988,0.23579,0.28709,1.04332,1.02173,0.23826,0.23963
101_cs,CONF_0008,-0.30999,-0.22317,-0.29121,0.23747,0.28881,1.02808,1.03532,0.23993,0.24022
101_cs,CONF_0013,-0.30374,-0.22461,-0.29459,0.23578,0.28927,1.04510,1.03313,0.23814,0.23762
101_cs,CONF_0014,-0.30573,-0.22775,-0.28190,0.23461,0.28432,1.03197,1.03550,0.23711,0.23663
101_cs,CONF_0017,-0.30410,-0.22443,-0.29465,0.23585,0.28967,1.04444,1.03331,0.23818,0.23773
101_cs,CONF_0021,-0.30442,-0.22285,-0.30166,0.23415,0.29209,1.04050,1.04791,0.23924,0.23885
101_cs,CONF_0027,-0.32083,-0.22318,-0.28796,0.23459,0.28927,1.04174,1.03708,0.23996,0.24079
101_cs,CONF_0028,-0.29158,-0.22574,-0.30380,0.23481,0.28460,1.05378,1.02510,0.23734,0.23855
101_cs,CONF_0035,-0.32047,-0.22320,-0.28828,0.23471,0.28943,1.04157,1.03694,0.23993,0.24081
101_cs,CONF_0038,-0.32616,-0.22734,-0.26945,0.23476,0.28573,1.02374,1.03977,0.23966,0.23858
101_cs,CONF_0040,-0.28874,-0.22709,-0.29601,0.23424,0.28383,1.04117,1.01856,0.23675,0.23764
101_cs,CONF_0042,-0.26736,-0.22915,-0.32211,0.23683,0.28026,1.04511,1.01063,0.23526,0.23686
101_cs,CONF_0058,-0.27033,-0.22779,-0.32042,0.23404,0.28269,1.04686,1.02231,0.23675,0.23888
101_cs,CONF_0070,-0.31735,-0.22726,-0.27540,0.23620,0.30470,1.04025,0.98874,0.23689,0.23886
101_cs,CONF_0081,-0.30508,-0.22408,-0.28224,0.23309,0.29567,1.02535,0.99002,0.23515,0.23952
101_cs,CONF_0102,-0.31742,-0.23496,-0.26498,0.23476,0.29046,0.98669,1.04500,0.23686,0.23734
101_cs,CONF_0113,-0.30926,-0.22588,-0.27780,0.23599,0.29870,1.02218,0.99191,0.23607,0.23864
101_cs,CONF_0227,-0.28456,-0.22383,-0.30245,0.23355,0.29505,0.98817,1.02680,0.23931,0.23529
101_cs,CONF_0267,-0.28042,-0.22420,-0.31183,0.23477,0.30195,0.98542,1.03850,0.23862,0.23610
101_cs,CONF_0275,-0.31449,-0.23202,-0.27018,0.23633,0.29156,0.98797,1.03245,0.23773,0.23740
101_cs,CONF_0291,-0.29129,-0.23274,-0.29372,0.23558,0.29305,1.05943,0.98793,0.23599,0.23726
101_cs,CONF_0299,-0.26711,-0.22535,-0.32213,0.23301,0.29458,0.99543,1.02524,0.23837,0.23616
101_cs,CONF_0300,-0.28487,-0.23299,-0.29746,0.23700,0.29447,1.04940,0.98723,0.23568,0.23506
101_cs,CONF_0312,-0.28372,-0.23450,-0.28807,0.23615,0.29265,1.03466,0.98586,0.23466,0.23558
101_cs,CONF_0385,-0.29150,-0.22805,-0.29995,0.23638,0.29661,0.99140,1.02378,0.23974,0.23869
101_cs,CONF_0422,-0.24497,-0.24546,-0.31990,0.23736,0.29247,1.03689,0.98437,0.23440,0.23530
101_cs,CONF_0519,-0.32044,-0.22754,-0.27708,0.23743,0.29907,1.04183,0.98764,0.23755,0.24015
101_cs,CONF_0530,-0.30153,-0.22935,-0.28216,0.23684,0.29705,1.04053,0.96636,0.23720,0.23845
101_cs,CONF_0541,-0.28507,-0.22874,-0.29205,0.23311,0.29083,1.02950,0.96909,0.23709,0.23918
101_cs,CONF_0562,-0.25539,-0.23378,-0.31767,0.23900,0.29186,1.02634,0.96611,0.23462,0.23591
101_cs,CONF_0579,-0.25263,-0.23903,-0.32729,0.23746,0.29655,1.02341,0.99878,0.23607,0.24118
101_cs,CONF_0726,-0.28126,-0.23290,-0.30080,0.23710,0.29469,1.03691,0.99010,0.23523,0.23497
101_cs,CONF_0740,-0.24785,-0.24065,-0.32360,0.23587,0.29043,1.00464,0.99205,0.23599,0.24093
101_cs,CONF_0744,-0.25176,-0.23934,-0.32760,0.23759,0.29656,1.02295,0.99830,0.23544,0.24201
101_cs,CONF_0956,-0.24295,-0.24258,-0.33042,0.23679,0.29124,1.04663,0.97417,0.23596,0.23674
101_cs,CONF_1007,-0.27637,-0.22783,-0.32106,0.23731,0.29982,0.98727,1.04115,0.24046,0.23755
102_cs,CONF_0002,-0.30757,-0.22322,-0.29308,0.23313,0.28382,1.03508,1.04051,0.23903,0.23912
102_cs,CONF_0004,-0.31541,-0.22228,-0.29247,0.23435,0.28705,1.04772,1.03535,0.23984,0.23967
102_cs,CONF_0005,-0.27465,-0.22602,-0.32015,0.23573,0.28744,1.04335,1.02179,0.23834,0.23965
102_cs,CONF_0008,-0.29151,-0.22299,-0.31000,0.23743,0.28949,1.03490,1.02754,0.24020,0.23986
102_cs,CONF_0013,-0.30361,-0.22445,-0.29472,0.23573,0.28910,1.04541,1.03294,0.23812,0.23761
102_cs,CONF_0014,-0.30505,-0.22760,-0.28263,0.23447,0.28418,1.03189,1.03606,0.23726,0.23651
102_cs,CONF_0017,-0.30362,-0.22443,-0.29472,0.23576,0.28912,1.04528,1.03293,0.23813,0.23761
102_cs,CONF_0022,-0.30159,-0.22254,-0.30460,0.23419,0.29224,1.04756,1.03992,0.23879,0.23917
102_cs,CONF_0027,-0.29087,-0.22554,-0.30490,0.23467,0.28443,1.05386,1.02537,0.23724,0.23843
102_cs,CONF_0028,-0.28875,-0.22324,-0.32044,0.23478,0.28920,1.03728,1.04154,0.24068,0.23974
102_cs,CONF_0030,-0.30146,-0.22259,-0.30503,0.23511,0.29255,1.04762,1.04004,0.23862,0.23901
102_cs,CONF_0033,-0.32047,-0.22299,-0.28849,0.23463,0.28922,1.04159,1.03734,0.23982,0.24082
102_cs,CONF_0035,-0.29473,-0.22613,-0.30064,0.23499,0.28363,1.06349,1.01840,0.23699,0.23892
102_cs,CONF_0036,-0.32592,-0.22722,-0.27049,0.23454,0.28526,1.02453,1.04000,0.23976,0.23873
102_cs,CONF_0039,-0.28861,-0.22687,-0.29658,0.23404,0.28371,1.04171,1.01857,0.23667,0.23776
102_cs,CONF_0040,-0.26722,-0.22920,-0.32213,0.23679,0.28077,1.04497,1.01027,0.23526,0.23683
102_cs,CONF_0068,-0.31717,-0.22704,-0.27566,0.23628,0.30437,1.04071,0.98871,0.23691,0.23881
102_cs,CONF_0078,-0.30596,-0.22647,-0.28369,0.23325,0.29588,1.03078,0.99188,0.23652,0.23940
102_cs,CONF_0098,-0.31759,-0.23489,-0.26508,0.23492,0.29045,0.98646,1.04466,0.23691,0.23730
102_cs,CONF_0112,-0.30942,-0.22545,-0.27818,0.23600,0.29870,1.02216,0.99186,0.23600,0.23861
102_cs,CONF_0230,-0.30266,-0.22356,-0.28494,0.23329,0.29548,1.02629,0.98776,0.23540,0.23939
102_cs,CONF_0261,-0.31278,-0.22372,-0.28015,0.23452,0.30139,1.03821,0.98589,0.23619,0.23853
102_cs,CONF_0269,-0.27022,-0.23186,-0.31484,0.23633,0.29191,1.03264,0.98825,0.23755,0.23771
102_cs,CONF_0282,-0.29165,-0.23253,-0.29387,0.23554,0.29296,1.05996,0.98827,0.23590,0.23728
102_cs,CONF_0286,-0.26716,-0.22488,-0.32242,0.23271,0.29482,0.99542,1.02460,0.23849,0.23604
102_cs,CONF_0290,-0.28516,-0.23288,-0.29798,0.23693,0.29460,1.05009,0.98700,0.23574,0.23522
102_cs,CONF_0300,-0.28251,-0.23458,-0.28970,0.23627,0.29237,1.03515,0.98603,0.23470,0.23564
102_cs,CONF_0409,-0.24502,-0.24542,-0.32034,0.23733,0.29295,1.03705,0.98395,0.23446,0.23542
102_cs,CONF_0519,-0.30089,-0.22918,-0.28255,0.23662,0.29561,1.04167,0.96768,0.23717,0.23840
102_cs,CONF_0532,-0.28751,-0.22852,-0.29123,0.23313,0.29094,1.03023,0.97003,0.23705,0.23928
102_cs,CONF_0556,-0.25207,-0.23927,-0.32744,0.23762,0.29632,1.02320,0.99888,0.23555,0.24208
102_cs,CONF_0605,-0.31772,-0.23340,-0.25591,0.23889,0.29169,0.96601,1.02624,0.23608,0.23471
102_cs,CONF_0626,-0.27707,-0.22764,-0.32015,0.23732,0.29933,0.98743,1.04133,0.24041,0.23753
102_cs,CONF_0711,-0.28148,-0.23301,-0.30093,0.23722,0.29431,1.03703,0.99046,0.23543,0.23498
102_cs,CONF_0713,-0.24555,-0.24253,-0.32416,0.23685,0.28994,1.00689,0.99217,0.23544,0.24029
102_cs,CONF_0934,-0.29884,-0.23251,-0.28436,0.23706,0.29466,0.99043,1.03732,0.23512,0.23522
102_cs,CONF_0939,-0.24357,-0.24229,-0.33023,0.23669,0.29181,1.04640,0.97378,0.23602,0.23674
103_cs,CONF_0007,-0.29673,-0.21974,-0.30565,0.23268,0.28672,1.04628,1.02461,0.23949,0.24096
103_cs,CONF_0032,-0.30784,-0.22075,-0.29015,0.23482,0.30043,1.03715,1.00876,0.23734,0.23956
103_cs,CONF_0036,-0.30804,-0.21871,-0.29236,0.23471,0.28902,1.01735,1.02841,0.24036,0.24006
103_cs,CONF_0038,-0.30773,-0.22101,-0.28558,0.23206,0.29692,1.02500,1.00665,0.23836,0.23908
103_cs,CONF_0059,-0.27637,-0.23166,-0.30795,0.23325,0.29284,1.03017,1.00152,0.23948,0.23848
103_cs,CONF_0063,-0.30940,-0.22185,-0.28722,0.23572,0.29934,1.03609,1.00151,0.23929,0.24071
103_cs,CONF_0067,-0.31062,-0.22544,-0.27656,0.23746,0.30314,1.03833,0.98010,0.23763,0.24007
103_cs,CONF_0068,-0.30321,-0.22565,-0.28341,0.23429,0.29751,1.04747,0.98119,0.23746,0.24079
103_cs,CONF_0077,-0.30070,-0.22151,-0.29850,0.23495,0.30511,1.03688,0.99416,0.23818,0.24255
103_cs,CONF_0081,-0.30628,-0.22380,-0.27944,0.23742,0.30290,1.01417,0.98636,0.23841,0.23951
103_cs,CONF_0103,-0.29735,-0.22495,-0.28386,0.23258,0.29293,1.03710,0.98246,0.23695,0.23993
103_cs,CONF_0108,-0.29715,-0.22498,-0.28409,0.23264,0.29290,1.03695,0.98252,0.23689,0.23995
103_cs,CONF_0122,-0.29406,-0.22376,-0.30111,0.23320,0.30103,1.06121,0.98458,0.23693,0.24263
103_cs,CONF_0163,-0.27504,-0.23017,-0.31120,0.23368,0.28939,1.05957,0.97755,0.23741,0.24063
103_cs,CONF_0164,-0.30785,-0.22270,-0.28261,0.23482,0.30029,1.02069,0.98481,0.23857,0.24078
103_cs,CONF_0173,-0.30154,-0.22031,-0.29114,0.23376,0.29049,1.02498,1.01349,0.23951,0.24007
103_cs,CONF_0280,-0.27292,-0.22907,-0.31486,0.23631,0.29146,1.03901,0.97490,0.23829,0.23995
103_cs,CONF_0376,-0.25356,-0.23323,-0.32127,0.23805,0.29984,1.01293,0.98161,0.23716,0.23792
103_cs,CONF_0421,-0.29374,-0.22855,-0.28367,0.23527,0.29733,0.96800,1.03400,0.23839,0.23598
103_cs,CONF_0423,-0.27487,-0.23027,-0.30352,0.23758,0.29382,1.01983,0.98256,0.23714,0.23814
103_cs,CONF_0491,-0.32298,-0.23418,-0.26100,0.23443,0.29783,1.00633,1.02524,0.23875,0.23894
103_cs,CONF_0594,-0.30013,-0.22401,-0.28682,0.23503,0.29668,1.00344,0.99974,0.23877,0.24047
103_cs,CONF_0640,-0.32604,-0.23803,-0.24911,0.23592,0.30651,1.00570,0.98507,0.23814,0.23646
103_cs,CONF_0740,-0.27202,-0.22729,-0.29574,0.23881,0.31208,0.97720,0.97244,0.24037,0.23879
103_cs,CONF_0765,-0.27364,-0.22434,-0.30586,0.23786,0.31112,0.99120,0.96300,0.23835,0.23924
103_cs,CONF_0812,-0.31219,-0.23210,-0.26150,0.23471,0.29665,0.97657,1.01593,0.23579,0.23544
103_cs,CONF_0813,-0.30796,-0.22668,-0.27644,0.23752,0.30709,1.03739,0.95767,0.23689,0.23995
103_cs,CONF_0846,-0.30790,-0.22669,-0.27638,0.23751,0.30714,1.03730,0.95760,0.23687,0.23995
103_cs,CONF_0879,-0.27355,-0.22866,-0.31451,0.23621,0.29151,1.03885,0.97497,0.23825,0.23987
103_cs,CONF_0986,-0.25389,-0.23292,-0.32118,0.23806,0.30037,1.01228,0.98174,0.23714,0.23779
103_cs,CONF_1024,-0.28530,-0.22629,-0.30167,0.23432,0.30058,0.96245,1.04402,0.24103,0.23601
103_cs,CONF_1078,-0.28590,-0.22908,-0.28768,0.23431,0.29887,1.04112,0.95041,0.23713,0.23929
103_cs,CONF_1255,-0.31669,-0.23179,-0.25981,0.23734,0.29986,0.97370,0.99296,0.23810,0.23760
104_cs,CONF_0036,-0.30762,-0.21886,-0.29224,0.23477,0.28923,1.01680,1.02790,0.24038,0.23995
104_cs,CONF_0037,-0.28579,-0.22094,-0.30774,0.23205,0.29661,1.00595,1.02508,0.23929,0.23818
104_cs,CONF_0060,-0.27613,-0.23165,-0.30794,0.23333,0.29256,1.02971,1.00156,0.23954,0.23851
104_cs,CONF_0063,-0.31017,-0.22193,-0.28629,0.23577,0.29905,1.03592,1.00216,0.23915,0.24072
104_cs,CONF_0069,-0.30357,-0.22571,-0.28303,0.23426,0.29790,1.04686,0.98084,0.23750,0.24094
104_cs,CONF_0070,-0.31053,-0.22561,-0.27691,0.23759,0.30246,1.03942,0.98017,0.23769,0.24004
104_cs,CONF_0074,-0.29116,-0.22581,-0.28607,0.23736,0.29366,1.02172,0.98592,0.23942,0.23842
104_cs,CONF_0078,-0.30077,-0.22159,-0.29837,0.23489,0.30505,1.03693,0.99392,0.23837,0.24253
104_cs,CONF_0083,-0.30603,-0.22372,-0.27990,0.23731,0.30282,1.01490,0.98609,0.23856,0.23967
104_cs,CONF_0103,-0.29747,-0.22499,-0.28386,0.23262,0.29283,1.03707,0.98263,0.23696,0.23987
104_cs,CONF_0115,-0.28379,-0.22473,-0.29750,0.23244,0.29304,0.98224,1.03658,0.23996,0.23694
104_cs,CONF_0122,-0.29418,-0.22381,-0.30096,0.23336,0.30096,1.06120,0.98417,0.23694,0.24254
104_cs,CONF_0158,-0.27488,-0.22999,-0.31129,0.23354,0.28920,1.05952,0.97716,0.23742,0.24060
104_cs,CONF_0163,-0.30815,-0.22266,-0.28253,0.23478,0.30075,1.02050,0.98465,0.23860,0.24079
104_cs,CONF_0275,-0.27319,-0.22896,-0.31461,0.23619,0.29114,1.03896,0.97577,0.23862,0.23999
104_cs,CONF_0336,-0.28567,-0.22098,-0.30775,0.23207,0.29674,1.00609,1.02473,0.23934,0.23816
104_cs,CONF_0370,-0.25399,-0.23263,-0.32095,0.23807,0.30062,1.01162,0.98205,0.23703,0.23776
104_cs,CONF_0379,-0.28272,-0.22878,-0.29447,0.23590,0.29746,1.03268,0.96901,0.23600,0.23832
104_cs,CONF_0419,-0.27493,-0.23049,-0.30318,0.23757,0.29351,1.01932,0.98237,0.23720,0.23820
104_cs,CONF_0502,-0.26096,-0.23451,-0.32306,0.23454,0.29772,1.02520,1.00667,0.23908,0.23886
104_cs,CONF_0584,-0.30050,-0.22415,-0.28651,0.23501,0.29706,1.00297,1.00013,0.23898,0.24034
104_cs,CONF_0687,-0.24854,-0.23835,-0.32618,0.23594,0.30684,0.98440,1.00523,0.23641,0.23811
104_cs,CONF_0722,-0.29598,-0.22725,-0.27272,0.23891,0.31130,0.97364,0.97715,0.23896,0.24034
104_cs,CONF_0755,-0.27285,-0.22450,-0.30623,0.23774,0.31112,0.99125,0.96308,0.23828,0.23936
104_cs,CONF_0780,-0.26118,-0.23206,-0.31276,0.23481,0.29679,1.01568,0.97646,0.23542,0.23579
104_cs,CONF_0812,-0.31051,-0.22564,-0.27665,0.23760,0.30257,1.03891,0.98028,0.23770,0.24004
104_cs,CONF_0828,-0.30813,-0.22681,-0.27619,0.23759,0.30695,1.03763,0.95766,0.23707,0.23992
104_cs,CONF_0858,-0.27314,-0.22882,-0.31463,0.23620,0.29121,1.03899,0.97561,0.23842,0.23997
104_cs,CONF_0967,-0.25380,-0.23288,-0.32118,0.23820,0.30043,1.01169,0.98204,0.23703,0.23779
104_cs,CONF_1032,-0.30211,-0.22648,-0.28553,0.23433,0.30103,1.04387,0.96220,0.23721,0.24128
104_cs,CONF_1043,-0.29402,-0.22259,-0.28650,0.23392,0.29322,1.01728,0.98150,0.23632,0.23871
104_cs,CONF_1200,-0.30369,-0.23045,-0.27489,0.23762,0.29327,0.98260,1.01969,0.23833,0.23706
104_cs,CONF_1230,-0.31738,-0.23174,-0.25986,0.23717,0.30024,0.97376,0.99275,0.23814,0.23781
105_cs,CONF_0001,-0.29525,-0.22862,-0.23577,0.23895,0.30937,0.99980,1.01241,0.24768,0.24291
105_cs,CONF_0004,-0.28756,-0.23449,-0.24082,0.23950,0.28903,1.00652,1.02129,0.24360,0.24148
105_cs,CONF_0005,-0.22235,-0.23508,-0.30081,0.23729,0.29487,1.01810,1.00974,0.23808,0.24401
105_cs,CONF_0007,-0.28747,-0.23492,-0.24036,0.23946,0.28887,1.00647,1.02126,0.24359,0.24169
105_cs,CONF_0010,-0.29521,-0.22865,-0.23577,0.23894,0.30935,0.99973,1.01242,0.24771,0.24292
105_cs,CONF_0012,-0.22194,-0.23545,-0.30111,0.23751,0.29464,1.01820,1.00978,0.23804,0.24400
105_cs,CONF_0013,-0.22231,-0.23526,-0.30067,0.23740,0.29495,1.01744,1.00957,0.23813,0.24391
105_cs,CONF_0014,-0.23593,-0.22845,-0.29522,0.23876,0.30943,1.01231,0.99997,0.24292,0.24759
106_cs,CONF_0003,-0.29505,-0.22833,-0.23573,0.23883,0.30937,0.99971,1.01191,0.24758,0.24290
106_cs,CONF_0004,-0.28718,-0.23471,-0.24122,0.23955,0.28897,1.00673,1.02111,0.24356,0.24149
106_cs,CONF_0005,-0.30059,-0.23550,-0.22211,0.23745,0.29393,1.00969,1.01826,0.24395,0.23799
106_cs,CONF_0007,-0.24019,-0.23490,-0.28794,0.23957,0.28870,1.02199,1.00632,0.24147,0.24363
106_cs,CONF_0010,-0.29498,-0.22819,-0.23596,0.23872,0.30902,0.99973,1.01264,0.24759,0.24291
106_cs,CONF_0011,-0.30087,-0.23499,-0.22241,0.23718,0.29421,1.00979,1.01837,0.24396,0.23823
106_cs,CONF_0012,-0.30099,-0.23491,-0.22239,0.23715,0.29467,1.00988,1.01853,0.24387,0.23811
106_cs,CONF_0013,-0.29538,-0.22838,-0.23580,0.23895,0.30909,0.99996,1.01276,0.24759,0.24292
107_cs,CONF_0003,-0.29276,-0.21961,-0.30368,0.23455,0.29549,0.96195,0.97738,0.24091,0.24059
107_cs,CONF_0004,-0.28579,-0.22033,-0.30553,0.23624,0.30316,0.95287,0.95655,0.24069,0.24141
107_cs,CONF_0007,-0.28378,-0.22146,-0.30404,0.23652,0.30392,0.97119,0.93778,0.23973,0.24127
