Ligand,Conformer,Atom1,Atom2,Atom3,Atom4,Atom5,Atom6,Atom7,Atom8,Atom9
100_cs,CONF_0001,-0.28221,-0.23241,-0.21354,0.23079,0.29695,0.99845,0.97669,0.23189,0.2244
100_cs,CONF_0002,-0.27744,-0.2378,-0.22426,0.22827,0.30618,0.9799,1.01609,0.23552,0.22861
100_cs,CONF_0004,-0.23484,-0.23509,-0.27213,0.2288,0.30652,1.01799,0.97998,0.22905,0.23421
100_cs,CONF_0005,-0.27751,-0.23757,-0.225,0.22834,0.30639,0.97971,1.01672,0.23544,0.22862
100_cs,CONF_0006,-0.28153,-0.2322,-0.21421,0.23073,0.29663,0.99934,0.97609,0.23175,0.2243
100_cs,CONF_0007,-0.27643,-0.23304,-0.20158,0.23258,0.3088,0.97144,0.97504,0.23248,0.22504
100_cs,CONF_0008,-0.28981,-0.23247,-0.20588,0.2298,0.31776,0.9816,0.99617,0.2258,0.22315
100_cs,CONF_0009,-0.22748,-0.23645,-0.25615,0.22561,0.28518,1.01591,0.9737,0.22023,0.23185
100_cs,CONF_0010,-0.22181,-0.23027,-0.28844,0.22896,0.3112,0.99579,0.99197,0.22299,0.2242
100_cs,CONF_0011,-0.281,-0.23531,-0.22385,0.22767,0.32074,0.98099,1.00392,0.23095,0.22799
100_cs,CONF_0012,-0.28927,-0.23112,-0.22003,0.22951,0.31194,0.99031,0.99516,0.22411,0.22333
100_cs,CONF_0014,-0.22388,-0.23733,-0.25811,0.2255,0.28473,1.01646,0.97246,0.21982,0.23218
100_cs,CONF_0015,-0.28835,-0.23249,-0.20841,0.2316,0.30071,0.9944,0.98333,0.23429,0.22508
100_cs,CONF_0016,-0.2905,-0.23053,-0.22137,0.23158,0.30636,0.99494,0.99666,0.23411,0.22418
100_cs,CONF_0017,-0.28827,-0.23237,-0.20841,0.23146,0.30067,0.99434,0.98371,0.23427,0.225
100_cs,CONF_0018,-0.28989,-0.23017,-0.22221,0.23151,0.30641,0.99545,0.99627,0.23409,0.22406
100_cs,CONF_0020,-0.27636,-0.23693,-0.22771,0.22857,0.30638,0.97962,1.01743,0.2351,0.22883
100_cs,CONF_0021,-0.28329,-0.24136,-0.21656,0.22996,0.30669,0.9759,1.01143,0.23106,0.22554
100_cs,CONF_0022,-0.28396,-0.24098,-0.21619,0.22991,0.30681,0.97549,1.0114,0.23148,0.22546
100_cs,CONF_0023,-0.22381,-0.23507,-0.28127,0.22755,0.32039,1.00434,0.98127,0.22796,0.23099
100_cs,CONF_0024,-0.28277,-0.24091,-0.21756,0.22997,0.30678,0.97605,1.01124,0.23104,0.22558
100_cs,CONF_0025,-0.28325,-0.24105,-0.217,0.22991,0.30662,0.97639,1.01104,0.2312,0.22554
100_cs,CONF_0027,-0.24226,-0.23064,-0.26068,0.23238,0.29411,0.98218,1.00699,0.22328,0.2241
100_cs,CONF_0029,-0.28076,-0.23504,-0.22498,0.2276,0.32092,0.98111,1.00449,0.23085,0.22825
