Ligand,Conformer,LUMO+1,LUMO,HOMO,HOMO-1,HOMO-2,HOMO-3,dipole(debye),trace,anisotropy
100_cs,CONF_0001,-4.202,-5.221,-7.673,-8.044,-8.051,-8.253,1.4269,-207.765424,32.243333
100_cs,CONF_0002,-4.349,-5.104,-7.593,-8.015,-8.111,-8.208,1.9156,-208.235044,31.938720
100_cs,CONF_0004,-4.345,-5.055,-7.604,-8.019,-8.106,-8.204,1.8824,-208.266766,30.950606
100_cs,CONF_0005,-4.350,-5.100,-7.595,-8.016,-8.110,-8.208,1.9143,-208.234402,31.825711
100_cs,CONF_0006,-4.202,-5.220,-7.672,-8.043,-8.051,-8.251,1.4304,-207.773899,32.221035
100_cs,CONF_0007,-4.224,-5.328,-7.686,-8.054,-8.057,-8.230,1.0484,-207.172182,33.359999
100_cs,CONF_0008,-4.348,-5.209,-7.583,-8.013,-8.157,-8.172,1.3715,-208.625143,33.168325
100_cs,CONF_0009,-4.292,-5.206,-7.591,-8.039,-8.104,-8.128,1.7019,-206.967123,27.758185
100_cs,CONF_0010,-4.301,-5.092,-7.590,-8.008,-8.070,-8.220,1.7622,-208.502392,34.758255
100_cs,CONF_0011,-4.340,-5.070,-7.568,-7.897,-8.056,-8.315,2.2563,-208.478199,28.502293
100_cs,CONF_0012,-4.303,-5.102,-7.590,-8.009,-8.077,-8.220,1.7662,-208.546207,35.066725
100_cs,CONF_0014,-4.286,-5.215,-7.588,-8.037,-8.102,-8.129,1.7181,-206.970013,27.837220
100_cs,CONF_0015,-4.314,-5.194,-7.653,-8.073,-8.114,-8.214,1.4382,-207.846927,29.282498
100_cs,CONF_0016,-4.361,-5.126,-7.632,-8.059,-8.117,-8.192,1.7933,-208.417066,34.778612
100_cs,CONF_0017,-4.313,-5.195,-7.651,-8.073,-8.113,-8.212,1.4383,-207.840939,29.220027
100_cs,CONF_0018,-4.361,-5.124,-7.634,-8.054,-8.117,-8.195,1.7811,-208.375054,34.595825
100_cs,CONF_0020,-4.349,-5.090,-7.602,-8.018,-8.108,-8.206,1.8945,-208.195124,31.446163
100_cs,CONF_0021,-4.333,-5.171,-7.649,-8.052,-8.093,-8.167,1.7411,-207.933345,29.850275
100_cs,CONF_0022,-4.332,-5.173,-7.652,-8.051,-8.093,-8.168,1.7388,-207.921984,29.783403
100_cs,CONF_0023,-4.339,-5.070,-7.566,-7.897,-8.056,-8.314,2.2619,-208.489463,28.449420
100_cs,CONF_0024,-4.333,-5.167,-7.650,-8.052,-8.091,-8.167,1.7339,-207.944143,29.891361
100_cs,CONF_0025,-4.335,-5.170,-7.650,-8.052,-8.094,-8.167,1.7401,-207.924489,29.878299
100_cs,CONF_0027,-4.284,-5.104,-7.687,-7.951,-8.133,-8.219,1.6445,-207.485279,27.673512
100_cs,CONF_0029,-4.341,-5.068,-7.567,-7.897,-8.055,-8.316,2.2560,-208.494833,28.511843
100_cs,CONF_0031,-4.202,-5.222,-7.671,-8.043,-8.051,-8.251,1.4315,-207.775503,32.315546
101_cs,CONF_0002,-4.439,-4.965,-7.679,-8.325,-8.539,-8.685,1.4244,-190.068287,32.656018
