Ligand,Conformer,LUMO+1,LUMO,HOMO,HOMO-1,HOMO-2,HOMO-3,dipole(debye),trace,anisotropy
100_cs,CONF_0001,-2.027,-2.975,-5.444,-5.820,-5.837,-6.003,1.6909,-209.556200,31.072390
100_cs,CONF_0002,-2.125,-2.883,-5.384,-5.773,-5.934,-5.998,2.6655,-209.637105,32.161521
100_cs,CONF_0004,-2.120,-2.833,-5.392,-5.772,-5.931,-5.996,2.5703,-209.746821,31.322988
100_cs,CONF_0005,-2.125,-2.878,-5.386,-5.774,-5.934,-5.997,2.6575,-209.647096,32.104208
100_cs,CONF_0006,-2.027,-2.974,-5.443,-5.819,-5.837,-6.000,1.6959,-209.590147,31.048832
100_cs,CONF_0007,-2.077,-3.097,-5.488,-5.843,-5.860,-6.024,1.4017,-207.696692,33.017650
100_cs,CONF_0008,-2.134,-2.957,-5.340,-5.771,-5.909,-5.934,1.6298,-209.906166,33.271294
100_cs,CONF_0009,-2.116,-2.963,-5.366,-5.824,-5.870,-5.889,2.3392,-209.384381,25.331110
100_cs,CONF_0010,-2.089,-2.851,-5.354,-5.774,-5.832,-5.959,2.0906,-210.210797,35.807577
100_cs,CONF_0011,-2.117,-2.848,-5.355,-5.646,-5.871,-6.041,3.1713,-210.139226,27.655093
100_cs,CONF_0012,-2.090,-2.860,-5.353,-5.779,-5.836,-5.963,2.0975,-210.152513,35.919794
100_cs,CONF_0014,-2.111,-2.972,-5.364,-5.824,-5.868,-5.889,2.3708,-209.374302,25.426181
100_cs,CONF_0015,-2.126,-2.957,-5.429,-5.847,-5.882,-5.980,1.9710,-209.325182,28.676288
100_cs,CONF_0016,-2.122,-2.895,-5.407,-5.819,-5.905,-5.939,2.3423,-209.753342,36.327352
100_cs,CONF_0017,-2.125,-2.958,-5.426,-5.847,-5.880,-5.978,1.9698,-209.319680,28.633203
100_cs,CONF_0018,-2.121,-2.894,-5.409,-5.813,-5.906,-5.940,2.3250,-209.718574,36.177183
100_cs,CONF_0020,-2.126,-2.870,-5.393,-5.776,-5.936,-5.996,2.6278,-209.533448,31.785401
100_cs,CONF_0021,-2.124,-2.931,-5.423,-5.815,-5.892,-5.931,2.3873,-209.299247,28.847804
100_cs,CONF_0022,-2.122,-2.932,-5.426,-5.815,-5.892,-5.933,2.3857,-209.280845,28.740622
100_cs,CONF_0023,-2.116,-2.849,-5.354,-5.647,-5.871,-6.040,3.1755,-210.147526,27.616695
100_cs,CONF_0024,-2.123,-2.926,-5.424,-5.815,-5.889,-5.931,2.3728,-209.338807,28.893582
100_cs,CONF_0025,-2.126,-2.930,-5.424,-5.816,-5.894,-5.931,2.3885,-209.282761,28.910949
100_cs,CONF_0027,-2.092,-2.854,-5.448,-5.730,-5.896,-5.952,2.0460,-209.876817,25.537667
100_cs,CONF_0029,-2.118,-2.846,-5.354,-5.646,-5.870,-6.041,3.1677,-210.153480,27.706808
100_cs,CONF_0031,-2.027,-2.976,-5.442,-5.820,-5.836,-6.001,1.6932,-209.574799,31.143000
101_cs,CONF_0002,-2.030,-2.473,-5.203,-5.860,-6.057,-6.349,3.8325,-196.315693,24.843231
101_cs,CONF_0004,-2.051,-2.437,-5.185,-5.893,-6.050,-6.352,3.6369,-196.284022,25.629910
101_cs,CONF_0005,-1.973,-2.559,-5.205,-5.897,-6.068,-6.352,3.9522,-195.777427,23.903977
101_cs,CONF_0008,-2.021,-2.462,-5.216,-5.903,-6.048,-6.355,3.7595,-196.259008,23.663848
101_cs,CONF_0013,-2.049,-2.437,-5.168,-5.828,-6.050,-6.383,3.3533,-196.513550,26.172300
101_cs,CONF_0014,-2.028,-2.515,-5.183,-5.833,-6.070,-6.382,3.7982,-196.049865,25.504458
101_cs,CONF_0017,-2.050,-2.436,-5.169,-5.828,-6.048,-6.383,3.3426,-196.508180,26.170373
101_cs,CONF_0021,-2.055,-2.386,-5.163,-5.838,-6.034,-6.375,3.0497,-196.662698,26.470339
101_cs,CONF_0027,-2.016,-2.466,-5.206,-5.890,-6.058,-6.339,3.4005,-196.253785,24.672169
101_cs,CONF_0028,-2.031,-2.459,-5.177,-5.842,-6.057,-6.377,3.4781,-196.173610,25.370482
101_cs,CONF_0035,-2.017,-2.466,-5.208,-5.891,-6.058,-6.339,3.3876,-196.216866,24.694395
101_cs,CONF_0038,-1.957,-2.577,-5.211,-5.861,-6.067,-6.341,3.6659,-196.029329,24.141101
101_cs,CONF_0040,-2.028,-2.530,-5.191,-5.839,-6.066,-6.373,3.8449,-195.875818,24.856606
101_cs,CONF_0042,-1.980,-2.585,-5.190,-5.890,-6.073,-6.343,4.1605,-195.783233,23.237663
101_cs,CONF_0058,-1.984,-2.576,-5.195,-5.871,-6.061,-6.352,3.6111,-195.811916,24.624466
101_cs,CONF_0070,-2.015,-2.589,-5.169,-5.820,-6.019,-6.356,4.0659,-195.638883,24.928105
101_cs,CONF_0081,-2.034,-2.580,-5.227,-5.859,-6.004,-6.371,3.9484,-195.691798,25.723120
101_cs,CONF_0102,-1.936,-2.617,-5.215,-5.749,-6.042,-6.350,4.1943,-195.239638,23.798958
101_cs,CONF_0113,-2.024,-2.603,-5.221,-5.861,-6.014,-6.375,4.1640,-195.299087,23.719754
101_cs,CONF_0227,-2.043,-2.574,-5.227,-5.866,-6.006,-6.373,3.9093,-195.638550,25.908650
101_cs,CONF_0267,-2.051,-2.567,-5.191,-5.908,-6.001,-6.373,3.7651,-195.702624,25.822838
101_cs,CONF_0275,-1.983,-2.572,-5.213,-5.809,-6.063,-6.356,4.0129,-195.527102,24.533545
101_cs,CONF_0291,-1.997,-2.515,-5.166,-5.754,-6.031,-6.377,3.9847,-195.738391,24.687254
101_cs,CONF_0299,-2.031,-2.639,-5.204,-5.937,-6.014,-6.360,3.7991,-195.281337,25.071360
101_cs,CONF_0300,-2.010,-2.530,-5.174,-5.758,-6.032,-6.380,3.7145,-195.483960,25.524816
101_cs,CONF_0312,-1.992,-2.592,-5.192,-5.754,-6.031,-6.385,4.0627,-195.221596,24.613872
101_cs,CONF_0385,-2.026,-2.545,-5.217,-5.861,-6.024,-6.369,4.0741,-195.289439,23.860265
101_cs,CONF_0422,-1.888,-2.718,-5.173,-5.762,-6.069,-6.364,4.1167,-194.857288,23.392695
101_cs,CONF_0519,-1.989,-2.587,-5.209,-5.885,-6.029,-6.347,3.6639,-195.629096,23.428281
101_cs,CONF_0530,-2.045,-2.573,-5.188,-5.845,-6.047,-6.375,3.9516,-195.339237,24.341340
101_cs,CONF_0541,-2.044,-2.596,-5.220,-5.824,-6.042,-6.375,4.0950,-195.115989,24.770951
101_cs,CONF_0562,-1.952,-2.660,-5.205,-5.793,-6.064,-6.356,4.1867,-195.173495,23.319770
101_cs,CONF_0579,-1.874,-2.691,-5.205,-5.800,-6.105,-6.367,4.4025,-194.861801,22.043148
101_cs,CONF_0726,-2.021,-2.516,-5.174,-5.780,-6.049,-6.374,3.4753,-195.698571,26.070673
101_cs,CONF_0740,-1.913,-2.714,-5.206,-5.807,-6.090,-6.364,4.3451,-194.877936,22.678083
101_cs,CONF_0744,-1.871,-2.695,-5.205,-5.802,-6.105,-6.366,4.3874,-194.837478,22.037731
101_cs,CONF_0956,-1.848,-2.749,-5.192,-5.776,-6.078,-6.320,4.0152,-194.838130,22.812013
101_cs,CONF_1007,-1.989,-2.591,-5.207,-5.884,-6.028,-6.346,3.6546,-195.642902,23.547829
102_cs,CONF_0002,-2.030,-2.475,-5.203,-5.860,-6.057,-6.349,3.8337,-196.320129,24.852446
102_cs,CONF_0004,-2.052,-2.437,-5.185,-5.894,-6.049,-6.351,3.6330,-196.292105,25.586332
102_cs,CONF_0005,-1.973,-2.558,-5.203,-5.895,-6.068,-6.351,3.9468,-195.816947,23.925533
102_cs,CONF_0008,-2.022,-2.463,-5.216,-5.901,-6.045,-6.354,3.7503,-196.277303,23.657592
102_cs,CONF_0013,-2.050,-2.437,-5.169,-5.829,-6.050,-6.383,3.3530,-196.518280,26.176785
102_cs,CONF_0014,-2.030,-2.516,-5.183,-5.834,-6.072,-6.384,3.7962,-196.038891,25.440862
102_cs,CONF_0017,-2.050,-2.437,-5.168,-5.828,-6.050,-6.383,3.3486,-196.518032,26.178222
102_cs,CONF_0022,-2.056,-2.387,-5.165,-5.840,-6.035,-6.377,3.0474,-196.628094,26.415150
102_cs,CONF_0027,-2.029,-2.459,-5.175,-5.839,-6.055,-6.376,3.5030,-196.252032,25.232598
102_cs,CONF_0028,-2.013,-2.460,-5.207,-5.889,-6.056,-6.338,3.4111,-196.284334,24.782622
102_cs,CONF_0030,-2.049,-2.384,-5.160,-5.834,-6.030,-6.373,3.0242,-196.750393,26.427451
102_cs,CONF_0033,-2.016,-2.466,-5.209,-5.891,-6.059,-6.340,3.3954,-196.218442,24.667558
102_cs,CONF_0035,-2.027,-2.471,-5.164,-5.844,-6.056,-6.366,3.7587,-196.163235,24.946547
102_cs,CONF_0036,-1.956,-2.575,-5.214,-5.863,-6.068,-6.341,3.6968,-195.992163,24.031643
102_cs,CONF_0039,-2.027,-2.532,-5.190,-5.838,-6.066,-6.373,3.8484,-195.870156,24.876888
102_cs,CONF_0040,-1.980,-2.586,-5.188,-5.888,-6.071,-6.342,4.1670,-195.790169,23.284617
102_cs,CONF_0068,-2.015,-2.591,-5.169,-5.821,-6.019,-6.356,4.0593,-195.646298,24.898398
102_cs,CONF_0078,-2.013,-2.585,-5.230,-5.814,-6.016,-6.359,4.2775,-195.368449,24.373318
102_cs,CONF_0098,-1.934,-2.618,-5.215,-5.749,-6.042,-6.351,4.1872,-195.227491,23.744556
102_cs,CONF_0112,-2.024,-2.601,-5.222,-5.863,-6.013,-6.375,4.1504,-195.304204,23.788648
102_cs,CONF_0230,-2.041,-2.573,-5.228,-5.865,-6.005,-6.372,3.9095,-195.654700,25.945300
102_cs,CONF_0261,-2.051,-2.569,-5.192,-5.909,-6.002,-6.373,3.7854,-195.702307,25.816891
102_cs,CONF_0269,-1.981,-2.570,-5.213,-5.806,-6.062,-6.356,4.0160,-195.539050,24.474739
102_cs,CONF_0282,-1.997,-2.514,-5.166,-5.756,-6.032,-6.377,3.9922,-195.726160,24.718210
102_cs,CONF_0286,-2.032,-2.638,-5.206,-5.937,-6.014,-6.360,3.7879,-195.274322,25.095257
102_cs,CONF_0290,-2.008,-2.527,-5.173,-5.756,-6.030,-6.377,3.7469,-195.570187,25.445660
102_cs,CONF_0300,-1.989,-2.593,-5.194,-5.753,-6.031,-6.386,4.0658,-195.220375,24.558754
102_cs,CONF_0409,-1.888,-2.718,-5.174,-5.761,-6.068,-6.363,4.1189,-194.850229,23.363674
102_cs,CONF_0519,-2.047,-2.572,-5.190,-5.847,-6.047,-6.375,3.9366,-195.291704,24.396287
102_cs,CONF_0532,-2.042,-2.589,-5.216,-5.819,-6.038,-6.374,4.1520,-195.207279,24.561025
102_cs,CONF_0556,-1.875,-2.694,-5.205,-5.802,-6.106,-6.366,4.3854,-194.830987,22.093930
102_cs,CONF_0605,-1.953,-2.661,-5.206,-5.795,-6.064,-6.357,4.1857,-195.165765,23.338758
102_cs,CONF_0626,-1.989,-2.588,-5.210,-5.884,-6.028,-6.347,3.6476,-195.624668,23.445311
102_cs,CONF_0711,-2.022,-2.515,-5.174,-5.781,-6.049,-6.375,3.4802,-195.693214,26.076332
102_cs,CONF_0713,-1.900,-2.723,-5.195,-5.790,-6.083,-6.360,4.3861,-194.945329,22.426847
102_cs,CONF_0934,-2.025,-2.509,-5.171,-5.781,-6.049,-6.374,3.4682,-195.731124,26.172945
102_cs,CONF_0939,-1.849,-2.747,-5.192,-5.775,-6.077,-6.320,4.0074,-194.858797,22.862323
103_cs,CONF_0007,-2.108,-2.489,-5.154,-5.893,-6.023,-6.347,3.7218,-192.141063,24.793775
103_cs,CONF_0032,-2.078,-2.519,-5.143,-5.880,-5.954,-6.350,3.7464,-191.672965,24.373328
103_cs,CONF_0036,-2.119,-2.500,-5.176,-5.887,-6.014,-6.348,3.4406,-192.150839,24.483780
103_cs,CONF_0038,-2.086,-2.575,-5.163,-5.896,-5.975,-6.367,4.0105,-191.571253,24.743434
