Ligand,Conformer,LUMO+1,LUMO,HOMO,HOMO-1,HOMO-2,HOMO-3,dipole(debye),trace,anisotropy
100_cs,CONF_0001,-4.293,-5.239,-7.675,-8.046,-8.057,-8.285,1.4248,-207.728984,32.659274
100_cs,CONF_0002,-4.418,-5.124,-7.594,-8.038,-8.122,-8.221,1.8498,-208.156309,32.38319
100_cs,CONF_0004,-4.417,-5.074,-7.605,-8.041,-8.119,-8.219,1.819,-208.188376,31.388568
100_cs,CONF_0005,-4.419,-5.119,-7.597,-8.039,-8.121,-8.22,1.8495,-208.156822,32.268305
100_cs,CONF_0006,-4.293,-5.238,-7.674,-8.045,-8.057,-8.283,1.4262,-207.739365,32.63114
100_cs,CONF_0007,-4.312,-5.346,-7.691,-8.053,-8.068,-8.258,0.9835,-207.141059,33.686854
100_cs,CONF_0008,-4.416,-5.229,-7.584,-8.016,-8.172,-8.185,1.322,-208.565228,33.676481
100_cs,CONF_0009,-4.373,-5.223,-7.594,-8.046,-8.105,-8.166,1.603,-206.950297,28.155977
100_cs,CONF_0010,-4.375,-5.113,-7.592,-8.013,-8.091,-8.233,1.725,-208.462871,35.368816
100_cs,CONF_0011,-4.411,-5.093,-7.572,-7.93,-8.071,-8.323,2.2094,-208.444075,28.815754
100_cs,CONF_0012,-4.376,-5.123,-7.592,-8.014,-8.097,-8.235,1.7325,-208.500263,35.670638
100_cs,CONF_0014,-4.368,-5.233,-7.591,-8.044,-8.104,-8.166,1.6203,-206.951559,28.253191
100_cs,CONF_0015,-4.396,-5.213,-7.655,-8.081,-8.116,-8.246,1.3854,-207.809021,29.672699
100_cs,CONF_0016,-4.435,-5.145,-7.634,-8.072,-8.138,-8.203,1.7403,-208.370021,35.372361
100_cs,CONF_0017,-4.395,-5.214,-7.653,-8.081,-8.115,-8.245,1.3856,-207.803326,29.612807
100_cs,CONF_0018,-4.435,-5.143,-7.635,-8.068,-8.139,-8.203,1.7252,-208.330452,35.175067
100_cs,CONF_0020,-4.419,-5.109,-7.603,-8.04,-8.119,-8.219,1.8299,-208.113431,31.876904
100_cs,CONF_0021,-4.41,-5.189,-7.651,-8.061,-8.101,-8.181,1.6786,-207.861531,30.257112
