Ligand,Conformer,Bmin,Bmax,L,Bmin_0.0,Bmin_0.5,Bmin_1.0,Bmin_1.5,Bmin_2.0,Bmin_2.5,Bmin_3.0,Bmin_3.5,Bmin_4.0,Bmin_4.5,Bmin_5.0,Bmin_5.5,Bmin_6.0,Bmin_6.5,Bmin_7.0,Bmin_7.5,Bmin_8.0,Bmin_8.5,Bmin_9.0,Bmin_9.5,Bmin_10.0,Bmin_10.5,Bmin_11.0,Bmin_11.5,Bmin_12.0,Bmax_0.0,Bmax_0.5,Bmax_1.0,Bmax_1.5,Bmax_2.0,Bmax_2.5,Bmax_3.0,Bmax_3.5,Bmax_4.0,Bmax_4.5,Bmax_5.0,Bmax_5.5,Bmax_6.0,Bmax_6.5,Bmax_7.0,Bmax_7.5,Bmax_8.0,Bmax_8.5,Bmax_9.0,Bmax_9.5,Bmax_10.0,Bmax_10.5,Bmax_11.0,Bmax_11.5,Bmax_12.0
100_cs,CONF_0001,5.675695005,7.995890287,7.64900686,4.496820759,4.470956225,4.309630884,4.564884101,4.934541081,4.617010255,4.610710334,4.610710334,4.509141637,4.291492956,4.134474977,2.173217409,2.019407962,1.263816668,0.543784672,0.015592944,0.002820772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.976214641,7.891767863,7.741446893,7.763053523,7.810249676,7.810249676,7.766112284,7.513487872,7.088018059,6.998928489,6.598674109,6.198386887,6.044005295,5.74216858,3.22684056,2.850438563,2.343074903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
100_cs,CONF_0002,5.58520541,8.190865553,7.95629024,5.26376952,5.516071304,5.527455734,5.466772088,5.311023078,4.968398892,3.550692657,3.6,3.571527852,3.347368099,3.372521037,3.031465944,2.462430695,2.023842117,1.848582421,1.730260769,0.910742232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.18565819,8.18565819,8.11326075,7.713786359,7.7014609,7.7014609,7.67609927,7.498333148,7.238957107,6.937578828,6.573621529,4.426341605,4.208622102,3.98246155,3.969886648,3.732626421,3.092329219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
100_cs,CONF_0004,5.626271063,8.200073454,8.02183517,5.268650589,5.562833949,5.617297274,5.530055006,5.413909608,5.057535919,3.943707278,3.617202254,3.595585544,3.323054106,3.340979371,3.001169962,2.438834591,2.003931764,1.798358855,1.640990204,0.981805469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.189169677,8.189169677,8.149846624,7.881148393,7.702759246,7.702759246,7.681959385,7.452516354,7.227205546,6.906699646,6.588247111,4.366062299,4.205948169,4.081666326,4.049691346,3.773592453,3.022002647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
100_cs,CONF_0005,5.593450305,8.187203859,7.96279656,5.259326023,5.520698949,5.544550223,5.450128034,5.328429827,5.02549048,4.009893111,3.595341627,3.589599853,3.353929369,3.384590983,3.024243166,2.464156269,2.012449049,1.850092931,1.735110867,0.89763418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.178630692,8.178630692,8.10246876,7.707463915,7.697077367,7.697077367,7.669419796,7.482813642,7.229280739,6.944242219,6.562202374,4.426341605,4.208622102,3.98151981,3.965476012,3.720551034,3.092329219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
100_cs,CONF_0006,5.664216871,8.001361191,7.64390271,4.503469208,4.441035385,4.305694076,4.589726851,4.902178068,4.616190657,4.603116247,4.603116247,4.50823591,4.293068613,4.146664761,2.182369997,2.01237919,1.259974127,0.54256873,0.007603622,0.014317133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.980758109,7.890025349,7.740316531,7.75644893,7.793907877,7.793907877,7.786205751,7.537406716,7.076192479,6.989456345,6.614000302,6.195361168,6.046693311,5.750217387,3.217530109,2.8609439,2.319482701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
100_cs,CONF_0007,5.580879997,8.247452893,7.80147017,3.665839133,3.628370989,4.095306729,4.598220784,4.990449753,5.057795535,4.8669309,4.302293029,4.244917157,3.999245317,2.546022548,2.28653265,1.669467274,1.412712756,0.885290657,0.079654802,0.004486713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.90253124,8.087181215,8.242117446,8.242117446,8.242117446,8.120498753,7.597697019,7.03651192,7.03651192,6.862215386,6.573621529,6.480933575,6.035105633,5.505678886,3.869431483,2.186892773,1.843908891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
100_cs,CONF_0008,5.183662244,8.237947614,8.00364037,4.788853259,5.019179411,4.989420519,4.892386129,4.768756426,4.707146039,4.790919488,4.42285634,3.272772354,3.222749542,3.248774724,3.104620249,2.650820178,2.21555889,1.945752208,1.804079866,0.701349821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.223898102,8.217359673,7.976214641,7.964923101,7.945124291,7.819366982,7.632168761,7.256721023,6.855107585,5.776028047,4.996248593,4.55,4.389191269,4.260575079,4.25,4.0,2.785677655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
100_cs,CONF_0009,5.83142144,8.242920469,8.08775809,4.460247119,4.384520028,4.215096513,4.351235412,4.968172401,5.202635515,4.429966158,4.375729531,4.358826803,4.20887023,2.580939751,2.344561459,2.10432142,1.883152053,1.544355498,0.224449079,0.001319833,0.001724412,0.0,0.0,0.0,0.0,0.0,0.0,0,8.223442102,8.005623024,7.912016178,7.893826702,7.893826702,7.872102642,7.627089878,7.126184112,7.126184112,6.947301634,6.642665128,6.411123147,6.226154511,4.609772229,4.274634487,2.350531855,1.920937271,1.274754878,0.0,0.0,0.0,0.0,0.0,0.0,0
100_cs,CONF_0010,5.518679378,8.227728422,7.74859646,5.433792528,5.514854132,5.463749537,5.391692976,5.162681138,4.67322967,3.62305678,3.498933728,3.518421868,3.34550168,3.358276517,3.182008691,2.550437959,2.187770546,2.137782951,2.039979044,1.561046738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.211729416,8.211729416,8.154293348,7.751451477,7.719617866,7.719617866,7.672190039,7.433034374,7.152796656,6.965629907,4.605702987,4.494441011,3.973977856,3.834709898,3.65,3.560898763,3.170567772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
100_cs,CONF_0011,5.667275919,8.257866081,8.17144962,3.880638548,4.185832542,5.064275965,4.927974285,4.709184941,4.72635047,4.730974579,4.348706704,3.874193035,3.479305148,2.915844211,2.790928364,2.597931325,2.519271302,1.014235481,0.244427549,0.011122202,0.007644612,0.0,0.0,0.0,0.0,0.0,0.0,0,8.242117446,8.153833454,8.152453618,7.955658364,7.630530781,7.630530781,7.630530781,7.484149918,6.855107585,6.256596519,6.256596519,6.167860245,5.801939331,5.390037106,4.292143986,2.830635971,2.573907535,2.083866598,0.0,0.0,0.0,0.0,0.0,0.0,0
