Ligand,Conformer,Vshell_0.0,Vshell_0.5,Vshell_1.0,Vshell_1.5,Vshell_2.0,Vshell_2.5,Vshell_3.0,Vshell_3.5,Vshell_4.0,Vshell_4.5,Vshell_5.0,Vshell_5.5,Vshell_6.0,Vshell_6.5,Vshell_7.0,Vshell_7.5,Vshell_8.0,Vshell_8.5,Vshell_9.0,Vshell_9.5,Vshell_10.0,Vshell_10.5,Vshell_11.0,Vshell_11.5,Vshell_12.0
100_cs,CONF_0001,0.0,5.847107755,28.6284014,34.58772745,36.65000238,45.26303131,49.06927002,48.36775465,44.9806639,40.6629266,36.78737304,32.14583719,25.62177345,17.74954912,11.13883037,5.304190552,1.011175109,0.007459958,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100_cs,CONF_0002,0.0,7.095861924,29.86980995,36.38194391,40.95757627,46.55393124,49.78756237,49.24761938,46.22728794,41.00829119,36.73195372,32.04968701,25.27244262,17.29349844,10.89232622,4.977866941,0.949460488,0.003413412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100_cs,CONF_0004,0.0,7.206046116,29.86591228,36.52649748,41.3905107,46.53965488,49.65854762,49.1472626,46.23175835,41.01614262,36.72487723,31.99415256,25.17418814,17.27937922,10.93696806,5.00314553,0.986377391,0.007459958,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100_cs,CONF_0005,0.0,7.176663665,29.8834518,36.38457216,41.01546579,46.51459194,49.72095989,49.22054413,46.24690808,41.03380833,36.74117702,32.02517298,25.26089951,17.29688705,10.90381134,4.974331473,0.95281657,0.004211711,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100_cs,CONF_0006,0.0,5.803034079,28.54265261,34.57633838,36.66880411,45.24240991,49.05383235,48.36499849,45.00040822,40.68481245,36.80081043,32.14235396,25.620945,17.75472617,11.13444735,5.296094333,1.011423707,0.007872871,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100_cs,CONF_0007,0.0,4.47347817,27.01281632,33.75194498,37.62422855,43.16440683,46.3544469,46.76966609,44.8354997,41.37210664,37.42195202,32.03194227,25.32353053,18.01475507,11.69380968,5.338024972,1.03065903,0.021774268,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100_cs,CONF_0008,0.0,6.559632193,29.19551268,35.10899639,39.41138188,45.47590766,48.686416,48.56781971,45.58317609,41.09711045,36.98114186,32.03496545,25.45724277,17.70601487,11.08639649,5.045217588,0.943245521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100_cs,CONF_0009,0.0,5.810379692,28.4880852,34.4817215,37.00030818,44.69737032,48.57394161,47.83386953,44.59161389,40.47095924,36.64798988,31.97568489,25.50413319,17.89050597,11.46175325,5.505181856,1.016271381,0.008478476,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100_cs,CONF_0010,0.0,7.558635528,30.13095398,36.08144769,40.16048214,47.59356728,50.69684066,49.60900108,45.87685732,40.44976039,36.33805518,32.1941423,25.44481598,17.26093011,10.78851363,5.101643643,0.919411123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100_cs,CONF_0011,0.0,6.824074252,29.45860555,38.10169338,41.4741289,45.29285303,47.4319957,47.8444078,45.75019565,41.44218061,37.08784591,31.83576436,24.93929423,17.52646551,11.64612407,5.011453878,0.994115025,0.008478476,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100_cs,CONF_0012,0.0,7.397032047,30.10367028,36.01574153,39.99670923,47.97966343,50.94693078,49.69671194,45.75801887,40.34131258,36.25727179,32.24560203,25.47182354,17.187369,10.78331895,5.119603816,0.911083067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100_cs,CONF_0014,0.0,5.891181432,28.52316425,34.52727777,36.99585514,44.76970386,48.67318372,47.86272818,44.56665409,40.44308668,36.62811208,31.98817192,25.51269386,17.88335223,11.44568218,5.514409425,1.017327926,0.008093091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100_cs,CONF_0015,0.0,5.810379692,28.49393171,34.62802723,39.02842045,44.42707129,47.76699296,47.67547118,45.07615687,41.151776,37.18643981,31.93257175,25.34556737,17.94900658,11.42944878,5.210429965,0.901512018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100_cs,CONF_0016,0.0,6.691853223,29.40598698,35.32013221,38.86514232,46.16307631,49.26069702,49.22411093,46.16395711,41.60284041,37.18882515,32.28615204,25.45028377,17.39167406,10.91042645,4.757642696,0.679078354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100_cs,CONF_0017,0.0,5.758960402,28.42377361,34.65518578,39.04722217,44.47814893,47.81330595,47.69330518,45.0805031,41.14529857,37.18341839,31.93664647,25.35291298,17.94157046,11.41958699,5.210748157,0.901729542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100_cs,CONF_0018,0.0,6.743272512,29.39429396,35.36744066,38.7656911,45.82298176,49.04324653,49.13802134,46.23324849,41.65662268,37.22842173,32.25164839,25.4399005,17.45361035,10.91667631,4.755061805,0.684733974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
