Ligand,Conformer,-30_0_ecount_atom6,-30_0_ecount_atom7,-29_0_ecount_atom6,-29_0_ecount_atom7,-28_0_ecount_atom6,-28_0_ecount_atom7,-27_0_ecount_atom6,-27_0_ecount_atom7,-26_0_ecount_atom6,-26_0_ecount_atom7,-25_0_ecount_atom6,-25_0_ecount_atom7,-24_0_ecount_atom6,-24_0_ecount_atom7,-23_0_ecount_atom6,-23_0_ecount_atom7,-22_0_ecount_atom6,-22_0_ecount_atom7,-21_0_ecount_atom6,-21_0_ecount_atom7,-20_0_ecount_atom6,-20_0_ecount_atom7,-19_0_ecount_atom6,-19_0_ecount_atom7,-18_0_ecount_atom6,-18_0_ecount_atom7,-17_0_ecount_atom6,-17_0_ecount_atom7,-16_0_ecount_atom6,-16_0_ecount_atom7,-15_0_ecount_atom6,-15_0_ecount_atom7,-14_0_ecount_atom6,-14_0_ecount_atom7,-13_0_ecount_atom6,-13_0_ecount_atom7,-12_0_ecount_atom6,-12_0_ecount_atom7,-11_0_ecount_atom6,-11_0_ecount_atom7,-10_0_ecount_atom6,-10_0_ecount_atom7,-9_0_ecount_atom6,-9_0_ecount_atom7,-8_0_ecount_atom6,-8_0_ecount_atom7,-7_0_ecount_atom6,-7_0_ecount_atom7,-6_0_ecount_atom6,-6_0_ecount_atom7,-5_0_ecount_atom6,-5_0_ecount_atom7,-4_0_ecount_atom6,-4_0_ecount_atom7,-3_0_ecount_atom6,-3_0_ecount_atom7,-2_0_ecount_atom6,-2_0_ecount_atom7,-1_0_ecount_atom6,-1_0_ecount_atom7,-30_0_elevel_atom6,-30_0_elevel_atom7,-29_0_elevel_atom6,-29_0_elevel_atom7,-28_0_elevel_atom6,-28_0_elevel_atom7,-27_0_elevel_atom6,-27_0_elevel_atom7,-26_0_elevel_atom6,-26_0_elevel_atom7,-25_0_elevel_atom6,-25_0_elevel_atom7,-24_0_elevel_atom6,-24_0_elevel_atom7,-23_0_elevel_atom6,-23_0_elevel_atom7,-22_0_elevel_atom6,-22_0_elevel_atom7,-21_0_elevel_atom6,-21_0_elevel_atom7,-20_0_elevel_atom6,-20_0_elevel_atom7,-19_0_elevel_atom6,-19_0_elevel_atom7,-18_0_elevel_atom6,-18_0_elevel_atom7,-17_0_elevel_atom6,-17_0_elevel_atom7,-16_0_elevel_atom6,-16_0_elevel_atom7,-15_0_elevel_atom6,-15_0_elevel_atom7,-14_0_elevel_atom6,-14_0_elevel_atom7,-13_0_elevel_atom6,-13_0_elevel_atom7,-12_0_elevel_atom6,-12_0_elevel_atom7,-11_0_elevel_atom6,-11_0_elevel_atom7,-10_0_elevel_atom6,-10_0_elevel_atom7,-9_0_elevel_atom6,-9_0_elevel_atom7,-8_0_elevel_atom6,-8_0_elevel_atom7,-7_0_elevel_atom6,-7_0_elevel_atom7,-6_0_elevel_atom6,-6_0_elevel_atom7,-5_0_elevel_atom6,-5_0_elevel_atom7,-4_0_elevel_atom6,-4_0_elevel_atom7,-3_0_elevel_atom6,-3_0_elevel_atom7,-2_0_elevel_atom6,-2_0_elevel_atom7,-1_0_elevel_atom6,-1_0_elevel_atom7
1_cs,CONF_0012,4.627,4.552,4.627,4.552,4.627,4.552,4.627,4.552,4.627,4.552,4.627,4.552,4.505,4.457,4.427,4.36,4.226,4.156,3.973,3.937,3.945,3.881,3.736,3.695,3.396,3.356,3.244,3.206,3.041,3.01,2.789,2.878,2.746,2.673,2.196,2.182,1.644,1.652,1.228,1.231,0.478,0.55,0.346,0.354,0.168,0.212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.56568197,-14.47420157,-14.56568197,-14.47420157,-14.56568197,-14.47420157,-14.56568197,-14.47420157,-14.56568197,-14.47420157,-14.56568197,-14.47420157,-14.30610573,-14.26741812,-14.147154,-14.06296698,-13.76586607,-13.66533788,-13.2688615,-13.22088159,-13.21438489,-13.10977592,-12.87285242,-12.79645727,-12.29857524,-12.21575936,-12.0553632,-11.9695106,-11.75948033,-11.67176682,-11.4460027,-11.49738474,-11.39491942,-11.24189363,-10.81293305,-10.69457903,-10.22109012,-10.14022938,-9.809618848,-9.708753417,-8.532470343,-8.624109002,-8.081195958,-8.053613545,-7.75797014,-7.75797014,,,,,,,,,,,,,,
1_cs,CONF_0001,4.594,4.547,4.594,4.547,4.594,4.547,4.594,4.547,4.594,4.547,4.594,4.547,4.491,4.447,4.4,4.358,4.183,4.189,4.003,3.96,3.929,3.9,3.711,3.706,3.395,3.353,3.234,3.204,3.04,3.018,2.808,2.845,2.699,2.683,2.194,2.173,1.705,1.612,1.212,1.246,0.538,0.473,0.325,0.309,0.179,0.196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.49564368,-14.49201605,-14.49564368,-14.49201605,-14.49564368,-14.49201605,-14.49564368,-14.49201605,-14.49564368,-14.49201605,-14.49564368,-14.49201605,-14.27238475,-14.27405041,-14.08397994,-14.08868986,-13.66412612,-13.7623653,-13.30601092,-13.30619731,-13.16309055,-13.19003749,-12.8043877,-12.87199299,-12.27106779,-12.27038231,-12.00828733,-12.02685024,-11.71630777,-11.75206899,-11.42229234,-11.53689999,-11.29095354,-11.34214155,-10.74044376,-10.80364459,-10.22290164,-10.22494013,-9.740682102,-9.860505041,-8.65090869,-8.586370299,-8.117210856,-8.027750476,-7.7960661,-7.7960661,,,,,,,,,,,,,,
100_cs,CONF_0006,4.457,4.443,4.453,4.441,4.453,4.441,4.453,4.441,4.453,4.441,4.453,4.441,4.382,4.322,4.296,4.29,4.296,4.29,3.985,3.982,3.915,3.918,3.909,3.442,3.403,3.394,3.201,3.197,3.048,3.04,2.897,2.877,2.627,2.632,2.349,2.329,1.76,1.804,1.387,1.383,0.533,0.494,0.42,0.337,0.23,0.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.14513227,-14.20390003,-14.1309949,-14.19683871,-14.1309949,-14.19683871,-14.1309949,-14.19683871,-14.1309949,-14.19683871,-14.1309949,-14.19683871,-13.9682711,-13.92342678,-13.77014401,-13.84977167,-13.77014401,-13.84977167,-13.14288974,-13.22915081,-13.00533519,-13.10442337,-12.99611452,-12.28737092,-12.11796168,-12.20127988,-11.78205505,-11.87233552,-11.54881009,-11.63513455,-11.34774837,-11.42143894,-11.02481628,-11.12944709,-10.72053283,-10.8114631,-10.10217659,-10.28421829,-9.717402824,-9.872435617,-8.363543765,-8.578008263,-8.021007194,-8.039491048,-7.67089366,-7.67089366,,,,,,,,,,,,,,
100_cs,CONF_0012,4.463,4.503,4.459,4.5,4.459,4.5,4.459,4.5,4.459,4.5,4.459,4.5,4.347,4.366,4.304,4.343,4.265,4.107,3.998,4.004,3.923,3.949,3.915,3.478,3.406,3.437,3.201,3.223,3.056,3.061,2.844,2.826,2.645,2.65,2.291,2.304,1.724,1.758,1.326,1.283,0.526,0.521,0.407,0.352,0.188,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.20439653,-14.27803852,-14.19038749,-14.26767657,-14.19038749,-14.26767657,-14.19038749,-14.26767657,-14.19038749,-14.26767657,-14.19038749,-14.26767657,-13.93318078,-13.96518154,-13.83540936,-13.91316814,-13.76049809,-13.44688799,-13.22166261,-13.24036589,-13.07514013,-13.13420479,-13.06294065,-12.33371414,-12.18260849,-12.26131987,-11.84142538,-11.90847272,-11.61987685,-11.66435552,-11.34033468,-11.36339205,-11.10792393,-11.15620987,-10.73747116,-10.78829495,-10.13179387,-10.2135049,-9.701953787,-9.73287302,-8.360645744,-8.51453585,-7.986405497,-7.952585764,-7.58925946,-7.58925946,,,,,,,,,,,,,,
100_cs,CONF_0002,4.454,4.411,4.452,4.409,4.452,4.409,4.452,4.409,4.452,4.409,4.452,4.409,4.384,4.296,4.295,4.249,4.126,4.157,3.961,3.939,3.909,3.868,3.454,3.856,3.403,3.354,3.17,3.148,3.028,3.015,2.797,2.799,2.635,2.606,2.283,2.254,1.608,1.649,1.29,1.279,0.55,0.45,0.324,0.357,0.154,0.208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.24692803,-14.26818686,-14.23991571,-14.26111579,-14.23991571,-14.26111579,-14.23991571,-14.26111579,-14.23991571,-14.26111579,-14.23991571,-14.26111579,-14.08474292,-14.00042935,-13.88119721,-13.89197943,-13.546964,-13.71162546,-13.20977447,-13.2641655,-13.10797154,-13.12408144,-12.32620327,-13.105663,-12.2343222,-12.22714727,-11.84394211,-11.88141351,-11.6275094,-11.67820237,-11.32390396,-11.39416468,-11.12713078,-11.16639325,-10.74777951,-10.79744489,-10.01999392,-10.15648426,-9.722713378,-9.753421036,-8.595032384,-8.239853799,-7.976828743,-7.894072873,-7.5919806,-7.5919806,,,,,,,,,,,,,,
100_cs,CONF_0005,4.456,4.426,4.454,4.424,4.454,4.424,4.454,4.424,4.454,4.424,4.454,4.424,4.386,4.31,4.299,4.261,4.129,4.169,3.965,3.951,3.915,3.879,3.459,3.868,3.409,3.364,3.173,3.156,3.031,3.022,2.797,2.803,2.635,2.606,2.288,2.255,1.613,1.649,1.293,1.279,0.554,0.451,0.327,0.357,0.153,0.209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.23846154,-14.27940471,-14.23144856,-14.27236269,-14.23144856,-14.27236269,-14.23144856,-14.27236269,-14.23144856,-14.27236269,-14.23144856,-14.27236269,-14.07621526,-14.01053113,-13.87724116,-13.89793485,-13.54111164,-13.71823144,-13.20610694,-13.27226152,-13.1083472,-13.13076812,-12.32568408,-13.11394821,-12.23591133,-12.23597972,-11.84081816,-11.88847356,-11.62440574,-11.68453374,-11.31679903,-11.39717307,-11.11965204,-11.16477372,-10.74504806,-10.79711185,-10.01849857,-10.1563902,-9.71812745,-9.753780593,-8.596454557,-8.245102469,-7.983874689,-7.896969325,-7.59470174,-7.59470174,,,,,,,,,,,,,,
101_cs,CONF_0002,4.645,4.645,4.645,4.645,4.645,4.645,4.645,4.645,4.645,4.645,4.645,4.645,4.644,4.644,4.384,4.378,4.238,4.231,4.002,3.985,3.944,3.937,3.733,3.719,3.489,3.472,3.268,3.257,2.976,2.964,2.829,2.824,2.586,2.58,2.212,2.198,1.88,1.852,1.297,1.27,0.973,0.958,0.325,0.328,0.209,0.199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.4413618,-14.48752862,-14.4413618,-14.48752862,-14.4413618,-14.48752862,-14.4413618,-14.48752862,-14.4413618,-14.48752862,-14.4413618,-14.48752862,-14.43925948,-14.48543624,-13.89544741,-13.93011483,-13.59438717,-13.62769551,-13.12873692,-13.14335749,-13.01432121,-13.04875307,-12.65061849,-12.6735848,-12.23652749,-12.25398389,-11.86563422,-11.89275532,-11.42096381,-11.44463194,-11.19627722,-11.23139839,-10.88594267,-10.92125109,-10.42315947,-10.45070778,-10.07906493,-10.09242175,-9.448014177,-9.453343206,-9.089119387,-9.112529772,-8.012509762,-8.041416693,-7.67905708,-7.67905708,,,,,,,,,,,,,,
101_cs,CONF_0005,4.648,4.64,4.648,4.64,4.648,4.64,4.648,4.64,4.648,4.64,4.648,4.64,4.646,4.639,4.374,4.376,4.235,4.231,3.971,4.011,3.936,3.937,3.722,3.725,3.46,3.487,3.256,3.263,2.97,3.012,2.825,2.825,2.558,2.55,2.186,2.228,1.822,1.852,1.256,1.271,0.85,0.917,0.31,0.341,0.201,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.52092043,-14.42379901,-14.52092043,-14.42379901,-14.52092043,-14.42379901,-14.52092043,-14.42379901,-14.52092043,-14.42379901,-14.52092043,-14.42379901,-14.51675653,-14.42169299,-13.94822645,-13.87074811,-13.66196881,-13.56919646,-13.14297121,-13.13581998,-13.07389273,-12.9899441,-12.70700659,-12.62200241,-12.26311705,-12.21609488,-11.92108201,-11.84070005,-11.48568182,-11.462973,-11.26178225,-11.17263481,-10.92395802,-10.82090453,-10.46929113,-10.42874584,-10.09544732,-10.02178965,-9.477243155,-9.405540125,-9.014186022,-8.982833298,-7.991953069,-8.039899396,-7.6736148,-7.6736148,,,,,,,,,,,,,,
101_cs,CONF_0008,4.64,4.647,4.64,4.647,4.64,4.647,4.64,4.647,4.64,4.647,4.64,4.647,4.639,4.646,4.384,4.38,4.238,4.235,4.006,3.99,3.939,3.94,3.728,3.728,3.487,3.473,3.275,3.262,2.98,2.977,2.84,2.836,2.528,2.577,2.226,2.196,1.857,1.843,1.298,1.273,0.978,0.969,0.315,0.299,0.206,0.197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.42581524,-14.47581599,-14.42581524,-14.47581599,-14.42581524,-14.47581599,-14.42581524,-14.47581599,-14.42581524,-14.47581599,-14.42581524,-14.47581599,-14.4237073,-14.47372199,-13.88979223,-13.91776878,-13.58834968,-13.61913671,-13.13051057,-13.13657751,-12.99810654,-13.03800735,-12.632218,-12.67265336,-12.22133583,-12.23911889,-11.86380647,-11.88443547,-11.41671545,-11.45001966,-11.20039525,-11.23325931,-10.80342202,-10.90652341,-10.43314659,-10.43713197,-10.03948704,-10.07335022,-9.436848531,-9.448638149,-9.077007976,-9.110716511,-7.984196217,-7.976962755,-7.69538392,-7.69538392,,,,,,,,,,,,,,
101_cs,CONF_0014,4.631,4.65,4.631,4.65,4.631,4.65,4.631,4.65,4.631,4.65,4.631,4.65,4.631,4.65,4.375,4.389,4.229,4.243,4,4.006,3.933,3.947,3.717,3.736,3.474,3.483,3.269,3.267,2.984,2.994,2.833,2.835,2.516,2.577,2.22,2.208,1.852,1.871,1.297,1.291,0.968,0.937,0.318,0.326,0.203,0.207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.4276776,-14.45015342,-14.4276776,-14.45015342,-14.4276776,-14.45015342,-14.4276776,-14.45015342,-14.4276776,-14.45015342,-14.4276776,-14.45015342,-14.4276776,-14.45015342,-13.89104341,-13.90572475,-13.58919042,-13.60537292,-13.13674894,-13.13909717,-13.00439863,-13.02309062,-12.62987884,-12.66015848,-12.21501495,-12.23153758,-11.86862045,-11.86948108,-11.43658666,-11.45566312,-11.20291129,-11.2110776,-10.80050749,-10.88541319,-10.43782481,-10.43197083,-10.0453043,-10.08340752,-9.446992438,-9.460337245,-9.090735599,-9.072431773,-7.990927107,-7.999525571,-7.65728796,-7.65728796,,,,,,,,,,,,,,
