Ligand,Conformer,atom_1_ISOTROPIC,atom_2_ISOTROPIC,atom_3_ISOTROPIC,atom_5_ISOTROPIC,atom_6_ISOTROPIC,atom_7_ISOTROPIC,atom_1_ANISOTROPIC,atom_2_ANISOTROPIC,atom_3_ANISOTROPIC,atom_5_ANISOTROPIC,atom_6_ANISOTROPIC,atom_7_ANISOTROPIC,atom_1_dD/dB-CONTRIBUTION,atom_2_dD/dB-CONTRIBUTION,atom_3_dD/dB-CONTRIBUTION,atom_5_dD/dB-CONTRIBUTION,atom_6_dD/dB-CONTRIBUTION,atom_7_dD/dB-CONTRIBUTION
100_cs,CONF_0002,103.0220793,89.44482602,89.36335254,-44.66532138,360.8885561,356.9166151,70.76816302,116.6516718,96.36734602,225.2077719,103.3236985,71.96606164,-174.0439735,-192.1869783,-190.9470417,-370.3771147,-637.885477,-642.0780494
100_cs,CONF_0005,103.0347037,89.31435341,89.52587943,-44.16871487,360.8459986,356.6451425,71.09393468,116.6095864,96.24307838,224.3852492,103.2451824,71.42665684,-173.9235876,-192.3094886,-190.7349337,-369.8689011,-637.9319985,-642.3327088
100_cs,CONF_0006,99.53748304,87.86210157,91.68622052,-48.94605057,359.0807982,360.6893206,79.18426765,119.3993357,92.68630438,254.1659556,94.60964053,79.64467282,-178.056892,-195.4490167,-185.1756686,-372.9288029,-638.9913773,-636.8604279
100_cs,CONF_0012,108.6003212,92.16389763,90.1924915,-44.16516548,354.4917592,354.5985789,62.18274349,122.8175307,96.18027224,220.9665139,90.66198805,110.1325836,-169.3751128,-191.6148417,-186.2087228,-369.7349959,-644.970992,-643.2177884
101_cs,CONF_0002,106.0596677,88.53764101,101.7880417,-2.51563981,315.8471967,310.8276453,69.14397368,125.3557295,75.44394426,158.0531272,144.6673694,143.8477807,-174.1078244,-195.9436948,-179.4053603,-331.3266818,-684.5568351,-689.1382371
101_cs,CONF_0005,95.10744854,85.67389238,110.5936798,-5.3320574,314.967936,320.0060116,83.54142787,118.890404,63.25642046,165.9449258,136.1817543,147.0808395,-183.4710571,-198.1366721,-169.2684023,-333.7832187,-684.3666275,-679.2720553
101_cs,CONF_0008,106.5693236,84.99073211,99.3534578,-2.55826822,315.2462865,313.5909827,68.03719145,118.1929459,77.5439336,163.3046785,143.3404292,138.5865595,-173.6161101,-198.9318821,-179.9756797,-331.0574204,-684.8605755,-686.312346
101_cs,CONF_0014,106.8161289,90.2365919,99.97919354,-7.65473216,313.0505958,315.3179474,65.37767527,123.7257261,74.891217,166.1822669,142.7647424,141.8931694,-173.8958325,-193.170585,-181.1248248,-336.5920362,-687.23212,-684.6447344
102_cs,CONF_0002,106.0455299,88.57087931,101.8418831,-2.54927429,315.8046752,310.9662955,69.14437577,125.453301,75.49403394,158.1662226,144.6426077,143.7265703,-174.1705174,-195.9806244,-179.4560776,-331.3370303,-684.5487603,-688.9980392
102_cs,CONF_0004,106.2128781,87.73878545,102.2591766,-3.66810087,314.5946528,313.3371122,68.91511232,124.6581068,71.5626531,160.6403463,130.7417596,136.3623518,-175.2665801,-197.4445765,-178.8289087,-332.7032434,-686.5418151,-686.9001029
102_cs,CONF_0005,95.14542874,85.67933292,110.6964289,-5.4753009,314.9936909,320.0044031,83.5126917,119.1412921,63.24919066,165.9759198,136.2779674,147.1543392,-183.4512908,-198.1445065,-169.199947,-333.9264317,-684.3901761,-679.299022
102_cs,CONF_0036,111.0749792,87.29752781,95.06821003,-5.45006745,314.4179097,311.1103471,64.04506194,123.0058648,85.7399293,172.5784419,141.1906587,144.9153056,-169.1013986,-197.2082198,-186.2161818,-334.4472803,-686.0331733,-688.4816923
107_cs,CONF_0003,101.4956742,88.61082094,104.6681806,-11.11145452,308.3205419,312.3577536,74.37804566,127.4681027,68.5033114,154.6837351,88.49097441,98.82519583,-174.7677615,-192.5906364,-172.5059666,-334.4466082,-685.7778954,-681.8358117
