Ligand,Conformer,bending_6_5_7,stretch_1--5,stretch_2--5,stretch_3--5,stretch_5--6,stretch_5--7
1_cs,CONF_0001,369.03,200.93,208.66,202.06,220.37,213.52
1_cs,CONF_0012,253.11,201.38,209.45,203.35,197.67,192.53
100_cs,CONF_0002,116.2,202.6,204.68,204.67,163.54,221.78
100_cs,CONF_0005,116.3,202.91,205.05,205.01,163.66,222.07
100_cs,CONF_0006,154.89,198.6,207.47,204.24,201.19,161.43
100_cs,CONF_0012,123.94,203.13,207.15,204.59,219.64,165.56
101_cs,CONF_0002,280.42,206.52,610.4,206.83,193.5,194.61
101_cs,CONF_0005,271.98,201.26,210.56,203.76,197.07,188.71
101_cs,CONF_0008,278.22,207.05,608.87,205.31,193.16,195.48
101_cs,CONF_0014,276.85,206.98,610.19,205.08,193.6,192.48
102_cs,CONF_0002,280.76,206.33,609.9,206.38,193.58,194.75
102_cs,CONF_0004,271.04,207.81,611.96,208.88,191.15,196.1
102_cs,CONF_0005,272.02,200.98,210.54,203.56,196.93,189.53
102_cs,CONF_0036,275.33,208.07,613.47,205.61,192.63,195.89
107_cs,CONF_0003,307.23,211.18,615.92,211.6,215.97,212.67
107_cs,CONF_0004,313.31,211.53,616.01,212.15,217.98,210.06
107_cs,CONF_0007,311.97,210.93,616.21,212.51,215.53,211.53
107_cs,CONF_0015,317.36,209.35,613.84,211.33,215.11,209.31
107_cs,CONF_0020,317.55,209.22,614.06,211.54,215.34,209.21
107_cs,CONF_0024,308.94,209.84,613.36,212.34,217.97,211.19
107_cs,CONF_0026,311.06,209.8,615.15,212.06,215.12,209.5
107_cs,CONF_0032,315.61,209.9,613.75,212.85,219.06,209.38
107_cs,CONF_0035,317.7,210.57,610.31,211.87,215.67,212.97
108_cs,CONF_0003,307.24,211.55,616.32,211.87,216.2,212.91
108_cs,CONF_0009,314.55,211.85,615.28,212.44,213.73,214.15
108_cs,CONF_0010,307.81,211.11,616.59,212.98,215.08,212.51
108_cs,CONF_0024,308.86,210.13,613.47,212.34,217.73,210.82
108_cs,CONF_0026,311.01,209.88,615.39,212.15,215.36,209.18
109_cs,CONF_0003,95.08,199.87,158.83,200.39,166.86,196.64
111_cs,CONF_0004,248.75,201.09,207.9,202.43,241.28,210.85
111_cs,CONF_0007,302.59,203.13,200.86,204.84,228.11,234.68
111_cs,CONF_0008,248.45,201.17,207.98,202.46,241.5,210.78
111_cs,CONF_0016,188.8,203.71,207.17,204.13,232.53,207.95
111_cs,CONF_0030,188.46,199.05,168.74,200.1,198.17,238.14
111_cs,CONF_0034,214.86,201.65,204.35,203.22,237.66,208.73
112_cs,CONF_0016,188.65,203.7,207.97,204.59,232.38,207.24
112_cs,CONF_0032,303.19,203.3,201.26,205.16,227.43,234.31
112_cs,CONF_0036,221.75,197.26,164.44,198.5,197.01,241.12
113_cs,CONF_0004,210.03,198.68,212.57,204.18,236.48,235.46
113_cs,CONF_0012,173.9,203.83,210.35,204.67,188.78,225.84
113_cs,CONF_0013,214.93,199.32,214.27,205.3,234.93,234.86
113_cs,CONF_0014,182.79,202.61,212.12,203.75,227.5,228.4
114_cs,CONF_0002,215.22,206.38,214.61,200.92,237.45,237
114_cs,CONF_0003,209.89,198.75,212.65,204.71,236.38,235.26
114_cs,CONF_0008,177.39,201.5,215.48,206.32,226.37,184.59
114_cs,CONF_0009,178.64,207.53,614.34,206.06,232.37,222.06
114_cs,CONF_0013,174.6,203.51,210.56,204.59,188.53,225.67
114_cs,CONF_0014,214.62,199.43,213.87,205.01,234.69,234.99
114_cs,CONF_0017,217.38,205.85,211.51,204.37,228.6,215.26
114_cs,CONF_0020,218.43,206.33,213.66,201.96,227.28,225.61
115_cs,CONF_0004,312.74,212.22,616.02,211.36,209.68,217.51
115_cs,CONF_0007,311.95,212.44,616.36,210.8,211.41,215.96
116_cs,CONF_0003,307.42,212.41,616.28,211.61,213.17,216.25
116_cs,CONF_0009,314.76,213.16,615.65,211.94,214.39,214.07
116_cs,CONF_0014,318.22,211.77,614.29,208.75,209.13,215.65
116_cs,CONF_0032,317.59,211.9,610.44,210.25,213.27,215.35
119_cs,CONF_0002,789.33,207.8,217.04,206.03,325.07,319.88
120_cs,CONF_0001,789.05,207.78,216.83,205.41,324.85,319.45
121_cs,CONF_0001,146.07,199.78,202.61,199.84,180.48,237.38
124_cs,CONF_0001,1009.42,210.57,618.67,210.56,463.67,463.61
125_cs,CONF_0001,283.47,209.33,611.54,209.14,195.67,201.7
125_cs,CONF_0008,291.38,207.03,610.83,209.57,197.69,202.51
125_cs,CONF_0021,290.86,209.02,612.51,208.6,197.89,200.1
125_cs,CONF_0032,287.19,210.02,614.2,209.17,198.23,199.72
126_cs,CONF_0003,289.23,204.57,215.26,207.77,198.79,201.05
126_cs,CONF_0004,284.72,208.57,609.86,208.76,200.17,196.94
126_cs,CONF_0006,289.71,206.58,217.1,209.09,199.45,202.07
126_cs,CONF_0007,293.13,207.05,215.58,208.11,205.34,200.31
126_cs,CONF_0011,283.33,210,611.59,208.72,194.96,202.4
126_cs,CONF_0031,287.24,210.73,614.33,209.47,198.6,200.01
127_cs,CONF_0005,209.63,203.85,211.62,198.42,235.46,236.7
127_cs,CONF_0009,177.05,205.82,214.86,201.39,184.15,225.97
127_cs,CONF_0012,212.32,205.92,212.26,202.63,228.51,208.7
127_cs,CONF_0017,182.63,203.88,212.58,202.17,228.28,227.33
128_cs,CONF_0001,214.95,200.41,214.5,206.7,237.43,237.39
128_cs,CONF_0003,209.82,204.37,212.47,199.1,235.84,236.65
128_cs,CONF_0010,177.08,206.04,215.13,201.31,184.51,226.33
128_cs,CONF_0011,178.76,205.89,613.95,207.57,222.06,232.6
128_cs,CONF_0014,174.27,204.35,209.94,203.37,225.74,188.67
128_cs,CONF_0022,217.66,201.81,212.88,206.17,226.25,227.37
13_cs,CONF_0002,364.82,197.76,160.63,199.9,182.72,268.57
13_cs,CONF_0004,368.49,197.44,158.51,198,182.78,268.17
131_cs,CONF_0001,169.37,203.2,211.44,199.22,182.79,183.5
131_cs,CONF_0011,244.19,200.86,210.43,200.48,193.13,197.78
131_cs,CONF_0027,144.81,203.66,205.74,207.84,182.43,182.71
132_cs,CONF_0002,191.36,201.81,213.75,202.8,184.07,190.55
132_cs,CONF_0006,181.43,200.72,210.1,199.12,184.87,185.33
132_cs,CONF_0007,246.53,198.22,160.34,198.42,195.75,195.48
132_cs,CONF_0019,244.44,200.67,210.18,200.88,198.55,193.13
132_cs,CONF_0021,144.46,207.7,205.28,203.43,182.06,182.51
134_cs,CONF_0005,144.39,203.15,204.23,203.24,191.67,188.56
137_cs,CONF_0010,228.37,202.16,202.51,202.35,195.27,154.95
137_cs,CONF_0013,202.68,201.71,619.33,207.12,189.07,157.28
137_cs,CONF_0019,203.03,201.78,619.66,207.37,188.98,157.27
137_cs,CONF_0025,218.73,200.89,621.47,209.92,195.89,155.44
137_cs,CONF_0028,220.46,201.25,621.13,208.24,195.44,155.28
137_cs,CONF_0032,220.95,201.37,621.1,208.17,195.72,155.34
138_cs,CONF_0001,220.81,206.22,615.13,199.24,155.22,194.84
138_cs,CONF_0002,226.44,206.05,607.63,197.43,156.02,197.36
138_cs,CONF_0004,201.92,205.47,615.44,199.12,155.82,191.05
138_cs,CONF_0009,205.84,205.71,616.1,198.84,156.18,192.94
138_cs,CONF_0013,213.44,208.28,613.52,196.39,155.29,202.53
138_cs,CONF_0016,197.41,208.96,624.52,200.09,154.35,195.29
138_cs,CONF_0027,213.87,208.57,613.34,196.18,155.25,202.59
140_cs,CONF_0001,334.93,212.74,615.26,213.17,230.69,233.55
140_cs,CONF_0006,332.06,212.06,614.6,213.01,231.31,233.74
141_cs,CONF_0006,363.46,204.94,217.82,207.09,237.73,226.87
141_cs,CONF_0009,357.02,206.18,220,203.44,237.14,223.86
141_cs,CONF_0011,346.39,211.52,608.3,210.28,224.99,240.43
141_cs,CONF_0014,354.7,209.98,613.12,214.4,232,233.08
141_cs,CONF_0022,365.71,210.24,609.93,209.08,233.71,231.79
142_cs,CONF_0010,352.97,207.7,221.22,210.42,237.5,227.03
142_cs,CONF_0011,346.57,211.65,608.02,210.09,224.9,240.32
142_cs,CONF_0014,354.85,210.38,613.18,214.22,232.09,232.74
142_cs,CONF_0016,354.48,210.47,613.21,214.1,231.95,232.67
145_cs,CONF_0001,118.64,202.89,616.41,207.09,190.89,180.31
145_cs,CONF_0002,124.85,202.34,620.45,205.64,188.69,185.15
145_cs,CONF_0006,125,202.05,620.09,205.79,188.98,185.37
145_cs,CONF_0010,118.02,207.21,617.66,203.14,179.48,190.37
145_cs,CONF_0011,116.68,203.08,618.92,207.92,188.96,178.48
145_cs,CONF_0013,124.69,205.58,620.09,202.18,185.28,188.44
145_cs,CONF_0028,114.2,205.76,624.28,210.35,185.02,177.4
145_cs,CONF_0036,114.13,205.52,624.75,210.55,184.64,177.32
146_cs,CONF_0007,123.06,202.15,623.63,207.17,187.59,183.25
146_cs,CONF_0011,123.02,202.18,623.56,207.19,187.51,183.3
146_cs,CONF_0026,120.89,199.93,621.47,204.39,185.11,179.54
146_cs,CONF_0029,116.33,209.36,629.08,204.54,174.99,178.94
146_cs,CONF_0031,116.46,209.09,629.28,205.09,175.08,178.79
146_cs,CONF_0036,113.49,207.75,625.25,205.69,174.25,179.44
146_cs,CONF_0040,123.85,206.9,620.64,203.56,180.68,188.34
147_cs,CONF_0003,121.08,207.11,619.79,204.37,211.16,212.75
147_cs,CONF_0004,123.24,208.74,627.63,208.48,212.11,212.11
147_cs,CONF_0005,123.38,204.8,621.43,208.69,213.34,208.43
147_cs,CONF_0008,122.02,204.71,622.99,209.76,211.27,206.67
148_cs,CONF_0001,121.27,204.56,620.28,207.61,213.21,211.34
148_cs,CONF_0003,127.62,208.81,626.62,207.6,216.29,214.87
148_cs,CONF_0005,123.78,205.16,621.18,208.35,214.69,209.56
