mol1,mol2,rmsd
0.0,1.0,0.26523339934409607
0.0,2.0,3.8631889395324572
0.0,3.0,0.43161425251862284
0.0,4.0,3.9028422364178907
0.0,5.0,3.9059977253281124
0.0,6.0,3.803950965155338
0.0,7.0,0.5107954437122557
0.0,8.0,3.8639714644803314
0.0,9.0,3.799234072494187
0.0,10.0,3.8434178560920604
0.0,11.0,3.838461058590188
0.0,12.0,1.124682021796647
0.0,13.0,1.495008277441244
0.0,14.0,1.511307873186091
0.0,15.0,1.5384343808626548
0.0,16.0,3.9095994136811365
0.0,17.0,3.8616503800035584
0.0,18.0,3.9090837450225764
0.0,19.0,3.8641403257229743
0.0,20.0,0.5107845511529002
0.0,21.0,1.095346399728311
0.0,22.0,3.805241932848547
0.0,23.0,0.002092289695681426
0.0,24.0,3.843340106813224
0.0,25.0,3.798430685032618
0.0,26.0,0.26720609743595886
0.0,27.0,3.840081831870359
0.0,28.0,3.77943676527675
0.0,29.0,1.1685501209600293
0.0,30.0,3.7691928821187783
0.0,31.0,3.7156647420417808
0.0,32.0,1.1583561064647638
0.0,33.0,3.703784952816712
0.0,34.0,1.536253347036571
1.0,2.0,3.85276320013894
1.0,3.0,0.5061707016560234
1.0,4.0,3.891966240094442
1.0,5.0,3.8952506036882437
1.0,6.0,3.786907610490745
1.0,7.0,0.4356933194752778
1.0,8.0,3.8535697498410952
1.0,9.0,3.7672951364510014
1.0,10.0,3.825843878249934
1.0,11.0,3.8062034935180753
1.0,12.0,1.1455422994316382
1.0,13.0,1.4590736866937593
1.0,14.0,1.5210496305387469
1.0,15.0,1.502604844289494
1.0,16.0,3.8988915817250875
1.0,17.0,3.8511921542372947
1.0,18.0,3.898380559435123
1.0,19.0,3.8537350139170705
1.0,20.0,0.4363835013930766
1.0,21.0,1.125907592422579
1.0,22.0,3.7881899348860286
1.0,23.0,0.2652105367125375
1.0,24.0,3.825756684549523
1.0,25.0,3.7665840298181408
1.0,26.0,0.024644691558379807
1.0,27.0,3.8079525351320744
1.0,28.0,3.765480108409687
1.0,29.0,1.1282970953664937
1.0,30.0,3.7417223875285877
1.0,31.0,3.7016382043607976
1.0,32.0,1.1779077418633435
1.0,33.0,3.676015602727623
1.0,34.0,1.5003077363167
2.0,3.0,3.936382060454195
2.0,4.0,0.2817333389098863
2.0,5.0,0.2753367302953762
2.0,6.0,1.3793700666342525
2.0,7.0,3.925478928205844
2.0,8.0,0.0028297234876708587
2.0,9.0,1.4339221179838595
2.0,10.0,1.4208178196493246
2.0,11.0,1.4730694941670175
2.0,12.0,3.8986718590615905
2.0,13.0,3.9718747720244423
2.0,14.0,4.00600202093999
2.0,15.0,4.004786735099479
2.0,16.0,0.27672399639300527
2.0,17.0,0.00693293152257539
2.0,18.0,0.2731752190312681
2.0,19.0,0.003872822461278723
2.0,20.0,3.9243374248224816
2.0,21.0,3.999564909349853
2.0,22.0,1.3834419617136355
2.0,23.0,3.863336593238915
2.0,24.0,1.4227787997110062
2.0,25.0,1.4328393222774953
2.0,26.0,3.8529027368886433
2.0,27.0,1.4704445310408074
2.0,28.0,0.8475355971460565
2.0,29.0,3.8924041181419864
2.0,30.0,0.8954018430392987
2.0,31.0,0.7481694417116006
2.0,32.0,3.9312461898936673
2.0,33.0,0.8011719525168977
2.0,34.0,4.005147418949528
3.0,4.0,3.968918695492971
3.0,5.0,3.9731024485229574
3.0,6.0,3.8205631525532464
3.0,7.0,0.2661371376403535
3.0,8.0,3.937205953281748
3.0,9.0,3.814626556333051
3.0,10.0,3.8535060221475117
3.0,11.0,3.847300930812108
3.0,12.0,1.3754266071866548
3.0,13.0,1.7071945715898722
3.0,14.0,1.6828493185472153
3.0,15.0,1.706114432392461
3.0,16.0,3.9765706369008376
3.0,17.0,3.9346087700881958
3.0,18.0,3.97663101492999
3.0,19.0,3.9372581949124696
3.0,20.0,0.2651003630386418
3.0,21.0,1.300554913642412
3.0,22.0,3.8214494938047765
3.0,23.0,0.43189739888443046
