mol1,mol2,rmsd
0.0,1.0,100.0
0.0,2.0,100.0
0.0,3.0,1.2449030930298994
0.0,4.0,100.0
0.0,5.0,100.0
0.0,6.0,100.0
0.0,7.0,100.0
0.0,8.0,100.0
0.0,9.0,100.0
0.0,10.0,100.0
0.0,11.0,100.0
0.0,12.0,100.0
0.0,13.0,100.0
0.0,14.0,100.0
0.0,15.0,100.0
0.0,16.0,100.0
0.0,17.0,100.0
0.0,18.0,100.0
0.0,19.0,100.0
0.0,20.0,100.0
0.0,21.0,100.0
0.0,22.0,100.0
0.0,23.0,100.0
0.0,24.0,100.0
0.0,25.0,100.0
0.0,26.0,100.0
0.0,27.0,100.0
0.0,28.0,100.0
0.0,29.0,100.0
0.0,30.0,100.0
0.0,31.0,100.0
0.0,32.0,100.0
1.0,2.0,0.009560147653017378
1.0,3.0,100.0
1.0,4.0,100.0
1.0,5.0,100.0
1.0,6.0,0.6833684261236124
1.0,7.0,100.0
1.0,8.0,100.0
1.0,9.0,100.0
1.0,10.0,100.0
1.0,11.0,100.0
1.0,12.0,100.0
1.0,13.0,100.0
1.0,14.0,100.0
1.0,15.0,100.0
1.0,16.0,100.0
1.0,17.0,100.0
1.0,18.0,2.764367287349849
1.0,19.0,100.0
1.0,20.0,100.0
1.0,21.0,100.0
1.0,22.0,100.0
1.0,23.0,100.0
1.0,24.0,100.0
1.0,25.0,2.6017405742817528
1.0,26.0,100.0
1.0,27.0,100.0
1.0,28.0,2.7034754392822555
1.0,29.0,100.0
1.0,30.0,100.0
1.0,31.0,0.9131973227875079
1.0,32.0,100.0
2.0,3.0,100.0
2.0,4.0,100.0
2.0,5.0,100.0
2.0,6.0,0.6879836620249989
2.0,7.0,100.0
2.0,8.0,100.0
2.0,9.0,100.0
2.0,10.0,100.0
2.0,11.0,100.0
2.0,12.0,100.0
2.0,13.0,100.0
2.0,14.0,100.0
2.0,15.0,100.0
2.0,16.0,100.0
2.0,17.0,100.0
2.0,18.0,2.7612136024563845
2.0,19.0,100.0
2.0,20.0,100.0
2.0,21.0,100.0
2.0,22.0,100.0
2.0,23.0,100.0
2.0,24.0,100.0
2.0,25.0,2.598159797469048
2.0,26.0,100.0
2.0,27.0,100.0
2.0,28.0,2.7006038303697326
2.0,29.0,100.0
2.0,30.0,100.0
2.0,31.0,0.9134908373507578
2.0,32.0,100.0
3.0,4.0,100.0
3.0,5.0,100.0
3.0,6.0,100.0
3.0,7.0,100.0
3.0,8.0,100.0
3.0,9.0,100.0
3.0,10.0,100.0
3.0,11.0,100.0
3.0,12.0,100.0
3.0,13.0,100.0
3.0,14.0,100.0
3.0,15.0,100.0
3.0,16.0,100.0
3.0,17.0,100.0
3.0,18.0,100.0
3.0,19.0,100.0
3.0,20.0,100.0
3.0,21.0,100.0
3.0,22.0,100.0
3.0,23.0,100.0
3.0,24.0,100.0
3.0,25.0,100.0
3.0,26.0,100.0
3.0,27.0,100.0
3.0,28.0,100.0
3.0,29.0,100.0
3.0,30.0,100.0
3.0,31.0,100.0
3.0,32.0,100.0
4.0,5.0,100.0
4.0,6.0,100.0
4.0,7.0,100.0
4.0,8.0,100.0
4.0,9.0,100.0
4.0,10.0,100.0
4.0,11.0,100.0
4.0,12.0,100.0
4.0,13.0,100.0
4.0,14.0,100.0
4.0,15.0,100.0
4.0,16.0,100.0
4.0,17.0,100.0
4.0,18.0,100.0
4.0,19.0,100.0
4.0,20.0,100.0
4.0,21.0,100.0
4.0,22.0,100.0
4.0,23.0,100.0
4.0,24.0,100.0
4.0,25.0,100.0
4.0,26.0,100.0
4.0,27.0,100.0
4.0,28.0,100.0
4.0,29.0,100.0
4.0,30.0,100.0
4.0,31.0,100.0
4.0,32.0,100.0
5.0,6.0,100.0
5.0,7.0,100.0
5.0,8.0,100.0
5.0,9.0,0.6713000123153545
5.0,10.0,100.0
5.0,11.0,100.0
5.0,12.0,100.0
5.0,13.0,100.0
5.0,14.0,100.0
5.0,15.0,100.0
5.0,16.0,100.0
5.0,17.0,1.0658465338183323
5.0,18.0,100.0
5.0,19.0,1.5561216228843047
5.0,20.0,100.0
5.0,21.0,100.0
5.0,22.0,100.0
5.0,23.0,1.055740173528105
5.0,24.0,100.0
5.0,25.0,100.0
5.0,26.0,2.1599009232885145
5.0,27.0,100.0
5.0,28.0,100.0
5.0,29.0,0.9386928678857978
5.0,30.0,100.0
5.0,31.0,100.0
5.0,32.0,1.8100093794622119
6.0,7.0,100.0
6.0,8.0,100.0
6.0,9.0,100.0
6.0,10.0,100.0
6.0,11.0,100.0
6.0,12.0,100.0
6.0,13.0,100.0
6.0,14.0,100.0
6.0,15.0,100.0
6.0,16.0,100.0
6.0,17.0,100.0
6.0,18.0,2.7125097606212933
6.0,19.0,100.0
6.0,20.0,100.0
6.0,21.0,100.0
6.0,22.0,100.0
6.0,23.0,100.0
6.0,24.0,100.0
6.0,25.0,2.6199770017087007
6.0,26.0,100.0
6.0,27.0,100.0
6.0,28.0,2.6733138087757986
6.0,29.0,100.0
6.0,30.0,100.0
6.0,31.0,1.0433480847056127
6.0,32.0,100.0
7.0,8.0,100.0
7.0,9.0,100.0
7.0,10.0,100.0
7.0,11.0,100.0
7.0,12.0,100.0
7.0,13.0,100.0
7.0,14.0,100.0
7.0,15.0,100.0
7.0,16.0,100.0
7.0,17.0,100.0
7.0,18.0,100.0
7.0,19.0,100.0
7.0,20.0,100.0
7.0,21.0,100.0
7.0,22.0,100.0
7.0,23.0,100.0
7.0,24.0,100.0
7.0,25.0,100.0
7.0,26.0,100.0
7.0,27.0,100.0
7.0,28.0,100.0
7.0,29.0,100.0
7.0,30.0,100.0
7.0,31.0,100.0
7.0,32.0,100.0
8.0,9.0,100.0
8.0,10.0,0.6244564128817407
8.0,11.0,100.0
8.0,12.0,100.0
8.0,13.0,100.0
8.0,14.0,100.0
8.0,15.0,100.0
8.0,16.0,100.0
8.0,17.0,100.0
8.0,18.0,100.0
8.0,19.0,100.0
8.0,20.0,100.0
8.0,21.0,100.0
8.0,22.0,100.0
8.0,23.0,100.0
8.0,24.0,100.0
8.0,25.0,100.0
8.0,26.0,100.0
8.0,27.0,100.0
8.0,28.0,100.0
8.0,29.0,100.0
8.0,30.0,100.0
8.0,31.0,100.0
8.0,32.0,100.0
9.0,10.0,100.0
9.0,11.0,100.0
9.0,12.0,100.0
9.0,13.0,100.0
9.0,14.0,100.0
9.0,15.0,100.0
9.0,16.0,100.0
9.0,17.0,0.8575248296990329
9.0,18.0,100.0
9.0,19.0,1.1939255031460512
9.0,20.0,100.0
9.0,21.0,100.0
9.0,22.0,100.0
9.0,23.0,1.3236418833553534
9.0,24.0,100.0
9.0,25.0,100.0
9.0,26.0,1.9101933745112403
9.0,27.0,100.0
9.0,28.0,100.0
9.0,29.0,0.8247018912293442
9.0,30.0,100.0
9.0,31.0,100.0
9.0,32.0,1.474543029871891
10.0,11.0,100.0
10.0,12.0,100.0
10.0,13.0,100.0
10.0,14.0,100.0
10.0,15.0,100.0
10.0,16.0,100.0
10.0,17.0,100.0
10.0,18.0,100.0
10.0,19.0,100.0
10.0,20.0,100.0
10.0,21.0,100.0
10.0,22.0,100.0
10.0,23.0,100.0
10.0,24.0,100.0
10.0,25.0,100.0
10.0,26.0,100.0
10.0,27.0,100.0
10.0,28.0,100.0
10.0,29.0,100.0
10.0,30.0,100.0
10.0,31.0,100.0
10.0,32.0,100.0
11.0,12.0,1.0623733171128138
11.0,13.0,100.0
11.0,14.0,1.888401434326876
11.0,15.0,100.0
11.0,16.0,100.0
11.0,17.0,100.0
11.0,18.0,100.0
11.0,19.0,100.0
11.0,20.0,100.0
11.0,21.0,100.0
11.0,22.0,100.0
11.0,23.0,100.0
11.0,24.0,100.0
11.0,25.0,100.0
11.0,26.0,100.0
11.0,27.0,100.0
11.0,28.0,100.0
11.0,29.0,100.0
11.0,30.0,100.0
11.0,31.0,100.0
11.0,32.0,100.0
12.0,13.0,100.0
12.0,14.0,1.4195052362274923
12.0,15.0,100.0
12.0,16.0,100.0
12.0,17.0,100.0
12.0,18.0,100.0
12.0,19.0,100.0
12.0,20.0,100.0
12.0,21.0,100.0
12.0,22.0,100.0
12.0,23.0,100.0
12.0,24.0,100.0
12.0,25.0,100.0
12.0,26.0,100.0
12.0,27.0,100.0
12.0,28.0,100.0
12.0,29.0,100.0
12.0,30.0,100.0
12.0,31.0,100.0
12.0,32.0,100.0
13.0,14.0,100.0
13.0,15.0,100.0
13.0,16.0,100.0
13.0,17.0,100.0
13.0,18.0,100.0
13.0,19.0,100.0
13.0,20.0,100.0
13.0,21.0,100.0
13.0,22.0,100.0
13.0,23.0,100.0
13.0,24.0,100.0
13.0,25.0,100.0
13.0,26.0,100.0
13.0,27.0,100.0
13.0,28.0,100.0
13.0,29.0,100.0
13.0,30.0,100.0
13.0,31.0,100.0
13.0,32.0,100.0
14.0,15.0,100.0
14.0,16.0,100.0
14.0,17.0,100.0
14.0,18.0,100.0
14.0,19.0,100.0
14.0,20.0,100.0
14.0,21.0,100.0
14.0,22.0,100.0
14.0,23.0,100.0
14.0,24.0,100.0
14.0,25.0,100.0
14.0,26.0,100.0
14.0,27.0,100.0
14.0,28.0,100.0
14.0,29.0,100.0
14.0,30.0,100.0
14.0,31.0,100.0
14.0,32.0,100.0
15.0,16.0,100.0
15.0,17.0,100.0
15.0,18.0,100.0
15.0,19.0,100.0
15.0,20.0,100.0
15.0,21.0,3.870053265711483
15.0,22.0,100.0
15.0,23.0,100.0
15.0,24.0,100.0
15.0,25.0,100.0
15.0,26.0,100.0
