mol1,mol2,rmsd
0.0,1.0,0.35200216378176097
0.0,2.0,0.38535531941904744
0.0,3.0,1.1477240345759179
0.0,4.0,1.2276960616190473
0.0,5.0,0.232979536076875
0.0,6.0,1.1637533002044018
0.0,7.0,1.1935091651770955
1.0,2.0,0.38828238410768173
1.0,3.0,1.1951572757885667
1.0,4.0,1.1718224962519375
1.0,5.0,0.23516126720095953
1.0,6.0,1.1579784400786899
1.0,7.0,1.1890784355432762
2.0,3.0,1.3659362861963635
2.0,4.0,1.3936269579305
2.0,5.0,0.39262417791372317
2.0,6.0,1.3445821721279596
2.0,7.0,1.3828264034210556
3.0,4.0,0.35377926366579343
3.0,5.0,1.1302037172549333
3.0,6.0,0.21922202097154933
3.0,7.0,0.22778374424953324
4.0,5.0,1.1581554349414707
4.0,6.0,0.21494587214454794
4.0,7.0,0.22576197953868168
5.0,6.0,1.1178340728626617
5.0,7.0,1.131730838878196
6.0,7.0,0.18073975113434834
