mol1,mol2,rmsd
0.0,1.0,0.18372740166612941
0.0,2.0,3.0161200428098986
0.0,3.0,3.0402441734363896
0.0,4.0,0.34050660314960257
0.0,5.0,0.9801377718901896
0.0,6.0,0.8738164931879593
0.0,7.0,0.9875484574804908
0.0,8.0,0.9816145701165712
0.0,9.0,0.8822014597541882
0.0,10.0,0.9079603690719168
0.0,11.0,1.3922060559568905
0.0,12.0,2.8693523172854443
0.0,13.0,2.8763480922262104
0.0,14.0,2.8773918973764627
0.0,15.0,2.868167701248149
0.0,16.0,2.8547991867160407
0.0,17.0,2.8573186059325733
0.0,18.0,2.8669520081374946
0.0,19.0,2.8762099288228384
0.0,20.0,2.9910552090377007
0.0,21.0,1.376467532564919
0.0,22.0,0.9204509747293644
0.0,23.0,1.3724946648541243
0.0,24.0,0.9826346989636049
0.0,25.0,1.3988417623172165
0.0,26.0,1.3534736880376064
0.0,27.0,0.3411977170447485
0.0,28.0,0.3483372067648114
0.0,29.0,2.9895327313107223
0.0,30.0,0.9879437795832573
0.0,31.0,0.9799298639369295
0.0,32.0,2.8670756459596434
0.0,33.0,2.8759837672157813
0.0,34.0,2.990472228250286
0.0,35.0,2.9909551241006453
0.0,36.0,1.3920505446974256
0.0,37.0,1.399166750405373
0.0,38.0,2.9899171733933194
0.0,39.0,2.9894087965627225
1.0,2.0,3.013716926969285
1.0,3.0,3.039476366194531
1.0,4.0,0.23138844185803725
1.0,5.0,0.9487050729527262
1.0,6.0,0.9332788015151093
1.0,7.0,0.9507910571614173
1.0,8.0,0.9506904856837006
1.0,9.0,0.8996150431325308
1.0,10.0,0.9199712563622432
1.0,11.0,1.3311754946355627
1.0,12.0,2.879740971867194
1.0,13.0,2.8885164734184867
1.0,14.0,2.8895538076344733
1.0,15.0,2.88019693162104
1.0,16.0,2.874048380368772
1.0,17.0,2.8754381213417175
1.0,18.0,2.8789945801440275
1.0,19.0,2.8883975776313977
1.0,20.0,3.0088534768280604
1.0,21.0,1.325262416197255
1.0,22.0,0.9039994633057941
1.0,23.0,1.3327746315986921
1.0,24.0,0.9424694822650794
1.0,25.0,1.3425845232088776
1.0,26.0,1.3115955536293533
1.0,27.0,0.23183603538921588
1.0,28.0,0.21877779714228618
1.0,29.0,3.007768487962359
1.0,30.0,0.9512083459601856
1.0,31.0,0.9484203122285585
1.0,32.0,2.879099430595257
1.0,33.0,2.8881293612816723
1.0,34.0,3.0087183055006546
1.0,35.0,3.008766073765841
1.0,36.0,1.3309637203759128
1.0,37.0,1.342898407753025
1.0,38.0,3.0077025559805954
1.0,39.0,3.0076421663243265
2.0,3.0,0.1809544078032005
2.0,4.0,3.0446031056526257
2.0,5.0,3.0139954617803264
2.0,6.0,2.9740742800897277
2.0,7.0,3.022722525737976
2.0,8.0,3.0139807742165172
2.0,9.0,2.987301110329828
2.0,10.0,2.971697002325224
2.0,11.0,3.2724879608991686
2.0,12.0,1.4365132805382588
2.0,13.0,1.3436767904614146
2.0,14.0,1.3478056978342898
2.0,15.0,1.3484642061746719
2.0,16.0,1.261171247400536
2.0,17.0,1.247104546201241
2.0,18.0,1.3482009855366428
2.0,19.0,1.3454413749568044
2.0,20.0,0.8571012164719057
2.0,21.0,3.2780228565211598
2.0,22.0,3.100127418197367
2.0,23.0,3.26834543518598
2.0,24.0,3.1153805860492434
2.0,25.0,3.3011709315552813
2.0,26.0,3.260625651273595
2.0,27.0,3.0444358842958406
2.0,28.0,3.0164013186420546
2.0,29.0,0.8455503353782405
2.0,30.0,3.0230253031307446
2.0,31.0,3.0137956523854537
2.0,32.0,1.3453526229298434
2.0,33.0,1.346813932658786
2.0,34.0,0.8462375282204674
2.0,35.0,0.8578000116409463
2.0,36.0,3.2735305655062423
2.0,37.0,3.301968553456369
2.0,38.0,0.8564777495393355
2.0,39.0,0.8452765211235223
3.0,4.0,3.0700375017569166
3.0,5.0,3.018381766343009
3.0,6.0,2.9821941460612345
3.0,7.0,3.027716760650183
3.0,8.0,3.018459459936096
3.0,9.0,2.9976864616404377
3.0,10.0,2.9809466185897255
3.0,11.0,3.29977196027777
3.0,12.0,1.4500566655360418
3.0,13.0,1.3440017315727217
3.0,14.0,1.3482028769397536
3.0,15.0,1.3724174210862992
3.0,16.0,1.2582811327565988
3.0,17.0,1.2696900400003548
3.0,18.0,1.372200000734886
3.0,19.0,1.345838589631292
3.0,20.0,0.8471364898554529
3.0,21.0,3.302743548962834
3.0,22.0,3.1030321099147526
3.0,23.0,3.291013209719073
3.0,24.0,3.134959771495204
3.0,25.0,3.323872787656835
3.0,26.0,3.2878396271687884
3.0,27.0,3.069861434998763
3.0,28.0,3.0447612037195
3.0,29.0,0.8736451021100777
3.0,30.0,3.028047015445654
3.0,31.0,3.018151707233867
3.0,32.0,1.3693607262119283
3.0,33.0,1.3471980014084475
3.0,34.0,0.8743227987799698
3.0,35.0,0.8478660116565099
3.0,36.0,3.300802838303833
3.0,37.0,3.3246817275148888
3.0,38.0,0.8464700374532009
3.0,39.0,0.8733772773402005
4.0,5.0,0.9346158981407049
4.0,6.0,1.0349073064893135
4.0,7.0,0.9576386377588326
4.0,8.0,0.9374204709225444
4.0,9.0,0.9460257880716656
4.0,10.0,0.9859728198633743
4.0,11.0,1.2814461044248482
4.0,12.0,2.8946721893196705
4.0,13.0,2.9035004321313127
4.0,14.0,2.9044623970423378
4.0,15.0,2.8919718684418507
4.0,16.0,2.884255366474875
4.0,17.0,2.8881487672245116
4.0,18.0,2.890762096612677
4.0,19.0,2.90335347481592
4.0,20.0,3.0247344623492283
4.0,21.0,1.2961578563145715
4.0,22.0,0.9072583118158174
4.0,23.0,1.2894684741417202
4.0,24.0,0.9163888027326574
