mol1,mol2,rmsd
0.0,1.0,100.0
0.0,2.0,100.0
0.0,3.0,0.41186958393237966
0.0,4.0,0.8131756492950831
0.0,5.0,0.4657765514970993
0.0,6.0,100.0
0.0,7.0,100.0
0.0,8.0,0.8151328391052158
0.0,9.0,0.6209004319549051
0.0,10.0,1.1744298295900228
0.0,11.0,100.0
0.0,12.0,100.0
0.0,13.0,100.0
0.0,14.0,0.7338937162720921
0.0,15.0,100.0
0.0,16.0,100.0
0.0,17.0,100.0
0.0,18.0,100.0
0.0,19.0,100.0
0.0,20.0,100.0
0.0,21.0,100.0
0.0,22.0,100.0
0.0,23.0,0.5928911635280674
0.0,24.0,100.0
0.0,25.0,1.0654563899611151
0.0,26.0,100.0
0.0,27.0,100.0
0.0,28.0,100.0
0.0,29.0,100.0
0.0,30.0,100.0
0.0,31.0,0.49742085032594285
0.0,32.0,100.0
0.0,33.0,100.0
0.0,34.0,100.0
0.0,35.0,0.8193009908063973
0.0,36.0,100.0
0.0,37.0,100.0
0.0,38.0,100.0
0.0,39.0,100.0
0.0,40.0,100.0
0.0,41.0,100.0
0.0,42.0,100.0
0.0,43.0,100.0
0.0,44.0,100.0
0.0,45.0,0.5588144938865253
0.0,46.0,100.0
1.0,2.0,0.5199937244544391
1.0,3.0,100.0
1.0,4.0,100.0
1.0,5.0,100.0
1.0,6.0,100.0
1.0,7.0,100.0
1.0,8.0,100.0
1.0,9.0,100.0
1.0,10.0,100.0
1.0,11.0,100.0
1.0,12.0,0.8027089167227871
1.0,13.0,100.0
1.0,14.0,100.0
1.0,15.0,0.5196840952448014
1.0,16.0,100.0
1.0,17.0,1.0306354224813763
1.0,18.0,100.0
1.0,19.0,100.0
1.0,20.0,100.0
1.0,21.0,100.0
1.0,22.0,100.0
1.0,23.0,100.0
1.0,24.0,100.0
1.0,25.0,100.0
1.0,26.0,0.7790557915362006
1.0,27.0,100.0
1.0,28.0,100.0
1.0,29.0,100.0
1.0,30.0,100.0
1.0,31.0,100.0
1.0,32.0,0.6907249939664187
1.0,33.0,100.0
1.0,34.0,0.6906279755089527
1.0,35.0,100.0
1.0,36.0,2.408957744942758
1.0,37.0,2.5085842486804166
1.0,38.0,0.754848108260297
1.0,39.0,2.4756756240074447
1.0,40.0,100.0
1.0,41.0,100.0
1.0,42.0,0.8035108496492175
1.0,43.0,100.0
1.0,44.0,100.0
1.0,45.0,100.0
1.0,46.0,100.0
2.0,3.0,100.0
2.0,4.0,100.0
2.0,5.0,100.0
2.0,6.0,100.0
2.0,7.0,100.0
2.0,8.0,100.0
2.0,9.0,100.0
2.0,10.0,100.0
2.0,11.0,100.0
2.0,12.0,0.6078321514971594
2.0,13.0,100.0
2.0,14.0,100.0
2.0,15.0,0.019983513289666556
2.0,16.0,100.0
2.0,17.0,0.881094405937273
2.0,18.0,100.0
2.0,19.0,100.0
2.0,20.0,100.0
2.0,21.0,100.0
2.0,22.0,100.0
2.0,23.0,100.0
2.0,24.0,100.0
2.0,25.0,100.0
2.0,26.0,0.5760906480324901
2.0,27.0,100.0
2.0,28.0,100.0
2.0,29.0,100.0
2.0,30.0,100.0
2.0,31.0,100.0
2.0,32.0,0.46369764833783544
2.0,33.0,100.0
2.0,34.0,0.46354690153898276
2.0,35.0,100.0
2.0,36.0,2.375490854350691
2.0,37.0,2.4690972791972605
2.0,38.0,0.5492918189222278
2.0,39.0,2.4419659376585936
2.0,40.0,100.0
2.0,41.0,100.0
2.0,42.0,0.6088943861050633
2.0,43.0,100.0
2.0,44.0,100.0
2.0,45.0,100.0
2.0,46.0,100.0
3.0,4.0,0.7247883195809317
3.0,5.0,0.6269386542517367
3.0,6.0,100.0
3.0,7.0,100.0
3.0,8.0,0.7258707006100679
3.0,9.0,0.45519773027406496
3.0,10.0,1.0521553946618392
3.0,11.0,100.0
3.0,12.0,100.0
3.0,13.0,100.0
3.0,14.0,0.8790837747406665
3.0,15.0,100.0
3.0,16.0,100.0
3.0,17.0,100.0
3.0,18.0,100.0
3.0,19.0,100.0
3.0,20.0,100.0
3.0,21.0,100.0
3.0,22.0,100.0
3.0,23.0,0.5605378056890734
3.0,24.0,100.0
3.0,25.0,0.9594247078196364
3.0,26.0,100.0
3.0,27.0,100.0
3.0,28.0,100.0
3.0,29.0,100.0
3.0,30.0,100.0
3.0,31.0,0.5968438713111871
3.0,32.0,100.0
3.0,33.0,100.0
3.0,34.0,100.0
3.0,35.0,0.62695483245427
3.0,36.0,100.0
3.0,37.0,100.0
3.0,38.0,100.0
3.0,39.0,100.0
3.0,40.0,100.0
3.0,41.0,100.0
3.0,42.0,100.0
3.0,43.0,100.0
3.0,44.0,100.0
3.0,45.0,0.6465703553469664
3.0,46.0,100.0
4.0,5.0,0.7536481220741197
4.0,6.0,100.0
4.0,7.0,100.0
4.0,8.0,0.0066154023385104725
4.0,9.0,0.6560242077326354
4.0,10.0,0.622254746661485
4.0,11.0,100.0
4.0,12.0,100.0
4.0,13.0,100.0
4.0,14.0,1.140355896985305
4.0,15.0,100.0
4.0,16.0,100.0
4.0,17.0,100.0
4.0,18.0,100.0
4.0,19.0,100.0
4.0,20.0,100.0
4.0,21.0,100.0
4.0,22.0,100.0
4.0,23.0,0.9760914141000542
4.0,24.0,100.0
4.0,25.0,0.6150573269179647
4.0,26.0,100.0
4.0,27.0,100.0
4.0,28.0,100.0
4.0,29.0,100.0
4.0,30.0,100.0
4.0,31.0,0.8865895445189279
4.0,32.0,100.0
4.0,33.0,100.0
4.0,34.0,100.0
4.0,35.0,0.6844462277515673
4.0,36.0,100.0
4.0,37.0,100.0
4.0,38.0,100.0
4.0,39.0,100.0
4.0,40.0,100.0
4.0,41.0,100.0
4.0,42.0,100.0
4.0,43.0,100.0
4.0,44.0,100.0
4.0,45.0,0.8925233857964073
4.0,46.0,100.0
5.0,6.0,100.0
5.0,7.0,100.0
5.0,8.0,0.7555295757365035
5.0,9.0,0.4322594697951801
5.0,10.0,1.061228472765163
5.0,11.0,100.0
5.0,12.0,100.0
5.0,13.0,100.0
5.0,14.0,0.8655665829551102
5.0,15.0,100.0
5.0,16.0,100.0
5.0,17.0,100.0
5.0,18.0,100.0
5.0,19.0,100.0
5.0,20.0,100.0
5.0,21.0,100.0
5.0,22.0,100.0
5.0,23.0,0.7339915167474204
5.0,24.0,100.0
5.0,25.0,1.0358021064069856
5.0,26.0,100.0
5.0,27.0,100.0
5.0,28.0,100.0
5.0,29.0,100.0
5.0,30.0,100.0
5.0,31.0,0.7969551031681117
5.0,32.0,100.0
5.0,33.0,100.0
5.0,34.0,100.0
5.0,35.0,0.7711397602061795
5.0,36.0,100.0
5.0,37.0,100.0
5.0,38.0,100.0
5.0,39.0,100.0
5.0,40.0,100.0
5.0,41.0,100.0
5.0,42.0,100.0
5.0,43.0,100.0
5.0,44.0,100.0
5.0,45.0,0.8601913243302884
5.0,46.0,100.0
6.0,7.0,0.49052965569774726
6.0,8.0,100.0
6.0,9.0,100.0
6.0,10.0,100.0
6.0,11.0,100.0
6.0,12.0,100.0
6.0,13.0,100.0
6.0,14.0,100.0
6.0,15.0,100.0
6.0,16.0,1.404037481831455
6.0,17.0,100.0
6.0,18.0,100.0
6.0,19.0,100.0
6.0,20.0,100.0
6.0,21.0,100.0
6.0,22.0,100.0
6.0,23.0,100.0
6.0,24.0,100.0
6.0,25.0,100.0
6.0,26.0,100.0
6.0,27.0,100.0
6.0,28.0,0.7672300222911073
6.0,29.0,100.0
6.0,30.0,100.0
6.0,31.0,100.0
6.0,32.0,100.0
6.0,33.0,100.0
6.0,34.0,100.0
6.0,35.0,100.0
6.0,36.0,100.0
6.0,37.0,100.0
6.0,38.0,100.0
6.0,39.0,100.0
6.0,40.0,0.4903525701038318
6.0,41.0,1.5097746891430819
6.0,42.0,100.0
6.0,43.0,100.0
6.0,44.0,100.0
6.0,45.0,100.0
6.0,46.0,100.0
7.0,8.0,100.0
7.0,9.0,100.0
7.0,10.0,100.0
7.0,11.0,100.0
7.0,12.0,100.0
7.0,13.0,100.0
7.0,14.0,100.0
7.0,15.0,100.0
7.0,16.0,1.3446503022022642
7.0,17.0,100.0
7.0,18.0,100.0
7.0,19.0,100.0
7.0,20.0,100.0
7.0,21.0,100.0
7.0,22.0,100.0
7.0,23.0,100.0
7.0,24.0,100.0
7.0,25.0,100.0
7.0,26.0,100.0
7.0,27.0,100.0
7.0,28.0,0.5530809464093523
7.0,29.0,100.0
7.0,30.0,100.0
7.0,31.0,100.0
7.0,32.0,100.0
7.0,33.0,100.0
7.0,34.0,100.0
7.0,35.0,100.0
7.0,36.0,100.0
7.0,37.0,100.0
7.0,38.0,100.0
7.0,39.0,100.0
7.0,40.0,0.003550589472138782
7.0,41.0,1.4093155264861263
7.0,42.0,100.0
7.0,43.0,100.0
7.0,44.0,100.0
7.0,45.0,100.0
7.0,46.0,100.0
8.0,9.0,0.6571233531776554
8.0,10.0,0.6216538844706456
8.0,11.0,100.0
8.0,12.0,100.0
8.0,13.0,100.0
8.0,14.0,1.1411863245108242
8.0,15.0,100.0
8.0,16.0,100.0
8.0,17.0,100.0
8.0,18.0,100.0
8.0,19.0,100.0
8.0,20.0,100.0
8.0,21.0,100.0
8.0,22.0,100.0
8.0,23.0,0.9769263480227882
8.0,24.0,100.0
8.0,25.0,0.6140385441877674
8.0,26.0,100.0
8.0,27.0,100.0
8.0,28.0,100.0
8.0,29.0,100.0
8.0,30.0,100.0
8.0,31.0,0.8874437927191827
8.0,32.0,100.0
8.0,33.0,100.0
8.0,34.0,100.0
