mol1,mol2,rmsd
0.0,1.0,100.0
0.0,2.0,100.0
0.0,3.0,1.1117431370190944
0.0,4.0,100.0
0.0,5.0,100.0
0.0,6.0,100.0
0.0,7.0,100.0
0.0,8.0,100.0
0.0,9.0,100.0
0.0,10.0,1.0338139451686794
0.0,11.0,100.0
0.0,12.0,100.0
0.0,13.0,2.018909327934195
0.0,14.0,100.0
0.0,15.0,100.0
0.0,16.0,100.0
0.0,17.0,100.0
0.0,18.0,100.0
0.0,19.0,100.0
0.0,20.0,100.0
0.0,21.0,100.0
0.0,22.0,0.4294776336575679
0.0,23.0,100.0
1.0,2.0,100.0
1.0,3.0,100.0
1.0,4.0,100.0
1.0,5.0,100.0
1.0,6.0,0.535993965658223
1.0,7.0,100.0
1.0,8.0,0.7007228838350551
1.0,9.0,100.0
1.0,10.0,100.0
1.0,11.0,100.0
1.0,12.0,100.0
1.0,13.0,100.0
1.0,14.0,100.0
1.0,15.0,100.0
1.0,16.0,100.0
1.0,17.0,100.0
1.0,18.0,100.0
1.0,19.0,0.9333580550564581
1.0,20.0,100.0
1.0,21.0,100.0
1.0,22.0,100.0
1.0,23.0,100.0
2.0,3.0,100.0
2.0,4.0,0.8974489928547393
2.0,5.0,0.6895524577661429
2.0,6.0,100.0
2.0,7.0,0.5660786457542444
2.0,8.0,100.0
2.0,9.0,1.6562809359268518
2.0,10.0,100.0
2.0,11.0,0.9257719621861903
2.0,12.0,100.0
2.0,13.0,100.0
2.0,14.0,0.8807262283053627
2.0,15.0,100.0
2.0,16.0,100.0
2.0,17.0,100.0
2.0,18.0,100.0
2.0,19.0,100.0
2.0,20.0,100.0
2.0,21.0,100.0
2.0,22.0,100.0
2.0,23.0,100.0
3.0,4.0,100.0
3.0,5.0,100.0
3.0,6.0,100.0
3.0,7.0,100.0
3.0,8.0,100.0
3.0,9.0,100.0
3.0,10.0,0.48696657492144774
3.0,11.0,100.0
3.0,12.0,100.0
3.0,13.0,1.585184628186047
3.0,14.0,100.0
3.0,15.0,100.0
3.0,16.0,100.0
3.0,17.0,100.0
3.0,18.0,100.0
3.0,19.0,100.0
3.0,20.0,100.0
3.0,21.0,100.0
3.0,22.0,1.1944669514829214
3.0,23.0,100.0
4.0,5.0,0.3553579660263314
4.0,6.0,100.0
4.0,7.0,0.8488058877527914
4.0,8.0,100.0
4.0,9.0,1.9503763764868804
4.0,10.0,100.0
4.0,11.0,0.6654509092509182
4.0,12.0,100.0
4.0,13.0,100.0
4.0,14.0,1.3612917282946693
4.0,15.0,100.0
4.0,16.0,100.0
4.0,17.0,100.0
4.0,18.0,100.0
4.0,19.0,100.0
4.0,20.0,100.0
4.0,21.0,100.0
4.0,22.0,100.0
4.0,23.0,100.0
5.0,6.0,100.0
5.0,7.0,0.5963977315276519
5.0,8.0,100.0
5.0,9.0,1.8502650857811282
5.0,10.0,100.0
5.0,11.0,0.5735899397242659
5.0,12.0,100.0
5.0,13.0,100.0
5.0,14.0,1.1388889009447
5.0,15.0,100.0
5.0,16.0,100.0
5.0,17.0,100.0
5.0,18.0,100.0
5.0,19.0,100.0
5.0,20.0,100.0
5.0,21.0,100.0
5.0,22.0,100.0
5.0,23.0,100.0
6.0,7.0,100.0
6.0,8.0,0.8772142866267247
6.0,9.0,100.0
6.0,10.0,100.0
6.0,11.0,100.0
6.0,12.0,100.0
6.0,13.0,100.0
6.0,14.0,100.0
6.0,15.0,100.0
6.0,16.0,100.0
6.0,17.0,100.0
6.0,18.0,100.0
6.0,19.0,1.1371609174697788
6.0,20.0,100.0
6.0,21.0,100.0
6.0,22.0,100.0
6.0,23.0,100.0
7.0,8.0,100.0
7.0,9.0,1.8483823422984749
7.0,10.0,100.0
7.0,11.0,0.8781017695467234
7.0,12.0,100.0
7.0,13.0,100.0
7.0,14.0,0.8016370113264284
7.0,15.0,100.0
7.0,16.0,100.0
7.0,17.0,100.0
7.0,18.0,100.0
7.0,19.0,100.0
7.0,20.0,100.0
7.0,21.0,100.0
7.0,22.0,100.0
7.0,23.0,100.0
8.0,9.0,100.0
8.0,10.0,100.0
8.0,11.0,100.0
8.0,12.0,100.0
8.0,13.0,100.0
8.0,14.0,100.0
8.0,15.0,100.0
8.0,16.0,100.0
8.0,17.0,100.0
8.0,18.0,100.0
8.0,19.0,0.48170504078342186
8.0,20.0,100.0
8.0,21.0,100.0
8.0,22.0,100.0
8.0,23.0,100.0
9.0,10.0,100.0
9.0,11.0,1.8810537090046016
9.0,12.0,100.0
9.0,13.0,100.0
9.0,14.0,1.609122893663179
9.0,15.0,100.0
9.0,16.0,100.0
9.0,17.0,100.0
9.0,18.0,100.0
9.0,19.0,100.0
9.0,20.0,100.0
9.0,21.0,100.0
9.0,22.0,100.0
9.0,23.0,100.0
10.0,11.0,100.0
10.0,12.0,100.0
10.0,13.0,1.6517765866984397
10.0,14.0,100.0
10.0,15.0,100.0
10.0,16.0,100.0
10.0,17.0,100.0
10.0,18.0,100.0
10.0,19.0,100.0
10.0,20.0,100.0
10.0,21.0,100.0
10.0,22.0,1.1412977911034443
10.0,23.0,100.0
11.0,12.0,100.0
11.0,13.0,100.0
11.0,14.0,1.1476615140535926
11.0,15.0,100.0
11.0,16.0,100.0
11.0,17.0,100.0
11.0,18.0,100.0
11.0,19.0,100.0
11.0,20.0,100.0
11.0,21.0,100.0
11.0,22.0,100.0
11.0,23.0,100.0
12.0,13.0,100.0
12.0,14.0,100.0
12.0,15.0,100.0
12.0,16.0,100.0
12.0,17.0,100.0
12.0,18.0,100.0
12.0,19.0,100.0
12.0,20.0,100.0
12.0,21.0,0.6787592116707408
12.0,22.0,100.0
12.0,23.0,100.0
13.0,14.0,100.0
13.0,15.0,100.0
13.0,16.0,100.0
13.0,17.0,100.0
13.0,18.0,100.0
13.0,19.0,100.0
13.0,20.0,100.0
13.0,21.0,100.0
13.0,22.0,1.990012940619766
13.0,23.0,100.0
14.0,15.0,100.0
14.0,16.0,100.0
14.0,17.0,100.0
14.0,18.0,100.0
14.0,19.0,100.0
14.0,20.0,100.0
14.0,21.0,100.0
14.0,22.0,100.0
14.0,23.0,100.0
15.0,16.0,0.006626735963523496
15.0,17.0,100.0
15.0,18.0,100.0
15.0,19.0,100.0
15.0,20.0,100.0
15.0,21.0,100.0
15.0,22.0,100.0
15.0,23.0,100.0
16.0,17.0,100.0
16.0,18.0,100.0
16.0,19.0,100.0
16.0,20.0,100.0
16.0,21.0,100.0
16.0,22.0,100.0
16.0,23.0,100.0
17.0,18.0,100.0
17.0,19.0,100.0
17.0,20.0,100.0
17.0,21.0,100.0
17.0,22.0,100.0
17.0,23.0,100.0
18.0,19.0,100.0
18.0,20.0,100.0
18.0,21.0,100.0
18.0,22.0,100.0
18.0,23.0,100.0
19.0,20.0,100.0
19.0,21.0,100.0
19.0,22.0,100.0
19.0,23.0,100.0
20.0,21.0,100.0
20.0,22.0,100.0
20.0,23.0,0.0031364176433352218
21.0,22.0,100.0
21.0,23.0,100.0
22.0,23.0,100.0
